,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
24,24,0.8587065833612686,2024-12-31 19:41:55.374587,2024-12-31 19:42:28.808616,0 days 00:00:33.434029,7,95,5.0,30.0,90.0,5.0,5.0,55.0,,,,2,6.0,3.0,6.0,5.0,2.0,6.0,,,,COMPLETE
25,25,0.8526869785766784,2024-12-31 19:42:28.809332,2024-12-31 19:43:56.964793,0 days 00:01:28.155461,9,90,60.0,5.0,75.0,20.0,35.0,40.0,25.0,95.0,,3,5.0,3.0,5.0,3.0,3.0,5.0,6.0,3.0,,COMPLETE
26,26,0.8608827462024099,2024-12-31 19:43:56.965572,2024-12-31 19:44:58.900128,0 days 00:01:01.934556,8,100,15.0,70.0,100.0,40.0,15.0,25.0,75.0,,,2,6.0,4.0,3.0,5.0,2.0,6.0,3.0,,,COMPLETE
27,27,0.8458607964093052,2024-12-31 19:44:58.900883,2024-12-31 19:45:51.036274,0 days 00:00:52.135391,5,55,35.0,45.0,35.0,60.0,,,,,,5,3.0,2.0,6.0,4.0,,,,,,COMPLETE
28,28,0.8385025705762821,2024-12-31 19:45:51.036815,2024-12-31 19:47:13.378229,0 days 00:01:22.341414,9,90,25.0,15.0,90.0,25.0,30.0,5.0,80.0,5.0,,3,5.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,,COMPLETE
29,29,0.8452442166113374,2024-12-31 19:47:13.378987,2024-12-31 19:47:46.689306,0 days 00:00:33.310319,4,75,10.0,25.0,85.0,,,,,,,3,6.0,2.0,5.0,,,,,,,COMPLETE
30,30,0.857060345438063,2024-12-31 19:47:46.689851,2024-12-31 19:48:34.272519,0 days 00:00:47.582668,6,30,55.0,40.0,70.0,10.0,15.0,,,,,2,5.0,4.0,6.0,4.0,2.0,,,,,COMPLETE
31,31,0.8495082748006834,2024-12-31 19:48:34.273230,2024-12-31 19:49:14.852840,0 days 00:00:40.579610,7,100,20.0,10.0,100.0,15.0,15.0,20.0,,,,2,6.0,4.0,5.0,4.0,2.0,6.0,,,,COMPLETE
32,32,0.8552417660524314,2024-12-31 19:49:14.853512,2024-12-31 19:49:55.633391,0 days 00:00:40.779879,7,95,15.0,15.0,95.0,15.0,10.0,15.0,,,,2,6.0,4.0,6.0,4.0,2.0,6.0,,,,COMPLETE
33,33,0.8609428441249187,2024-12-31 19:49:55.634221,2024-12-31 19:50:44.520766,0 days 00:00:48.886545,8,75,25.0,10.0,95.0,25.0,15.0,45.0,30.0,,,2,6.0,3.0,5.0,3.0,3.0,5.0,5.0,,,COMPLETE
