,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
28,28,0.5990697674418605,2025-01-01 20:20:44.369619,2025-01-01 20:20:49.551716,0 days 00:00:05.182097,1,20,,,,,,,,,,5,,,,,,,,,,COMPLETE
29,29,0.5835866261398176,2025-01-01 20:20:49.552188,2025-01-01 20:20:56.033564,0 days 00:00:06.481376,2,60,35.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
30,30,0.4313186813186813,2025-01-01 20:20:56.034001,2025-01-01 20:21:02.861936,0 days 00:00:06.827935,2,45,60.0,,,,,,,,,6,4.0,,,,,,,,,COMPLETE
31,31,0.6382978723404256,2025-01-01 20:21:02.862350,2025-01-01 20:21:06.532582,0 days 00:00:03.670232,1,75,,,,,,,,,,3,,,,,,,,,,COMPLETE
32,32,0.575984990619137,2025-01-01 20:21:06.532945,2025-01-01 20:21:08.854306,0 days 00:00:02.321361,1,65,,,,,,,,,,2,,,,,,,,,,COMPLETE
33,33,0.5108695652173914,2025-01-01 20:21:08.854685,2025-01-01 20:21:18.703870,0 days 00:00:09.849185,3,80,15.0,10.0,,,,,,,,4,6.0,5.0,,,,,,,,COMPLETE
34,34,0.5742753623188406,2025-01-01 20:21:18.704307,2025-01-01 20:21:27.614612,0 days 00:00:08.910305,4,100,85.0,100.0,100.0,,,,,,,3,5.0,3.0,5.0,,,,,,,COMPLETE
35,35,0.4547511312217195,2025-01-01 20:21:27.615224,2025-01-01 20:21:43.235866,0 days 00:00:15.620642,6,55,30.0,70.0,80.0,30.0,5.0,,,,,3,4.0,6.0,6.0,4.0,2.0,,,,,COMPLETE
36,36,0.5611210494931425,2025-01-01 20:21:43.236388,2025-01-01 20:21:45.457914,0 days 00:00:02.221526,1,70,,,,,,,,,,2,,,,,,,,,,COMPLETE
37,37,0.5317028985507246,2025-01-01 20:21:45.458278,2025-01-01 20:21:55.754137,0 days 00:00:10.295859,5,40,45.0,30.0,10.0,65.0,,,,,,4,3.0,2.0,2.0,5.0,,,,,,COMPLETE
