,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
24,24,0.6389100448506388,2025-01-01 18:09:21.675633,2025-01-01 18:09:35.555771,0 days 00:00:13.880138,4,50,100.0,100.0,50.0,,,,,,,4,2.0,4.0,2.0,,,,,,,COMPLETE
25,25,0.7351756364808251,2025-01-01 18:09:35.556382,2025-01-01 18:09:51.374480,0 days 00:00:15.818098,4,15,85.0,85.0,90.0,,,,,,,3,3.0,3.0,5.0,,,,,,,COMPLETE
26,26,0.7866522755891348,2025-01-01 18:09:51.375008,2025-01-01 18:09:57.536435,0 days 00:00:06.161427,2,25,65.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
27,27,0.8284600389863548,2025-01-01 18:09:57.536811,2025-01-01 18:10:04.811523,0 days 00:00:07.274712,2,70,65.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
28,28,0.8332526230831315,2025-01-01 18:10:04.811904,2025-01-01 18:10:12.064268,0 days 00:00:07.252364,2,75,60.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
29,29,0.8274237540292586,2025-01-01 18:10:12.064652,2025-01-01 18:10:20.492159,0 days 00:00:08.427507,2,75,65.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
30,30,0.821560093739538,2025-01-01 18:10:20.492510,2025-01-01 18:10:29.731829,0 days 00:00:09.239319,2,75,75.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
31,31,0.8049220672682527,2025-01-01 18:10:29.732243,2025-01-01 18:10:39.574915,0 days 00:00:09.842672,2,75,75.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
32,32,0.7963963963963965,2025-01-01 18:10:39.575287,2025-01-01 18:10:48.066827,0 days 00:00:08.491540,2,80,60.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
33,33,0.8196881091617934,2025-01-01 18:10:48.067504,2025-01-01 18:10:52.148725,0 days 00:00:04.081221,1,65,,,,,,,,,,2,,,,,,,,,,COMPLETE
34,34,0.8108108108108109,2025-01-01 18:10:52.149051,2025-01-01 18:11:00.615191,0 days 00:00:08.466140,2,85,75.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
35,35,0.7073271927640861,2025-01-01 18:11:00.615565,2025-01-01 18:11:19.538796,0 days 00:00:18.923231,4,70,65.0,25.0,20.0,,,,,,,2,5.0,6.0,6.0,,,,,,,COMPLETE
36,36,0.7708541043536059,2025-01-01 18:11:19.539358,2025-01-01 18:11:24.367713,0 days 00:00:04.828355,1,75,,,,,,,,,,3,,,,,,,,,,COMPLETE
37,37,0.8251247384516337,2025-01-01 18:11:24.368105,2025-01-01 18:11:31.585676,0 days 00:00:07.217571,2,100,80.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
38,38,0.771286013198133,2025-01-01 18:11:31.586048,2025-01-01 18:11:45.651811,0 days 00:00:14.065763,3,100,85.0,40.0,,,,,,,,3,3.0,5.0,,,,,,,,COMPLETE
39,39,0.7271675345069841,2025-01-01 18:11:45.652525,2025-01-01 18:12:02.153246,0 days 00:00:16.500721,4,90,45.0,15.0,25.0,,,,,,,2,3.0,6.0,6.0,,,,,,,COMPLETE
40,40,0.807041572671608,2025-01-01 18:12:02.153703,2025-01-01 18:12:09.444499,0 days 00:00:07.290796,2,95,60.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
41,41,0.8002645502645502,2025-01-01 18:12:09.444892,2025-01-01 18:12:16.781881,0 days 00:00:07.336989,2,80,80.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
42,42,0.7925233644859813,2025-01-01 18:12:16.782246,2025-01-01 18:12:20.939504,0 days 00:00:04.157258,1,65,,,,,,,,,,2,,,,,,,,,,COMPLETE
43,43,0.8205128205128205,2025-01-01 18:12:20.939907,2025-01-01 18:12:29.522478,0 days 00:00:08.582571,2,85,60.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
44,44,0.7938720988478878,2025-01-01 18:12:29.522964,2025-01-01 18:12:42.492527,0 days 00:00:12.969563,3,60,70.0,60.0,,,,,,,,2,3.0,5.0,,,,,,,,COMPLETE
45,45,0.8214713635274382,2025-01-01 18:12:42.493138,2025-01-01 18:12:47.622487,0 days 00:00:05.129349,1,75,,,,,,,,,,3,,,,,,,,,,COMPLETE
46,46,0.6427489436338993,2025-01-01 18:12:47.622870,2025-01-01 18:13:02.815624,0 days 00:00:15.192754,3,85,70.0,10.0,,,,,,,,6,5.0,2.0,,,,,,,,COMPLETE
47,47,0.750450893589113,2025-01-01 18:13:02.816052,2025-01-01 18:13:12.189821,0 days 00:00:09.373769,2,70,90.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
48,48,0.7928571428571429,2025-01-01 18:13:12.190205,2025-01-01 18:13:17.317599,0 days 00:00:05.127394,1,60,,,,,,,,,,3,,,,,,,,,,COMPLETE
49,49,0.7857142857142857,2025-01-01 18:13:17.317959,2025-01-01 18:13:37.240026,0 days 00:00:19.922067,5,95,55.0,30.0,40.0,30.0,,,,,,2,3.0,6.0,5.0,3.0,,,,,,COMPLETE
50,50,0.7766254487435182,2025-01-01 18:13:37.240481,2025-01-01 18:13:50.989576,0 days 00:00:13.749095,4,50,80.0,45.0,15.0,,,,,,,2,4.0,2.0,3.0,,,,,,,COMPLETE
51,51,0.8016569200779726,2025-01-01 18:13:50.990256,2025-01-01 18:13:56.117970,0 days 00:00:05.127714,1,75,,,,,,,,,,3,,,,,,,,,,COMPLETE
52,52,0.7464620630861041,2025-01-01 18:13:56.118359,2025-01-01 18:14:05.613692,0 days 00:00:09.495333,2,80,70.0,,,,,,,,,3,4.0,,,,,,,,,COMPLETE
53,53,0.8223464619492658,2025-01-01 18:14:05.614079,2025-01-01 18:14:09.730423,0 days 00:00:04.116344,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
54,54,0.7802896218825423,2025-01-01 18:14:09.730808,2025-01-01 18:14:17.013907,0 days 00:00:07.283099,2,95,75.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
55,55,0.7566558441558442,2025-01-01 18:14:17.014624,2025-01-01 18:14:30.234560,0 days 00:00:13.219936,3,90,50.0,65.0,,,,,,,,2,4.0,5.0,,,,,,,,COMPLETE
56,56,0.8401167639699749,2025-01-01 18:14:30.235009,2025-01-01 18:14:34.401028,0 days 00:00:04.166019,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
57,57,0.8123653769445554,2025-01-01 18:14:34.401379,2025-01-01 18:14:38.482952,0 days 00:00:04.081573,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
58,58,0.8325143325143325,2025-01-01 18:14:38.483311,2025-01-01 18:14:42.583402,0 days 00:00:04.100091,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
59,59,0.7341608738828203,2025-01-01 18:14:42.583732,2025-01-01 18:14:55.494406,0 days 00:00:12.910674,3,95,45.0,35.0,,,,,,,,5,3.0,2.0,,,,,,,,COMPLETE
60,60,0.8204213387699626,2025-01-01 18:14:55.495126,2025-01-01 18:14:59.596775,0 days 00:00:04.101649,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
61,61,0.7960467205750225,2025-01-01 18:14:59.597097,2025-01-01 18:15:03.848026,0 days 00:00:04.250929,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
62,62,0.7705649574808453,2025-01-01 18:15:03.848386,2025-01-01 18:15:07.903500,0 days 00:00:04.055114,1,85,,,,,,,,,,2,,,,,,,,,,COMPLETE
63,63,0.8143840104849279,2025-01-01 18:15:07.903834,2025-01-01 18:15:15.256844,0 days 00:00:07.353010,2,95,90.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
64,64,0.7867924528301887,2025-01-01 18:15:15.257212,2025-01-01 18:15:19.405397,0 days 00:00:04.148185,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
65,65,0.8379520520113775,2025-01-01 18:15:19.405764,2025-01-01 18:15:27.961505,0 days 00:00:08.555741,2,100,55.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
66,66,0.7910052910052909,2025-01-01 18:15:27.961906,2025-01-01 18:15:36.495939,0 days 00:00:08.534033,2,100,55.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
67,67,0.7087057265806025,2025-01-01 18:15:36.496305,2025-01-01 18:16:01.933781,0 days 00:00:25.437476,6,95,45.0,20.0,70.0,100.0,45.0,,,,,2,4.0,6.0,6.0,3.0,3.0,,,,,COMPLETE
68,68,0.7837662337662338,2025-01-01 18:16:01.934402,2025-01-01 18:16:17.082210,0 days 00:00:15.147808,3,100,60.0,50.0,,,,,,,,4,3.0,5.0,,,,,,,,COMPLETE
69,69,0.7301719819669394,2025-01-01 18:16:17.082616,2025-01-01 18:16:27.219519,0 days 00:00:10.136903,2,80,65.0,,,,,,,,,3,4.0,,,,,,,,,COMPLETE
70,70,0.7759103641456582,2025-01-01 18:16:27.219910,2025-01-01 18:16:50.770830,0 days 00:00:23.550920,8,85,50.0,75.0,5.0,20.0,65.0,85.0,5.0,,,2,4.0,2.0,5.0,4.0,3.0,5.0,5.0,,,COMPLETE
71,71,0.7962962962962963,2025-01-01 18:16:50.771369,2025-01-01 18:16:54.935076,0 days 00:00:04.163707,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
72,72,0.8030060761112888,2025-01-01 18:16:54.935436,2025-01-01 18:17:02.291739,0 days 00:00:07.356303,2,70,80.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
73,73,0.7850467289719626,2025-01-01 18:17:02.292111,2025-01-01 18:17:06.360870,0 days 00:00:04.068759,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
74,74,0.8017857142857143,2025-01-01 18:17:06.361210,2025-01-01 18:17:13.655753,0 days 00:00:07.294543,2,90,40.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
75,75,0.8455809334657398,2025-01-01 18:17:13.656254,2025-01-01 18:17:17.809755,0 days 00:00:04.153501,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
76,76,0.8825536062378168,2025-01-01 18:17:17.810138,2025-01-01 18:17:27.609313,0 days 00:00:09.799175,2,95,55.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
77,77,0.6796491228070176,2025-01-01 18:17:27.609716,2025-01-01 18:17:42.702618,0 days 00:00:15.092902,3,85,55.0,5.0,,,,,,,,2,5.0,6.0,,,,,,,,COMPLETE
78,78,0.8124850514231046,2025-01-01 18:17:42.703079,2025-01-01 18:17:47.887505,0 days 00:00:05.184426,1,95,,,,,,,,,,3,,,,,,,,,,COMPLETE
79,79,0.7760116848526506,2025-01-01 18:17:47.887907,2025-01-01 18:17:57.256525,0 days 00:00:09.368618,2,60,40.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
80,80,0.7938662644544998,2025-01-01 18:17:57.256909,2025-01-01 18:18:02.390889,0 days 00:00:05.133980,1,80,,,,,,,,,,3,,,,,,,,,,COMPLETE
81,81,0.865546218487395,2025-01-01 18:18:02.391236,2025-01-01 18:18:12.152469,0 days 00:00:09.761233,2,100,60.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
82,82,0.8454907161803713,2025-01-01 18:18:12.152849,2025-01-01 18:18:22.008376,0 days 00:00:09.855527,2,100,60.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
83,83,0.8430709802028006,2025-01-01 18:18:22.008808,2025-01-01 18:18:31.851420,0 days 00:00:09.842612,2,100,60.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
84,84,0.7507389162561576,2025-01-01 18:18:31.851878,2025-01-01 18:18:45.863543,0 days 00:00:14.011665,3,100,60.0,15.0,,,,,,,,2,5.0,4.0,,,,,,,,COMPLETE
85,85,0.8430709802028006,2025-01-01 18:18:45.863955,2025-01-01 18:18:55.682121,0 days 00:00:09.818166,2,95,55.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
86,86,0.7601606030809571,2025-01-01 18:18:55.682653,2025-01-01 18:19:09.687203,0 days 00:00:14.004550,3,100,55.0,35.0,,,,,,,,2,5.0,6.0,,,,,,,,COMPLETE
87,87,0.755861365953109,2025-01-01 18:19:09.687648,2025-01-01 18:19:22.635904,0 days 00:00:12.948256,2,90,50.0,,,,,,,,,6,5.0,,,,,,,,,COMPLETE
88,88,0.8269151138716355,2025-01-01 18:19:22.636307,2025-01-01 18:19:32.417847,0 days 00:00:09.781540,2,95,55.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
89,89,0.7416789637645516,2025-01-01 18:19:32.418232,2025-01-01 18:19:43.106899,0 days 00:00:10.688667,3,100,45.0,55.0,,,,,,,,2,6.0,2.0,,,,,,,,COMPLETE
90,90,0.7634274516789882,2025-01-01 18:19:43.107313,2025-01-01 18:19:52.877021,0 days 00:00:09.769708,2,95,60.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
91,91,0.8133244281182168,2025-01-01 18:19:52.877431,2025-01-01 18:19:57.009814,0 days 00:00:04.132383,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
92,92,0.7724867724867726,2025-01-01 18:19:57.010178,2025-01-01 18:20:06.863319,0 days 00:00:09.853141,2,100,50.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
93,93,0.7817460317460317,2025-01-01 18:20:06.863782,2025-01-01 18:20:10.976284,0 days 00:00:04.112502,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
94,94,0.7396970466277397,2025-01-01 18:20:10.976666,2025-01-01 18:20:20.419450,0 days 00:00:09.442784,2,95,65.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
95,95,0.8182263196540752,2025-01-01 18:20:20.419883,2025-01-01 18:20:28.088903,0 days 00:00:07.669020,1,100,,,,,,,,,,5,,,,,,,,,,COMPLETE
96,96,0.7587625473095277,2025-01-01 18:20:28.089370,2025-01-01 18:20:37.959350,0 days 00:00:09.869980,2,95,30.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
97,97,0.8598130841121495,2025-01-01 18:20:37.959750,2025-01-01 18:20:42.166493,0 days 00:00:04.206743,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
98,98,0.7230155564419625,2025-01-01 18:20:42.166875,2025-01-01 18:21:21.387358,0 days 00:00:39.220483,10,100,70.0,70.0,65.0,45.0,5.0,75.0,25.0,5.0,100.0,2,5.0,5.0,2.0,3.0,4.0,5.0,5.0,2.0,2.0,COMPLETE
99,99,0.7671061415220294,2025-01-01 18:21:21.387882,2025-01-01 18:21:31.228228,0 days 00:00:09.840346,2,90,55.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
100,100,0.7387387387387387,2025-01-01 18:21:31.228633,2025-01-01 18:21:48.720318,0 days 00:00:17.491685,4,100,60.0,25.0,45.0,,,,,,,2,5.0,5.0,3.0,,,,,,,COMPLETE
101,101,0.8144870534251065,2025-01-01 18:21:48.720882,2025-01-01 18:21:52.865309,0 days 00:00:04.144427,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
102,102,0.8198198198198199,2025-01-01 18:21:52.865684,2025-01-01 18:21:57.016157,0 days 00:00:04.150473,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
103,103,0.8218218218218218,2025-01-01 18:21:57.016524,2025-01-01 18:22:01.110988,0 days 00:00:04.094464,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
104,104,0.8250201126307322,2025-01-01 18:22:01.111537,2025-01-01 18:22:05.269752,0 days 00:00:04.158215,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
105,105,0.7906746031746033,2025-01-01 18:22:05.270236,2025-01-01 18:22:14.661473,0 days 00:00:09.391237,2,90,65.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
106,106,0.7759197324414716,2025-01-01 18:22:14.661895,2025-01-01 18:22:26.689740,0 days 00:00:12.027845,3,100,50.0,75.0,,,,,,,,2,5.0,3.0,,,,,,,,COMPLETE
107,107,0.8297619047619047,2025-01-01 18:22:26.690209,2025-01-01 18:22:30.825394,0 days 00:00:04.135185,1,85,,,,,,,,,,2,,,,,,,,,,COMPLETE
108,108,0.7643805309734513,2025-01-01 18:22:30.825778,2025-01-01 18:22:40.195328,0 days 00:00:09.369550,2,95,70.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
109,109,0.7928571428571429,2025-01-01 18:22:40.195729,2025-01-01 18:22:44.284379,0 days 00:00:04.088650,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
110,110,0.8170922355393434,2025-01-01 18:22:44.284740,2025-01-01 18:22:54.104891,0 days 00:00:09.820151,2,100,60.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
111,111,0.7846097201767305,2025-01-01 18:22:54.105306,2025-01-01 18:22:58.191554,0 days 00:00:04.086248,1,85,,,,,,,,,,2,,,,,,,,,,COMPLETE
112,112,0.8918831168831169,2025-01-01 18:22:58.191933,2025-01-01 18:23:02.346831,0 days 00:00:04.154898,1,85,,,,,,,,,,2,,,,,,,,,,COMPLETE
113,113,0.835993714332975,2025-01-01 18:23:02.347170,2025-01-01 18:23:06.433636,0 days 00:00:04.086466,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
114,114,0.7926093514328808,2025-01-01 18:23:06.434195,2025-01-01 18:23:16.469094,0 days 00:00:10.034899,2,90,10.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
115,115,0.8108766233766234,2025-01-01 18:23:16.469468,2025-01-01 18:23:20.713555,0 days 00:00:04.244087,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
116,116,0.7760260260260261,2025-01-01 18:23:20.713971,2025-01-01 18:23:30.815620,0 days 00:00:10.101649,2,100,55.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
117,117,0.8518518518518519,2025-01-01 18:23:30.816044,2025-01-01 18:23:35.054630,0 days 00:00:04.238586,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
118,118,0.8359788359788359,2025-01-01 18:23:35.055154,2025-01-01 18:23:39.289965,0 days 00:00:04.234811,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
119,119,0.8070796460176992,2025-01-01 18:23:39.290344,2025-01-01 18:23:43.536588,0 days 00:00:04.246244,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
120,120,0.7763135946622186,2025-01-01 18:23:43.536977,2025-01-01 18:23:50.059897,0 days 00:00:06.522920,1,100,,,,,,,,,,4,,,,,,,,,,COMPLETE
121,121,0.8201664967720014,2025-01-01 18:23:50.060516,2025-01-01 18:23:54.164805,0 days 00:00:04.104289,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
122,122,0.8018691588785047,2025-01-01 18:23:54.165186,2025-01-01 18:23:58.288421,0 days 00:00:04.123235,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
123,123,0.7812066574202496,2025-01-01 18:23:58.288801,2025-01-01 18:24:02.422754,0 days 00:00:04.133953,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
124,124,0.7744819179195449,2025-01-01 18:24:02.423123,2025-01-01 18:24:06.599813,0 days 00:00:04.176690,1,10,,,,,,,,,,2,,,,,,,,,,COMPLETE
125,125,0.8215895808983136,2025-01-01 18:24:06.600160,2025-01-01 18:24:16.524001,0 days 00:00:09.923841,2,90,35.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
126,126,0.8774405250205086,2025-01-01 18:24:16.524394,2025-01-01 18:24:20.710070,0 days 00:00:04.185676,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
127,127,0.8064828253507499,2025-01-01 18:24:20.710437,2025-01-01 18:24:24.314727,0 days 00:00:03.604290,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
128,128,0.7738095238095237,2025-01-01 18:24:24.315086,2025-01-01 18:24:33.051690,0 days 00:00:08.736604,2,100,40.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
129,129,0.7927927927927928,2025-01-01 18:24:33.052065,2025-01-01 18:24:37.275418,0 days 00:00:04.223353,1,100,,,,,,,,,,2,,,,,,,,,,COMPLETE
130,130,0.8686926605504588,2025-01-01 18:24:37.275795,2025-01-01 18:24:45.945008,0 days 00:00:08.669213,2,90,45.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
131,131,0.812280701754386,2025-01-01 18:24:45.945747,2025-01-01 18:24:54.599731,0 days 00:00:08.653984,2,90,45.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
132,132,0.7963782366437233,2025-01-01 18:24:54.600110,2025-01-01 18:25:04.746194,0 days 00:00:10.146084,2,95,25.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
133,133,0.8564102564102565,2025-01-01 18:25:04.746701,2025-01-01 18:25:14.678204,0 days 00:00:09.931503,2,100,35.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
134,134,0.829933707292198,2025-01-01 18:25:14.678813,2025-01-01 18:25:23.991255,0 days 00:00:09.312442,2,100,35.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
135,135,0.7999008182494421,2025-01-01 18:25:23.991644,2025-01-01 18:25:32.637446,0 days 00:00:08.645802,2,100,40.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
