,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
27,27,0.9446687900770321,2025-01-02 04:09:42.357156,2025-01-02 04:09:52.006026,0 days 00:00:09.648870,3,95,80.0,45.0,,,,,,,,3,5.0,3.0,,,,,,,,COMPLETE
28,28,0.9389797855706947,2025-01-02 04:09:52.006410,2025-01-02 04:10:02.235739,0 days 00:00:10.229329,4,90,90.0,20.0,85.0,,,,,,,4,6.0,2.0,6.0,,,,,,,COMPLETE
29,29,0.9366828741220962,2025-01-02 04:10:02.236183,2025-01-02 04:10:36.921281,0 days 00:00:34.685098,10,65,50.0,85.0,50.0,100.0,35.0,5.0,5.0,15.0,45.0,3,5.0,4.0,3.0,2.0,4.0,6.0,6.0,2.0,6.0,COMPLETE
30,30,0.9051841631471791,2025-01-02 04:10:36.922277,2025-01-02 04:10:55.733536,0 days 00:00:18.811259,6,65,60.0,65.0,85.0,5.0,65.0,,,,,3,6.0,3.0,5.0,5.0,5.0,,,,,COMPLETE
31,31,0.9490175385697774,2025-01-02 04:10:55.734078,2025-01-02 04:11:07.367631,0 days 00:00:11.633553,4,80,95.0,55.0,85.0,,,,,,,3,5.0,2.0,5.0,,,,,,,COMPLETE
32,32,0.9307684174207264,2025-01-02 04:11:07.368078,2025-01-02 04:11:22.995877,0 days 00:00:15.627799,5,95,90.0,50.0,90.0,40.0,,,,,,6,5.0,2.0,5.0,5.0,,,,,,COMPLETE
33,33,0.9507955854607383,2025-01-02 04:11:22.996372,2025-01-02 04:11:31.584514,0 days 00:00:08.588142,3,80,75.0,55.0,,,,,,,,4,5.0,2.0,,,,,,,,COMPLETE
34,34,0.9507899320530443,2025-01-02 04:11:31.584909,2025-01-02 04:11:42.302577,0 days 00:00:10.717668,4,90,100.0,40.0,60.0,,,,,,,3,6.0,3.0,6.0,,,,,,,COMPLETE
35,35,0.9436091362880048,2025-01-02 04:11:42.303095,2025-01-02 04:11:45.218008,0 days 00:00:02.914913,1,75,,,,,,,,,,2,,,,,,,,,,COMPLETE
36,36,0.9464988814317674,2025-01-02 04:11:45.218347,2025-01-02 04:11:53.133440,0 days 00:00:07.915093,2,100,80.0,,,,,,,,,4,5.0,,,,,,,,,COMPLETE
