,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
26,26,0.8385416666666667,2025-01-01 11:17:33.820411,2025-01-01 11:17:50.340632,0 days 00:00:16.520221,4,20,30.0,90.0,40.0,,,,,,,4,3.0,5.0,2.0,,,,,,,COMPLETE
27,27,0.8445623342175066,2025-01-01 11:17:50.341373,2025-01-01 11:18:15.054266,0 days 00:00:24.712893,5,70,75.0,65.0,5.0,25.0,,,,,,3,4.0,6.0,5.0,6.0,,,,,,COMPLETE
28,28,0.6470588235294118,2025-01-01 11:18:15.054838,2025-01-01 11:18:42.000880,0 days 00:00:26.946042,5,70,75.0,60.0,5.0,25.0,,,,,,4,4.0,6.0,5.0,5.0,,,,,,COMPLETE
29,29,0.753763440860215,2025-01-01 11:18:42.001555,2025-01-01 11:19:08.867832,0 days 00:00:26.866277,6,35,90.0,50.0,45.0,5.0,100.0,,,,,2,4.0,6.0,5.0,6.0,3.0,,,,,COMPLETE
30,30,0.7732497387669801,2025-01-01 11:19:08.868420,2025-01-01 11:19:14.235771,0 days 00:00:05.367351,1,55,,,,,,,,,,3,,,,,,,,,,COMPLETE
31,31,0.7997775305895439,2025-01-01 11:19:14.236170,2025-01-01 11:19:30.776796,0 days 00:00:16.540626,4,35,55.0,80.0,85.0,,,,,,,3,3.0,5.0,3.0,,,,,,,COMPLETE
32,32,0.8385416666666667,2025-01-01 11:19:30.777502,2025-01-01 11:19:54.116131,0 days 00:00:23.338629,5,70,45.0,70.0,5.0,30.0,,,,,,3,2.0,4.0,6.0,5.0,,,,,,COMPLETE
33,33,0.8119363395225465,2025-01-01 11:19:54.116663,2025-01-01 11:20:01.093543,0 days 00:00:06.976880,2,50,60.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
34,34,0.6424242424242423,2025-01-01 11:20:01.093968,2025-01-01 11:20:14.372924,0 days 00:00:13.278956,3,60,40.0,90.0,,,,,,,,4,2.0,6.0,,,,,,,,COMPLETE
35,35,0.7574967405475881,2025-01-01 11:20:14.373401,2025-01-01 11:20:48.459585,0 days 00:00:34.086184,7,75,85.0,80.0,65.0,60.0,25.0,40.0,,,,2,4.0,5.0,5.0,6.0,5.0,2.0,,,,COMPLETE
36,36,0.8221642764015646,2025-01-01 11:20:48.460319,2025-01-01 11:21:04.826150,0 days 00:00:16.365831,4,30,65.0,65.0,50.0,,,,,,,3,4.0,4.0,3.0,,,,,,,COMPLETE
37,37,0.7732497387669801,2025-01-01 11:21:04.826613,2025-01-01 11:21:18.464657,0 days 00:00:13.638044,5,40,50.0,90.0,90.0,20.0,,,,,,2,2.0,5.0,6.0,4.0,,,,,,COMPLETE
38,38,0.829190904283448,2025-01-01 11:21:18.465166,2025-01-01 11:21:28.862735,0 days 00:00:10.397569,2,15,30.0,,,,,,,,,3,5.0,,,,,,,,,COMPLETE
39,39,0.7950558213716108,2025-01-01 11:21:28.863136,2025-01-01 11:21:43.475526,0 days 00:00:14.612390,3,65,15.0,75.0,,,,,,,,4,3.0,5.0,,,,,,,,COMPLETE
40,40,0.8479712378017463,2025-01-01 11:21:43.476225,2025-01-01 11:21:47.748452,0 days 00:00:04.272227,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
41,41,0.8406052963430013,2025-01-01 11:21:47.748878,2025-01-01 11:21:52.277153,0 days 00:00:04.528275,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
42,42,0.8130296610169492,2025-01-01 11:21:52.277691,2025-01-01 11:21:57.954027,0 days 00:00:05.676336,2,85,90.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
43,43,0.80625,2025-01-01 11:21:57.954426,2025-01-01 11:22:03.295442,0 days 00:00:05.341016,1,80,,,,,,,,,,3,,,,,,,,,,COMPLETE
44,44,0.817910447761194,2025-01-01 11:22:03.295890,2025-01-01 11:22:20.086769,0 days 00:00:16.790879,4,50,40.0,85.0,30.0,,,,,,,2,5.0,4.0,2.0,,,,,,,COMPLETE
45,45,0.6666666666666666,2025-01-01 11:22:20.087270,2025-01-01 11:22:44.064258,0 days 00:00:23.976988,5,55,60.0,40.0,20.0,35.0,,,,,,4,3.0,6.0,4.0,5.0,,,,,,COMPLETE
46,46,0.8130618720253834,2025-01-01 11:22:44.064817,2025-01-01 11:22:56.253846,0 days 00:00:12.189029,3,95,75.0,95.0,,,,,,,,3,4.0,3.0,,,,,,,,COMPLETE
47,47,0.8452950558213717,2025-01-01 11:22:56.254544,2025-01-01 11:23:03.765724,0 days 00:00:07.511180,2,85,15.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
48,48,0.8538884524744697,2025-01-01 11:23:03.766170,2025-01-01 11:23:12.544712,0 days 00:00:08.778542,2,85,5.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
49,49,0.8330091692136705,2025-01-01 11:23:12.545145,2025-01-01 11:23:16.539331,0 days 00:00:03.994186,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
50,50,0.7416666666666667,2025-01-01 11:23:16.539736,2025-01-01 11:23:23.621177,0 days 00:00:07.081441,2,100,5.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
51,51,0.7699353448275862,2025-01-01 11:23:23.621721,2025-01-01 11:23:32.355593,0 days 00:00:08.733872,2,85,10.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
52,52,0.7732497387669801,2025-01-01 11:23:32.356036,2025-01-01 11:23:37.696725,0 days 00:00:05.340689,1,80,,,,,,,,,,3,,,,,,,,,,COMPLETE
53,53,0.7833333333333334,2025-01-01 11:23:37.697141,2025-01-01 11:23:55.506431,0 days 00:00:17.809290,3,90,15.0,55.0,,,,,,,,5,4.0,6.0,,,,,,,,COMPLETE
54,54,0.8708333333333333,2025-01-01 11:23:55.506976,2025-01-01 11:23:59.715034,0 days 00:00:04.208058,1,75,,,,,,,,,,2,,,,,,,,,,COMPLETE
55,55,0.8614072494669509,2025-01-01 11:23:59.715422,2025-01-01 11:24:03.705043,0 days 00:00:03.989621,1,80,,,,,,,,,,2,,,,,,,,,,COMPLETE
56,56,0.8325892857142857,2025-01-01 11:24:03.705458,2025-01-01 11:24:07.944992,0 days 00:00:04.239534,1,95,,,,,,,,,,2,,,,,,,,,,COMPLETE
57,57,0.7866559052999731,2025-01-01 11:24:07.945377,2025-01-01 11:24:12.454279,0 days 00:00:04.508902,1,75,,,,,,,,,,2,,,,,,,,,,COMPLETE
58,58,0.7960805084745763,2025-01-01 11:24:12.454693,2025-01-01 11:24:21.957619,0 days 00:00:09.502926,2,75,5.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
59,59,0.7798850574712644,2025-01-01 11:24:21.958051,2025-01-01 11:24:26.204321,0 days 00:00:04.246270,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
60,60,0.7960805084745763,2025-01-01 11:24:26.204735,2025-01-01 11:24:41.801780,0 days 00:00:15.597045,9,65,20.0,40.0,55.0,95.0,50.0,35.0,100.0,100.0,,2,5.0,2.0,2.0,2.0,3.0,5.0,4.0,6.0,,COMPLETE
61,61,0.7965517241379311,2025-01-01 11:24:41.802470,2025-01-01 11:24:47.827870,0 days 00:00:06.025400,2,85,10.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
62,62,0.7516692347200822,2025-01-01 11:24:47.828311,2025-01-01 11:24:53.890824,0 days 00:00:06.062513,2,80,20.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
63,63,0.7485411140583554,2025-01-01 11:24:53.891355,2025-01-01 11:24:59.225824,0 days 00:00:05.334469,1,85,,,,,,,,,,3,,,,,,,,,,COMPLETE
64,64,0.7966684294024325,2025-01-01 11:24:59.226237,2025-01-01 11:25:08.293229,0 days 00:00:09.066992,3,90,15.0,25.0,,,,,,,,2,3.0,2.0,,,,,,,,COMPLETE
65,65,0.7472089314194577,2025-01-01 11:25:08.293686,2025-01-01 11:25:15.784667,0 days 00:00:07.490981,1,95,,,,,,,,,,6,,,,,,,,,,COMPLETE
66,66,0.7837699024139702,2025-01-01 11:25:15.785106,2025-01-01 11:25:25.458697,0 days 00:00:09.673591,2,75,5.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
67,67,0.7681623931623931,2025-01-01 11:25:25.459144,2025-01-01 11:25:32.458523,0 days 00:00:06.999379,2,80,10.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
68,68,0.8293650793650793,2025-01-01 11:25:32.458965,2025-01-01 11:25:37.815625,0 days 00:00:05.356660,1,85,,,,,,,,,,3,,,,,,,,,,COMPLETE
69,69,0.8056426332288402,2025-01-01 11:25:37.816066,2025-01-01 11:25:48.495460,0 days 00:00:10.679394,3,40,25.0,10.0,,,,,,,,2,3.0,3.0,,,,,,,,COMPLETE
70,70,0.7956349206349207,2025-01-01 11:25:48.495924,2025-01-01 11:25:55.456170,0 days 00:00:06.960246,2,60,35.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
71,71,0.7739583333333333,2025-01-01 11:25:55.456605,2025-01-01 11:26:16.820455,0 days 00:00:21.363850,4,70,65.0,65.0,15.0,,,,,,,3,4.0,5.0,5.0,,,,,,,COMPLETE
72,72,0.8056426332288402,2025-01-01 11:26:16.820955,2025-01-01 11:26:21.779827,0 days 00:00:04.958872,1,80,,,,,,,,,,3,,,,,,,,,,COMPLETE
