,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
19,19,0.0,2025-01-01 08:23:04.458880,2025-01-01 08:23:07.412262,0 days 00:00:02.953382,9,80,155.0,,,,,,,,,,,200.0,45.0,80.0,135.0,15.0,145.0,65.0,,4,6.0,,,,,,,,,,,4.0,2.0,3.0,3.0,2.0,6.0,4.0,,COMPLETE
20,20,0.8480392156862746,2025-01-01 08:23:07.412783,2025-01-01 08:23:13.361058,0 days 00:00:05.948275,3,40,170.0,,,,,,,,,,,60.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
21,21,0.8891162029459901,2025-01-01 08:23:13.361440,2025-01-01 08:23:19.440280,0 days 00:00:06.078840,3,40,175.0,,,,,,,,,,,55.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
22,22,0.0,2025-01-01 08:23:19.440697,2025-01-01 08:23:22.736358,0 days 00:00:03.295661,5,5,170.0,,,,,,,,,,,55.0,110.0,10.0,,,,,,3,3.0,,,,,,,,,,,5.0,4.0,5.0,,,,,,COMPLETE
23,23,0.8685714285714285,2025-01-01 08:23:22.736809,2025-01-01 08:23:26.817760,0 days 00:00:04.080951,2,40,130.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.8996386993175431,2025-01-01 08:23:26.818131,2025-01-01 08:23:32.543562,0 days 00:00:05.725431,3,35,130.0,,,,,,,,,,,25.0,,,,,,,,3,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
25,25,0.0,2025-01-01 08:23:32.543979,2025-01-01 08:23:34.621255,0 days 00:00:02.077276,6,5,105.0,,,,,,,,,,,20.0,165.0,145.0,45.0,,,,,3,2.0,,,,,,,,,,,6.0,3.0,3.0,5.0,,,,,COMPLETE
26,26,0.8470057424118129,2025-01-01 08:23:34.621711,2025-01-01 08:23:40.698381,0 days 00:00:06.076670,3,25,130.0,,,,,,,,,,,40.0,,,,,,,,3,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
27,27,0.0,2025-01-01 08:23:40.698778,2025-01-01 08:23:43.545295,0 days 00:00:02.846517,8,200,165.0,,,,,,,,,,,80.0,85.0,90.0,185.0,200.0,60.0,,,4,2.0,,,,,,,,,,,5.0,5.0,4.0,3.0,5.0,4.0,,,COMPLETE
28,28,0.0,2025-01-01 08:23:43.545814,2025-01-01 08:23:50.164910,0 days 00:00:06.619096,12,55,185.0,190.0,10.0,,,,,,,,,5.0,170.0,170.0,135.0,95.0,135.0,135.0,70.0,2,3.0,2.0,4.0,,,,,,,,,6.0,2.0,6.0,4.0,5.0,3.0,4.0,3.0,COMPLETE
29,29,0.0,2025-01-01 08:23:50.165546,2025-01-01 08:24:00.760125,0 days 00:00:10.594579,16,20,90.0,65.0,90.0,120.0,5.0,95.0,15.0,,,,,45.0,120.0,125.0,80.0,105.0,55.0,10.0,200.0,2,4.0,5.0,4.0,6.0,6.0,6.0,2.0,,,,,4.0,4.0,3.0,6.0,3.0,5.0,3.0,5.0,COMPLETE
30,30,0.8199279711884754,2025-01-01 08:24:00.760869,2025-01-01 08:24:09.362462,0 days 00:00:08.601593,4,35,145.0,,,,,,,,,,,20.0,45.0,,,,,,,3,2.0,,,,,,,,,,,5.0,6.0,,,,,,,COMPLETE
31,31,0.8199279711884754,2025-01-01 08:24:09.363024,2025-01-01 08:24:13.201510,0 days 00:00:03.838486,2,40,125.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8792270531400965,2025-01-01 08:24:13.201886,2025-01-01 08:24:17.053644,0 days 00:00:03.851758,2,30,135.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8389694041867954,2025-01-01 08:24:17.054015,2025-01-01 08:24:23.108233,0 days 00:00:06.054218,3,70,155.0,,,,,,,,,,,130.0,,,,,,,,2,3.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
34,34,0.0,2025-01-01 08:24:23.108637,2025-01-01 08:24:26.148571,0 days 00:00:03.039934,5,15,200.0,,,,,,,,,,,75.0,155.0,30.0,,,,,,4,2.0,,,,,,,,,,,5.0,3.0,5.0,,,,,,COMPLETE
35,35,0.8,2025-01-01 08:24:26.149012,2025-01-01 08:24:29.558647,0 days 00:00:03.409635,2,30,115.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.0,2025-01-01 08:24:29.559025,2025-01-01 08:24:32.846772,0 days 00:00:03.287747,5,120,140.0,,,,,,,,,,,50.0,85.0,90.0,,,,,,2,2.0,,,,,,,,,,,4.0,5.0,6.0,,,,,,COMPLETE
37,37,0.0,2025-01-01 08:24:32.847248,2025-01-01 08:24:35.776293,0 days 00:00:02.929045,7,5,160.0,,,,,,,,,,,20.0,5.0,130.0,140.0,60.0,,,,3,3.0,,,,,,,,,,,6.0,2.0,2.0,5.0,2.0,,,,COMPLETE
38,38,0.7756017951856384,2025-01-01 08:24:35.776788,2025-01-01 08:24:39.584087,0 days 00:00:03.807299,2,45,175.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.0,2025-01-01 08:24:39.584458,2025-01-01 08:24:42.140722,0 days 00:00:02.556264,4,65,90.0,,,,,,,,,,,90.0,120.0,,,,,,,4,4.0,,,,,,,,,,,4.0,4.0,,,,,,,COMPLETE
40,40,0.0,2025-01-01 08:24:42.141131,2025-01-01 08:24:48.741740,0 days 00:00:06.600609,10,95,135.0,,,,,,,,,,,65.0,40.0,175.0,30.0,175.0,200.0,70.0,55.0,3,4.0,,,,,,,,,,,5.0,6.0,4.0,3.0,6.0,3.0,4.0,3.0,COMPLETE
41,41,0.8485714285714285,2025-01-01 08:24:48.742320,2025-01-01 08:24:52.356394,0 days 00:00:03.614074,2,15,115.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
