,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
28,28,0.0,2025-01-08 12:23:57.759776,2025-01-08 12:24:11.281936,0 days 00:00:13.522160,9,9,4,45,10.0,,,,,,30.0,50.0,15.0,30.0,5.0,5.0,20.0,,COMPLETE
29,29,0.0,2025-01-08 12:24:11.283729,2025-01-08 12:24:26.500294,0 days 00:00:15.216565,12,9,3,30,25.0,50.0,20.0,,,,25.0,40.0,35.0,20.0,30.0,35.0,10.0,35.0,COMPLETE
30,30,0.0,2025-01-08 12:24:26.501832,2025-01-08 12:24:40.460470,0 days 00:00:13.958638,11,7,3,50,20.0,20.0,,,,,45.0,25.0,10.0,10.0,45.0,15.0,25.0,15.0,COMPLETE
31,31,0.5327272727272727,2025-01-08 12:24:40.461991,2025-01-08 12:24:44.094560,0 days 00:00:03.632569,1,7,5,40,,,,,,,,,,,,,,,COMPLETE
32,32,0.5700000000000001,2025-01-08 12:24:44.095841,2025-01-08 12:24:47.663793,0 days 00:00:03.567952,1,7,4,45,,,,,,,,,,,,,,,COMPLETE
33,33,0.4808139534883721,2025-01-08 12:24:47.665188,2025-01-08 12:24:52.863902,0 days 00:00:05.198714,2,9,4,45,40.0,,,,,,,,,,,,,,COMPLETE
34,34,0.4642105263157895,2025-01-08 12:24:52.865303,2025-01-08 12:24:58.848399,0 days 00:00:05.983096,3,7,4,45,15.0,,,,,,15.0,,,,,,,,COMPLETE
35,35,0.0,2025-01-08 12:24:58.849796,2025-01-08 12:25:21.559543,0 days 00:00:22.709747,15,9,4,50,45.0,35.0,25.0,50.0,50.0,5.0,5.0,10.0,45.0,40.0,20.0,20.0,35.0,30.0,COMPLETE
36,36,0.7123233908948194,2025-01-08 12:25:21.561259,2025-01-08 12:25:24.603712,0 days 00:00:03.042453,1,5,3,35,,,,,,,,,,,,,,,COMPLETE
37,37,0.6356589147286822,2025-01-08 12:25:24.604936,2025-01-08 12:25:27.453017,0 days 00:00:02.848081,1,3,2,35,,,,,,,,,,,,,,,COMPLETE
38,38,0.6764957264957265,2025-01-08 12:25:27.454134,2025-01-08 12:25:30.060419,0 days 00:00:02.606285,1,3,1,30,,,,,,,,,,,,,,,COMPLETE
39,39,0.5543478260869565,2025-01-08 12:25:30.061590,2025-01-08 12:25:34.130583,0 days 00:00:04.068993,3,3,1,30,50.0,,,,,,45.0,,,,,,,,COMPLETE
40,40,0.6307692307692307,2025-01-08 12:25:34.131969,2025-01-08 12:25:37.350485,0 days 00:00:03.218516,2,1,2,20,45.0,,,,,,,,,,,,,,COMPLETE
