,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
29,29,0.8942251217869239,2025-01-08 00:35:55.570274,2025-01-08 00:36:23.418784,0 days 00:00:27.848510,3,5,3,25,45.0,,,,,,35.0,,,,,,,,COMPLETE
30,30,0.31800469530669984,2025-01-08 00:36:23.419683,2025-01-08 00:37:27.528786,0 days 00:01:04.109103,7,5,4,25,50.0,,,,,,35.0,5.0,50.0,15.0,20.0,,,,COMPLETE
31,31,0.8715060117121053,2025-01-08 00:37:27.529831,2025-01-08 00:37:56.890291,0 days 00:00:29.360460,3,5,3,25,45.0,,,,,,45.0,,,,,,,,COMPLETE
32,32,0.8703031124468719,2025-01-08 00:37:56.891230,2025-01-08 00:38:28.225628,0 days 00:00:31.334398,4,7,3,20,45.0,,,,,,35.0,10.0,,,,,,,COMPLETE
33,33,0.0003363605785401951,2025-01-08 00:38:28.226524,2025-01-08 00:38:51.294054,0 days 00:00:23.067530,2,1,4,30,35.0,,,,,,,,,,,,,,COMPLETE
34,34,0.7866140655531355,2025-01-08 00:38:51.294921,2025-01-08 00:39:00.296650,0 days 00:00:09.001729,1,5,2,10,,,,,,,,,,,,,,,COMPLETE
35,35,0.8874292144093727,2025-01-08 00:39:00.297330,2025-01-08 00:39:36.695455,0 days 00:00:36.398125,3,7,3,40,50.0,,,,,,45.0,,,,,,,,COMPLETE
36,36,0.0,2025-01-08 00:39:36.696397,2025-01-08 00:40:58.880074,0 days 00:01:22.183677,15,1,2,50,45.0,5.0,5.0,5.0,5.0,50.0,30.0,15.0,45.0,10.0,25.0,40.0,50.0,20.0,COMPLETE
37,37,0.8850466165230754,2025-01-08 00:40:58.880908,2025-01-08 00:41:22.162507,0 days 00:00:23.281599,4,3,1,15,35.0,,,,,,40.0,45.0,,,,,,,COMPLETE
38,38,0.868070260596453,2025-01-08 00:41:22.163618,2025-01-08 00:41:34.512029,0 days 00:00:12.348411,1,7,2,25,,,,,,,,,,,,,,,COMPLETE
39,39,0.8426654742891035,2025-01-08 00:41:34.512895,2025-01-08 00:42:22.053748,0 days 00:00:47.540853,6,5,3,20,50.0,,,,,,35.0,35.0,30.0,30.0,,,,,COMPLETE
40,40,0.8771622130590826,2025-01-08 00:42:22.055128,2025-01-08 00:42:34.686775,0 days 00:00:12.631647,2,7,1,15,40.0,,,,,,,,,,,,,,COMPLETE
41,41,0.8738741380053716,2025-01-08 00:42:34.687596,2025-01-08 00:43:08.567823,0 days 00:00:33.880227,5,3,2,30,40.0,,,,,,45.0,30.0,10.0,,,,,,COMPLETE
42,42,0.8725877482976014,2025-01-08 00:43:08.568645,2025-01-08 00:43:40.680248,0 days 00:00:32.111603,5,3,2,30,40.0,,,,,,30.0,20.0,30.0,,,,,,COMPLETE
43,43,0.8940739112908827,2025-01-08 00:43:40.681214,2025-01-08 00:44:01.198429,0 days 00:00:20.517215,3,3,1,35,45.0,,,,,,5.0,,,,,,,,COMPLETE
44,44,0.8827572054227402,2025-01-08 00:44:01.199342,2025-01-08 00:44:25.630328,0 days 00:00:24.430986,3,5,1,40,50.0,,,,,,40.0,,,,,,,,COMPLETE
45,45,0.8647684444528377,2025-01-08 00:44:25.631189,2025-01-08 00:44:50.981981,0 days 00:00:25.350792,4,1,1,45,45.0,,,,,,5.0,45.0,,,,,,,COMPLETE
46,46,0.0010063737001006373,2025-01-08 00:44:50.982862,2025-01-08 00:46:05.559857,0 days 00:01:14.576995,12,5,5,35,45.0,30.0,5.0,,,,40.0,10.0,40.0,40.0,10.0,20.0,30.0,30.0,COMPLETE
47,47,0.8991898223953239,2025-01-08 00:46:05.561063,2025-01-08 00:46:15.721793,0 days 00:00:10.160730,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
48,48,0.8466577932877297,2025-01-08 00:46:15.722681,2025-01-08 00:46:28.593427,0 days 00:00:12.870746,1,3,1,45,,,,,,,,,,,,,,,COMPLETE
49,49,0.7395992726276925,2025-01-08 00:46:28.594490,2025-01-08 00:46:43.765618,0 days 00:00:15.171128,2,9,1,35,15.0,,,,,,,,,,,,,,COMPLETE
50,50,0.8665164800793805,2025-01-08 00:46:43.766322,2025-01-08 00:47:09.727995,0 days 00:00:25.961673,4,5,1,40,35.0,,,,,,35.0,15.0,,,,,,,COMPLETE
51,51,0.8991898223953239,2025-01-08 00:47:09.728814,2025-01-08 00:47:19.903912,0 days 00:00:10.175098,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
52,52,0.8991898223953239,2025-01-08 00:47:19.904790,2025-01-08 00:47:30.075168,0 days 00:00:10.170378,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
53,53,0.8991898223953239,2025-01-08 00:47:30.076022,2025-01-08 00:47:40.237655,0 days 00:00:10.161633,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
54,54,0.8991898223953239,2025-01-08 00:47:40.238491,2025-01-08 00:47:50.517993,0 days 00:00:10.279502,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
55,55,0.8556878377181327,2025-01-08 00:47:50.518791,2025-01-08 00:47:59.971347,0 days 00:00:09.452556,1,9,1,20,,,,,,,,,,,,,,,COMPLETE
56,56,0.8847796583032213,2025-01-08 00:47:59.972069,2025-01-08 00:48:10.891624,0 days 00:00:10.919555,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
57,57,0.8530312444337778,2025-01-08 00:48:10.892548,2025-01-08 00:48:24.018224,0 days 00:00:13.125676,2,9,1,25,5.0,,,,,,,,,,,,,,COMPLETE
