,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
30,30,0.0005053057099545225,2025-01-08 13:57:00.050864,2025-01-08 13:57:36.398881,0 days 00:00:36.348017,7,9,4,35,25.0,,,,,,15.0,15.0,35.0,50.0,35.0,,,,COMPLETE
31,31,0.8758214248078731,2025-01-08 13:57:36.399851,2025-01-08 13:57:50.626130,0 days 00:00:14.226279,3,7,3,20,15.0,,,,,,10.0,,,,,,,,COMPLETE
32,32,0.8783490878704109,2025-01-08 13:57:50.627666,2025-01-08 13:58:04.974874,0 days 00:00:14.347208,3,7,3,15,20.0,,,,,,10.0,,,,,,,,COMPLETE
33,33,0.8961743401464021,2025-01-08 13:58:04.975917,2025-01-08 13:58:13.322945,0 days 00:00:08.347028,1,7,3,15,,,,,,,,,,,,,,,COMPLETE
34,34,0.8803923687649318,2025-01-08 13:58:13.327657,2025-01-08 13:58:19.545594,0 days 00:00:06.217937,1,9,1,15,,,,,,,,,,,,,,,COMPLETE
35,35,0.876375477299029,2025-01-08 13:58:19.550795,2025-01-08 13:58:29.272415,0 days 00:00:09.721620,2,7,2,10,35.0,,,,,,,,,,,,,,COMPLETE
36,36,0.8735106226574632,2025-01-08 13:58:29.273461,2025-01-08 13:58:40.248921,0 days 00:00:10.975460,1,5,4,25,,,,,,,,,,,,,,,COMPLETE
37,37,0.8643700673794168,2025-01-08 13:58:40.254254,2025-01-08 13:59:00.596492,0 days 00:00:20.342238,4,9,3,5,45.0,,,,,,25.0,30.0,,,,,,,COMPLETE
38,38,0.6689886417480131,2025-01-08 13:59:00.597544,2025-01-08 13:59:15.404869,0 days 00:00:14.807325,2,7,5,10,10.0,,,,,,,,,,,,,,COMPLETE
39,39,0.8196690542539462,2025-01-08 13:59:15.407873,2025-01-08 13:59:46.096365,0 days 00:00:30.688492,5,5,4,15,30.0,,,,,,5.0,40.0,45.0,,,,,,COMPLETE
40,40,0.0,2025-01-08 13:59:46.097556,2025-01-08 14:00:31.533343,0 days 00:00:45.435787,12,5,3,35,50.0,5.0,45.0,,,,20.0,20.0,10.0,30.0,45.0,50.0,30.0,50.0,COMPLETE
41,41,0.8803923687649318,2025-01-08 14:00:31.534375,2025-01-08 14:00:37.757914,0 days 00:00:06.223539,1,9,1,15,,,,,,,,,,,,,,,COMPLETE
42,42,0.8845588799311463,2025-01-08 14:00:37.758560,2025-01-08 14:00:43.758458,0 days 00:00:05.999898,1,9,1,10,,,,,,,,,,,,,,,COMPLETE
43,43,0.8565518930234162,2025-01-08 14:00:43.761921,2025-01-08 14:00:49.653510,0 days 00:00:05.891589,1,7,1,10,,,,,,,,,,,,,,,COMPLETE
44,44,0.8410353237003825,2025-01-08 14:00:49.656912,2025-01-08 14:00:59.390786,0 days 00:00:09.733874,2,9,2,5,40.0,,,,,,,,,,,,,,COMPLETE
45,45,0.27921924885323535,2025-01-08 14:00:59.391695,2025-01-08 14:01:15.629800,0 days 00:00:16.238105,4,7,2,10,25.0,,,,,,15.0,45.0,,,,,,,COMPLETE
46,46,0.24269133511615637,2025-01-08 14:01:15.631051,2025-01-08 14:01:39.235594,0 days 00:00:23.604543,3,9,5,25,5.0,,,,,,30.0,,,,,,,,COMPLETE
47,47,0.8900690525690526,2025-01-08 14:01:39.236680,2025-01-08 14:01:49.846889,0 days 00:00:10.610209,1,7,4,20,,,,,,,,,,,,,,,COMPLETE
48,48,0.895831361816757,2025-01-08 14:01:49.853644,2025-01-08 14:01:58.851391,0 days 00:00:08.997747,1,7,3,20,,,,,,,,,,,,,,,COMPLETE
49,49,0.81271633442565,2025-01-08 14:01:58.857998,2025-01-08 14:02:07.168364,0 days 00:00:08.310366,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
50,50,0.8853172741018822,2025-01-08 14:02:07.174920,2025-01-08 14:02:16.861067,0 days 00:00:09.686147,1,3,3,30,,,,,,,,,,,,,,,COMPLETE
51,51,0.6666666666666666,2025-01-08 14:02:16.862138,2025-01-08 14:02:26.425178,0 days 00:00:09.563040,1,1,3,30,,,,,,,,,,,,,,,COMPLETE
52,52,0.7200513436917162,2025-01-08 14:02:26.426209,2025-01-08 14:02:42.270986,0 days 00:00:15.844777,2,3,3,35,45.0,,,,,,,,,,,,,,COMPLETE
53,53,0.7223419083469034,2025-01-08 14:02:42.272811,2025-01-08 14:02:51.695627,0 days 00:00:09.422816,1,5,3,25,,,,,,,,,,,,,,,COMPLETE
54,54,0.9002598700588313,2025-01-08 14:02:51.698243,2025-01-08 14:03:03.896579,0 days 00:00:12.198336,2,5,3,30,5.0,,,,,,,,,,,,,,COMPLETE
55,55,0.8620163524039817,2025-01-08 14:03:03.897661,2025-01-08 14:03:15.954348,0 days 00:00:12.056687,2,3,3,30,5.0,,,,,,,,,,,,,,COMPLETE
56,56,0.7141252457174951,2025-01-08 14:03:15.955356,2025-01-08 14:03:26.499136,0 days 00:00:10.543780,2,1,3,30,5.0,,,,,,,,,,,,,,COMPLETE
57,57,0.876385774322809,2025-01-08 14:03:26.508088,2025-01-08 14:03:44.595999,0 days 00:00:18.087911,4,3,3,25,10.0,,,,,,40.0,10.0,,,,,,,COMPLETE
58,58,0.8783847217576127,2025-01-08 14:03:44.597424,2025-01-08 14:03:55.798943,0 days 00:00:11.201519,1,3,3,40,,,,,,,,,,,,,,,COMPLETE
59,59,0.8845396309981969,2025-01-08 14:03:55.800076,2025-01-08 14:04:11.032040,0 days 00:00:15.231964,3,5,3,20,15.0,,,,,,35.0,,,,,,,,COMPLETE
60,60,0.887977361778165,2025-01-08 14:04:11.033282,2025-01-08 14:04:25.107943,0 days 00:00:14.074661,2,7,3,35,5.0,,,,,,,,,,,,,,COMPLETE
