,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
29,29,0.07407407407407407,2025-01-08 10:09:39.651088,2025-01-08 10:09:53.520863,0 days 00:00:13.869775,6,5,5,35,45.0,,,,,,40.0,45.0,25.0,40.0,,,,,COMPLETE
30,30,0.3667763157894737,2025-01-08 10:09:53.521913,2025-01-08 10:10:02.002093,0 days 00:00:08.480180,4,1,5,30,40.0,,,,,,50.0,20.0,,,,,,,COMPLETE
31,31,0.605193661971831,2025-01-08 10:10:02.003133,2025-01-08 10:10:08.914223,0 days 00:00:06.911090,2,3,4,25,50.0,,,,,,,,,,,,,,COMPLETE
32,32,0.0,2025-01-08 10:10:08.915228,2025-01-08 10:10:15.542701,0 days 00:00:06.627473,2,1,4,25,50.0,,,,,,,,,,,,,,COMPLETE
33,33,0.6895238095238095,2025-01-08 10:10:15.543781,2025-01-08 10:10:18.637525,0 days 00:00:03.093744,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
34,34,0.6895238095238095,2025-01-08 10:10:18.638323,2025-01-08 10:10:21.605047,0 days 00:00:02.966724,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
35,35,0.6895238095238095,2025-01-08 10:10:21.631633,2025-01-08 10:10:24.699315,0 days 00:00:03.067682,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
36,36,0.6895238095238095,2025-01-08 10:10:24.725953,2025-01-08 10:10:27.795608,0 days 00:00:03.069655,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
37,37,0.6895238095238095,2025-01-08 10:10:27.822462,2025-01-08 10:10:30.784684,0 days 00:00:02.962222,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
38,38,0.6895238095238095,2025-01-08 10:10:30.811149,2025-01-08 10:10:33.881439,0 days 00:00:03.070290,1,3,3,15,,,,,,,,,,,,,,,COMPLETE
