,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
28,28,0.0,2025-01-08 08:24:34.968226,2025-01-08 08:24:38.995251,0 days 00:00:04.027025,11,5,1,45,40.0,50.0,,,,,25.0,30.0,35.0,10.0,35.0,15.0,45.0,20.0,COMPLETE
29,29,0.8870673952641166,2025-01-08 08:24:38.996583,2025-01-08 08:24:46.672454,0 days 00:00:07.675871,7,3,2,40,25.0,,,,,,45.0,40.0,45.0,20.0,45.0,,,,COMPLETE
30,30,0.7406855439642325,2025-01-08 08:24:46.673681,2025-01-08 08:24:52.977193,0 days 00:00:06.303512,7,3,1,40,5.0,,,,,,45.0,40.0,40.0,30.0,50.0,,,,COMPLETE
31,31,0.8371848739495797,2025-01-08 08:24:52.978392,2025-01-08 08:25:02.427077,0 days 00:00:09.448685,9,3,2,50,25.0,,,,,,35.0,45.0,45.0,20.0,45.0,25.0,25.0,,COMPLETE
32,32,0.34375,2025-01-08 08:25:02.428362,2025-01-08 08:25:10.901882,0 days 00:00:08.473520,7,1,4,45,20.0,,,,,,45.0,35.0,50.0,15.0,45.0,,,,COMPLETE
33,33,0.8286247334754797,2025-01-08 08:25:10.903099,2025-01-08 08:25:19.265971,0 days 00:00:08.362872,8,3,2,50,30.0,,,,,,40.0,45.0,45.0,10.0,35.0,15.0,,,COMPLETE
34,34,0.8035087719298246,2025-01-08 08:25:19.267226,2025-01-08 08:25:24.341990,0 days 00:00:05.074764,5,5,1,40,25.0,,,,,,50.0,40.0,40.0,,,,,,COMPLETE
35,35,0.7824074074074074,2025-01-08 08:25:24.343148,2025-01-08 08:25:31.163839,0 days 00:00:06.820691,8,1,1,45,15.0,,,,,,25.0,30.0,45.0,20.0,45.0,25.0,,,COMPLETE
36,36,0.0,2025-01-08 08:25:31.165267,2025-01-08 08:25:45.560019,0 days 00:00:14.394752,11,7,3,50,35.0,20.0,,,,,35.0,50.0,35.0,20.0,35.0,35.0,35.0,40.0,COMPLETE
37,37,0.0,2025-01-08 08:25:45.561330,2025-01-08 08:25:59.218351,0 days 00:00:13.657021,15,3,3,45,45.0,20.0,50.0,5.0,50.0,45.0,45.0,45.0,50.0,10.0,40.0,10.0,15.0,5.0,COMPLETE
38,38,0.7834821428571428,2025-01-08 08:25:59.219795,2025-01-08 08:26:07.254980,0 days 00:00:08.035185,7,1,2,50,15.0,,,,,,40.0,40.0,50.0,30.0,50.0,,,,COMPLETE
39,39,0.7770491803278688,2025-01-08 08:26:07.256140,2025-01-08 08:26:14.214524,0 days 00:00:06.958384,5,5,4,40,20.0,,,,,,30.0,35.0,40.0,,,,,,COMPLETE
40,40,0.0,2025-01-08 08:26:14.215659,2025-01-08 08:26:22.571958,0 days 00:00:08.356299,9,5,1,50,25.0,,,,,,50.0,45.0,30.0,15.0,45.0,20.0,45.0,,COMPLETE
41,41,0.7818181818181819,2025-01-08 08:26:22.572939,2025-01-08 08:26:32.032820,0 days 00:00:09.459881,9,3,2,50,20.0,,,,,,35.0,45.0,45.0,20.0,45.0,25.0,25.0,,COMPLETE
42,42,0.3620689655172414,2025-01-08 08:26:32.034131,2025-01-08 08:26:44.276509,0 days 00:00:12.242378,10,3,3,50,25.0,,,,,,35.0,40.0,45.0,25.0,40.0,25.0,30.0,20.0,COMPLETE
43,43,0.8101092896174864,2025-01-08 08:26:44.277670,2025-01-08 08:26:55.838471,0 days 00:00:11.560801,11,3,2,45,30.0,50.0,,,,,25.0,50.0,50.0,20.0,45.0,35.0,20.0,35.0,COMPLETE
44,44,0.80625,2025-01-08 08:26:55.891961,2025-01-08 08:27:04.895501,0 days 00:00:09.003540,8,1,2,45,40.0,,,,,,30.0,45.0,45.0,15.0,50.0,30.0,,,COMPLETE
45,45,0.03125,2025-01-08 08:27:04.896428,2025-01-08 08:27:15.771572,0 days 00:00:10.875144,9,5,3,50,25.0,,,,,,35.0,35.0,25.0,25.0,35.0,20.0,30.0,,COMPLETE
46,46,0.8273809523809523,2025-01-08 08:27:15.772855,2025-01-08 08:27:22.221879,0 days 00:00:06.449024,7,1,1,40,45.0,,,,,,40.0,40.0,5.0,20.0,40.0,,,,COMPLETE
47,47,0.0,2025-01-08 08:27:22.223102,2025-01-08 08:27:32.419445,0 days 00:00:10.196343,12,3,3,45,35.0,30.0,30.0,,,,5.0,50.0,35.0,10.0,45.0,10.0,5.0,15.0,COMPLETE
48,48,0.8214192196910186,2025-01-08 08:27:32.420570,2025-01-08 08:27:36.789550,0 days 00:00:04.368980,3,1,2,50,50.0,,,,,,30.0,,,,,,,,COMPLETE
49,49,0.5248538011695907,2025-01-08 08:27:36.790388,2025-01-08 08:27:43.896076,0 days 00:00:07.105688,6,7,5,30,20.0,,,,,,40.0,40.0,40.0,15.0,,,,,COMPLETE
50,50,0.859212684527064,2025-01-08 08:27:43.897084,2025-01-08 08:27:51.867813,0 days 00:00:07.970729,8,1,1,40,25.0,,,,,,45.0,25.0,50.0,45.0,50.0,25.0,,,COMPLETE
51,51,0.8202805376972531,2025-01-08 08:27:51.912961,2025-01-08 08:27:59.547970,0 days 00:00:07.635009,8,1,1,25,25.0,,,,,,45.0,25.0,50.0,40.0,50.0,25.0,,,COMPLETE
