,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
29,29,0.16199740100902002,2025-01-08 07:18:21.253504,2025-01-08 07:18:36.551350,0 days 00:00:15.297846,10,1,3,10,10.0,,,,,,30.0,35.0,40.0,35.0,50.0,40.0,50.0,30.0,COMPLETE
30,30,0.7971806121200469,2025-01-08 07:18:36.552151,2025-01-08 07:18:43.610912,0 days 00:00:07.058761,5,3,3,40,20.0,,,,,,15.0,20.0,25.0,,,,,,COMPLETE
31,31,0.8216981698169817,2025-01-08 07:18:43.611601,2025-01-08 07:18:48.341040,0 days 00:00:04.729439,3,1,3,20,25.0,,,,,,20.0,,,,,,,,COMPLETE
32,32,0.64999455989555,2025-01-08 07:18:48.341559,2025-01-08 07:18:54.361039,0 days 00:00:06.019480,3,1,4,15,35.0,,,,,,15.0,,,,,,,,COMPLETE
33,33,0.8030936923071366,2025-01-08 07:18:54.361576,2025-01-08 07:19:00.367914,0 days 00:00:06.006338,4,3,3,25,15.0,,,,,,25.0,40.0,,,,,,,COMPLETE
34,34,0.5210770121598147,2025-01-08 07:19:00.368550,2025-01-08 07:19:04.813800,0 days 00:00:04.445250,2,1,5,20,10.0,,,,,,,,,,,,,,COMPLETE
35,35,0.7979193758127439,2025-01-08 07:19:04.814329,2025-01-08 07:19:09.705118,0 days 00:00:04.890789,4,3,2,15,25.0,,,,,,20.0,10.0,,,,,,,COMPLETE
36,36,0.7251565124446481,2025-01-08 07:19:09.705715,2025-01-08 07:19:17.740658,0 days 00:00:08.034943,7,1,1,25,35.0,,,,,,35.0,35.0,10.0,10.0,30.0,,,,COMPLETE
37,37,0.8057547150791029,2025-01-08 07:19:17.741555,2025-01-08 07:19:22.356622,0 days 00:00:04.615067,3,3,2,45,15.0,,,,,,10.0,,,,,,,,COMPLETE
38,38,0.18637546164062074,2025-01-08 07:19:22.357182,2025-01-08 07:19:30.713125,0 days 00:00:08.355943,5,1,4,10,5.0,,,,,,25.0,20.0,35.0,,,,,,COMPLETE
39,39,0.8251450086816478,2025-01-08 07:19:30.713770,2025-01-08 07:19:34.499150,0 days 00:00:03.785380,2,5,1,50,30.0,,,,,,,,,,,,,,COMPLETE
40,40,0.8087358768626167,2025-01-08 07:19:34.499652,2025-01-08 07:19:36.988181,0 days 00:00:02.488529,1,5,1,50,,,,,,,,,,,,,,,COMPLETE
41,41,0.8247226430732448,2025-01-08 07:19:36.988711,2025-01-08 07:19:40.541240,0 days 00:00:03.552529,2,7,1,45,30.0,,,,,,,,,,,,,,COMPLETE
42,42,0.8247226430732448,2025-01-08 07:19:40.541729,2025-01-08 07:19:44.196261,0 days 00:00:03.654532,2,7,1,45,30.0,,,,,,,,,,,,,,COMPLETE
43,43,0.8131159489178312,2025-01-08 07:19:44.196793,2025-01-08 07:19:48.040763,0 days 00:00:03.843970,2,9,1,50,35.0,,,,,,,,,,,,,,COMPLETE
44,44,0.7924321604519557,2025-01-08 07:19:48.041496,2025-01-08 07:19:54.303828,0 days 00:00:06.262332,4,7,1,50,30.0,,,,,,50.0,40.0,,,,,,,COMPLETE
45,45,0.7880551895993546,2025-01-08 07:19:54.304510,2025-01-08 07:19:56.826447,0 days 00:00:02.521937,1,5,1,45,,,,,,,,,,,,,,,COMPLETE
46,46,0.8194274106398689,2025-01-08 07:19:56.827006,2025-01-08 07:20:02.231651,0 days 00:00:05.404645,3,5,2,45,40.0,,,,,,30.0,,,,,,,,COMPLETE
47,47,0.8152419354838709,2025-01-08 07:20:02.232314,2025-01-08 07:20:05.926162,0 days 00:00:03.693848,2,7,1,50,30.0,,,,,,,,,,,,,,COMPLETE
48,48,0.8084699814863792,2025-01-08 07:20:05.926686,2025-01-08 07:20:11.900264,0 days 00:00:05.973578,4,5,1,50,40.0,,,,,,40.0,10.0,,,,,,,COMPLETE
49,49,0.0,2025-01-08 07:20:11.900948,2025-01-08 07:20:28.822699,0 days 00:00:16.921751,13,9,2,40,20.0,50.0,5.0,5.0,,,45.0,45.0,25.0,45.0,5.0,35.0,25.0,50.0,COMPLETE
50,50,0.7926695060476059,2025-01-08 07:20:28.823685,2025-01-08 07:20:31.522909,0 days 00:00:02.699224,1,5,2,45,,,,,,,,,,,,,,,COMPLETE
51,51,0.8247226430732448,2025-01-08 07:20:31.523481,2025-01-08 07:20:35.078479,0 days 00:00:03.554998,2,7,1,45,30.0,,,,,,,,,,,,,,COMPLETE
52,52,0.0,2025-01-08 07:20:35.078948,2025-01-08 07:20:47.334976,0 days 00:00:12.256028,9,7,1,40,35.0,,,,,,35.0,50.0,45.0,25.0,20.0,35.0,35.0,,COMPLETE
53,53,0.8247226430732448,2025-01-08 07:20:47.335923,2025-01-08 07:20:50.895407,0 days 00:00:03.559484,2,7,1,45,30.0,,,,,,,,,,,,,,COMPLETE
