,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
30,30,0.527392670157068,2025-01-08 16:44:21.023981,2025-01-08 16:44:30.877656,0 days 00:00:09.853675,7,9,3,30,25.0,,,,,,45.0,40.0,20.0,15.0,40.0,,,,COMPLETE
31,31,0.955873544093178,2025-01-08 16:44:30.879320,2025-01-08 16:44:33.569806,0 days 00:00:02.690486,1,5,2,35,,,,,,,,,,,,,,,COMPLETE
32,32,0.955873544093178,2025-01-08 16:44:33.578354,2025-01-08 16:44:36.366181,0 days 00:00:02.787827,1,5,2,35,,,,,,,,,,,,,,,COMPLETE
33,33,0.9498063451670186,2025-01-08 16:44:36.372125,2025-01-08 16:44:41.276690,0 days 00:00:04.904565,3,3,3,40,10.0,,,,,,15.0,,,,,,,,COMPLETE
34,34,0.9565771174229439,2025-01-08 16:44:41.278031,2025-01-08 16:44:45.786647,0 days 00:00:04.508616,2,5,3,45,35.0,,,,,,,,,,,,,,COMPLETE
35,35,0.006600660066006601,2025-01-08 16:44:45.788077,2025-01-08 16:44:52.746075,0 days 00:00:06.957998,3,3,4,45,35.0,,,,,,35.0,,,,,,,,COMPLETE
36,36,0.9361344537815126,2025-01-08 16:44:52.747836,2025-01-08 16:45:01.752650,0 days 00:00:09.004814,5,7,3,50,40.0,,,,,,45.0,25.0,50.0,,,,,,COMPLETE
37,37,0.9531799229872233,2025-01-08 16:45:01.754049,2025-01-08 16:45:06.539612,0 days 00:00:04.785563,2,7,3,45,45.0,,,,,,,,,,,,,,COMPLETE
38,38,0.22333101622864476,2025-01-08 16:45:06.541170,2025-01-08 16:45:13.222353,0 days 00:00:06.681183,4,9,4,40,30.0,,,,,,15.0,45.0,,,,,,,COMPLETE
39,39,0.2927158084686726,2025-01-08 16:45:13.223918,2025-01-08 16:45:19.448142,0 days 00:00:06.224224,3,5,5,50,45.0,,,,,,10.0,,,,,,,,COMPLETE
40,40,0.95473115463993,2025-01-08 16:45:19.449254,2025-01-08 16:45:22.046611,0 days 00:00:02.597357,2,7,1,10,35.0,,,,,,,,,,,,,,COMPLETE
41,41,0.9574652198107958,2025-01-08 16:45:22.049015,2025-01-08 16:45:24.894149,0 days 00:00:02.845134,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
42,42,0.9574652198107958,2025-01-08 16:45:24.904433,2025-01-08 16:45:27.750187,0 days 00:00:02.845754,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
43,43,0.9574652198107958,2025-01-08 16:45:27.760539,2025-01-08 16:45:30.605583,0 days 00:00:02.845044,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
44,44,0.0,2025-01-08 16:45:30.615871,2025-01-08 16:45:45.700939,0 days 00:00:15.085068,15,3,1,20,15.0,30.0,50.0,5.0,50.0,50.0,30.0,10.0,15.0,30.0,15.0,15.0,25.0,45.0,COMPLETE
45,45,0.9574652198107958,2025-01-08 16:45:45.702064,2025-01-08 16:45:48.665158,0 days 00:00:02.963094,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
46,46,0.9552720933412333,2025-01-08 16:45:48.666924,2025-01-08 16:45:53.773634,0 days 00:00:05.106710,4,5,1,40,20.0,,,,,,40.0,20.0,,,,,,,COMPLETE
47,47,0.9510405130663316,2025-01-08 16:45:53.775245,2025-01-08 16:45:57.126071,0 days 00:00:03.350826,2,9,2,30,5.0,,,,,,,,,,,,,,COMPLETE
48,48,0.9404854248873,2025-01-08 16:45:57.132582,2025-01-08 16:46:01.064335,0 days 00:00:03.931753,3,7,1,35,10.0,,,,,,25.0,,,,,,,,COMPLETE
49,49,0.0,2025-01-08 16:46:01.068236,2025-01-08 16:46:15.157025,0 days 00:00:14.088789,13,9,2,20,50.0,30.0,5.0,45.0,,,5.0,35.0,35.0,45.0,40.0,35.0,5.0,25.0,COMPLETE
50,50,0.9428387417517852,2025-01-08 16:46:15.158781,2025-01-08 16:46:17.576655,0 days 00:00:02.417874,1,5,2,25,,,,,,,,,,,,,,,COMPLETE
51,51,0.9574652198107958,2025-01-08 16:46:17.577630,2025-01-08 16:46:20.423997,0 days 00:00:02.846367,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
52,52,0.6611363636363636,2025-01-08 16:46:20.433956,2025-01-08 16:46:24.486113,0 days 00:00:04.052157,2,1,2,45,25.0,,,,,,,,,,,,,,COMPLETE
53,53,0.9384384079318961,2025-01-08 16:46:24.487536,2025-01-08 16:46:27.628673,0 days 00:00:03.141137,1,3,3,40,,,,,,,,,,,,,,,COMPLETE
54,54,0.9564652572214194,2025-01-08 16:46:27.629355,2025-01-08 16:46:31.185456,0 days 00:00:03.556101,2,9,2,30,30.0,,,,,,,,,,,,,,COMPLETE
55,55,0.9497537913328937,2025-01-08 16:46:31.192956,2025-01-08 16:46:35.108524,0 days 00:00:03.915568,3,7,1,35,10.0,,,,,,50.0,,,,,,,,COMPLETE
56,56,0.9461149811554124,2025-01-08 16:46:35.109741,2025-01-08 16:46:37.891115,0 days 00:00:02.781374,1,9,2,35,,,,,,,,,,,,,,,COMPLETE
57,57,0.9423450502351729,2025-01-08 16:46:37.900103,2025-01-08 16:46:40.560586,0 days 00:00:02.660483,1,3,1,40,,,,,,,,,,,,,,,COMPLETE
58,58,0.9513308841124389,2025-01-08 16:46:40.570767,2025-01-08 16:46:45.208058,0 days 00:00:04.637291,3,5,2,45,20.0,,,,,,15.0,,,,,,,,COMPLETE
59,59,0.9573773695524721,2025-01-08 16:46:45.209611,2025-01-08 16:46:49.151030,0 days 00:00:03.941419,2,9,3,30,30.0,,,,,,,,,,,,,,COMPLETE
60,60,0.18845363212600247,2025-01-08 16:46:49.152368,2025-01-08 16:46:58.122729,0 days 00:00:08.970361,11,7,2,10,40.0,15.0,,,,,35.0,45.0,25.0,20.0,15.0,15.0,50.0,25.0,COMPLETE
61,61,0.9574652198107958,2025-01-08 16:46:58.124090,2025-01-08 16:47:00.983042,0 days 00:00:02.858952,1,5,2,40,,,,,,,,,,,,,,,COMPLETE
62,62,0.955873544093178,2025-01-08 16:47:00.986345,2025-01-08 16:47:03.781613,0 days 00:00:02.795268,1,5,2,35,,,,,,,,,,,,,,,COMPLETE
63,63,0.9479753777933368,2025-01-08 16:47:03.783195,2025-01-08 16:47:07.346551,0 days 00:00:03.563356,2,5,2,40,5.0,,,,,,,,,,,,,,COMPLETE
64,64,0.955873544093178,2025-01-08 16:47:07.348011,2025-01-08 16:47:10.033229,0 days 00:00:02.685218,1,5,2,35,,,,,,,,,,,,,,,COMPLETE
65,65,0.9524540901502504,2025-01-08 16:47:10.042216,2025-01-08 16:47:12.749255,0 days 00:00:02.707039,1,5,1,45,,,,,,,,,,,,,,,COMPLETE
66,66,0.9471333569432967,2025-01-08 16:47:12.750389,2025-01-08 16:47:19.440991,0 days 00:00:06.690602,5,5,2,40,15.0,,,,,,35.0,15.0,45.0,,,,,,COMPLETE
67,67,0.9461581920903954,2025-01-08 16:47:19.442569,2025-01-08 16:47:22.679917,0 days 00:00:03.237348,2,5,3,15,20.0,,,,,,,,,,,,,,COMPLETE
68,68,0.9502298791638893,2025-01-08 16:47:22.683017,2025-01-08 16:47:25.147286,0 days 00:00:02.464269,1,3,2,25,,,,,,,,,,,,,,,COMPLETE
69,69,0.9581929277534642,2025-01-08 16:47:25.153509,2025-01-08 16:47:29.079674,0 days 00:00:03.926165,3,5,1,40,10.0,,,,,,30.0,,,,,,,,COMPLETE
70,70,0.9479074864980905,2025-01-08 16:47:29.081004,2025-01-08 16:47:33.020510,0 days 00:00:03.939506,3,9,1,35,10.0,,,,,,30.0,,,,,,,,COMPLETE
71,71,0.9639600899381675,2025-01-08 16:47:33.021765,2025-01-08 16:47:36.330961,0 days 00:00:03.309196,2,5,1,40,5.0,,,,,,,,,,,,,,COMPLETE
72,72,0.9639600899381675,2025-01-08 16:47:36.332091,2025-01-08 16:47:39.638643,0 days 00:00:03.306552,2,5,1,40,5.0,,,,,,,,,,,,,,COMPLETE
73,73,0.9493243243243243,2025-01-08 16:47:39.639694,2025-01-08 16:47:42.591784,0 days 00:00:02.952090,2,5,1,30,5.0,,,,,,,,,,,,,,COMPLETE
74,74,0.922091797904104,2025-01-08 16:47:42.598114,2025-01-08 16:47:47.450076,0 days 00:00:04.851962,4,5,1,45,5.0,,,,,,30.0,10.0,,,,,,,COMPLETE
75,75,0.9471884028644341,2025-01-08 16:47:47.451665,2025-01-08 16:47:51.221776,0 days 00:00:03.770111,3,5,1,35,10.0,,,,,,20.0,,,,,,,,COMPLETE
76,76,0.9564489112227805,2025-01-08 16:47:51.222939,2025-01-08 16:47:54.726781,0 days 00:00:03.503842,2,7,1,45,15.0,,,,,,,,,,,,,,COMPLETE
77,77,0.9529411764705882,2025-01-08 16:47:54.727997,2025-01-08 16:47:58.127335,0 days 00:00:03.399338,2,9,1,40,5.0,,,,,,,,,,,,,,COMPLETE
78,78,0.0,2025-01-08 16:47:58.128518,2025-01-08 16:48:04.146697,0 days 00:00:06.018179,7,5,1,5,10.0,,,,,,25.0,40.0,10.0,10.0,25.0,,,,COMPLETE
79,79,0.8780666936505243,2025-01-08 16:48:04.150159,2025-01-08 16:48:14.468096,0 days 00:00:10.317937,10,5,1,40,10.0,,,,,,40.0,30.0,20.0,30.0,45.0,45.0,35.0,35.0,COMPLETE
80,80,0.9250173423155401,2025-01-08 16:48:14.469786,2025-01-08 16:48:19.140125,0 days 00:00:04.670339,4,5,1,35,5.0,,,,,,45.0,25.0,,,,,,,COMPLETE
81,81,0.9547297297297297,2025-01-08 16:48:19.141379,2025-01-08 16:48:22.554576,0 days 00:00:03.413197,2,5,1,40,15.0,,,,,,,,,,,,,,COMPLETE
82,82,0.9524540901502504,2025-01-08 16:48:22.555856,2025-01-08 16:48:25.253385,0 days 00:00:02.697529,1,5,1,45,,,,,,,,,,,,,,,COMPLETE
83,83,0.9558589438537524,2025-01-08 16:48:25.264778,2025-01-08 16:48:27.828818,0 days 00:00:02.564040,1,5,1,40,,,,,,,,,,,,,,,COMPLETE
84,84,0.9482224730688296,2025-01-08 16:48:27.838789,2025-01-08 16:48:32.506601,0 days 00:00:04.667812,3,5,2,40,10.0,,,,,,50.0,,,,,,,,COMPLETE
85,85,0.0,2025-01-08 16:48:32.508029,2025-01-08 16:48:45.437873,0 days 00:00:12.929844,14,3,1,20,5.0,40.0,30.0,30.0,5.0,,15.0,5.0,35.0,35.0,10.0,20.0,15.0,15.0,COMPLETE
86,86,0.948950437807768,2025-01-08 16:48:45.439658,2025-01-08 16:48:48.960022,0 days 00:00:03.520364,2,9,2,35,15.0,,,,,,,,,,,,,,COMPLETE
87,87,0.3694968553459119,2025-01-08 16:48:48.968125,2025-01-08 16:48:55.548687,0 days 00:00:06.580562,3,5,5,30,5.0,,,,,,30.0,,,,,,,,COMPLETE
88,88,0.967323247707043,2025-01-08 16:48:55.555390,2025-01-08 16:48:58.131679,0 days 00:00:02.576289,1,7,1,40,,,,,,,,,,,,,,,COMPLETE
89,89,0.9564489112227805,2025-01-08 16:48:58.142124,2025-01-08 16:49:01.647184,0 days 00:00:03.505060,2,7,1,45,15.0,,,,,,,,,,,,,,COMPLETE
90,90,0.9627850518276051,2025-01-08 16:49:01.648617,2025-01-08 16:49:04.418946,0 days 00:00:02.770329,1,9,1,40,,,,,,,,,,,,,,,COMPLETE
91,91,0.9627850518276051,2025-01-08 16:49:04.429700,2025-01-08 16:49:07.096839,0 days 00:00:02.667139,1,9,1,40,,,,,,,,,,,,,,,COMPLETE
92,92,0.9627850518276051,2025-01-08 16:49:07.107103,2025-01-08 16:49:09.772008,0 days 00:00:02.664905,1,9,1,40,,,,,,,,,,,,,,,COMPLETE
93,93,0.9445988214791479,2025-01-08 16:49:09.782517,2025-01-08 16:49:13.103881,0 days 00:00:03.321364,2,9,1,40,10.0,,,,,,,,,,,,,,COMPLETE
94,94,0.955455769840192,2025-01-08 16:49:13.105146,2025-01-08 16:49:15.706017,0 days 00:00:02.600871,1,9,1,35,,,,,,,,,,,,,,,COMPLETE
95,95,0.9611934924220106,2025-01-08 16:49:15.715024,2025-01-08 16:49:18.496271,0 days 00:00:02.781247,1,9,1,45,,,,,,,,,,,,,,,COMPLETE
96,96,0.9639849328161016,2025-01-08 16:49:18.497058,2025-01-08 16:49:21.432511,0 days 00:00:02.935453,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
97,97,0.9639849328161016,2025-01-08 16:49:21.433393,2025-01-08 16:49:24.468055,0 days 00:00:03.034662,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
98,98,0.9639849328161016,2025-01-08 16:49:24.469035,2025-01-08 16:49:27.398198,0 days 00:00:02.929163,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
99,99,0.9639849328161016,2025-01-08 16:49:27.411365,2025-01-08 16:49:30.350568,0 days 00:00:02.939203,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
100,100,0.9639849328161016,2025-01-08 16:49:30.351204,2025-01-08 16:49:33.388420,0 days 00:00:03.037216,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
101,101,0.9639849328161016,2025-01-08 16:49:33.389634,2025-01-08 16:49:36.325444,0 days 00:00:02.935810,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
102,102,0.9639849328161016,2025-01-08 16:49:36.326441,2025-01-08 16:49:39.266612,0 days 00:00:02.940171,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
103,103,0.9639849328161016,2025-01-08 16:49:39.267777,2025-01-08 16:49:42.324290,0 days 00:00:03.056513,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
104,104,0.9588621518259044,2025-01-08 16:49:42.325519,2025-01-08 16:49:46.059087,0 days 00:00:03.733568,2,9,1,50,20.0,,,,,,,,,,,,,,COMPLETE
105,105,0.9639849328161016,2025-01-08 16:49:46.059781,2025-01-08 16:49:48.998318,0 days 00:00:02.938537,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
106,106,0.9639849328161016,2025-01-08 16:49:48.999608,2025-01-08 16:49:52.038721,0 days 00:00:03.039113,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
107,107,0.9639849328161016,2025-01-08 16:49:52.039619,2025-01-08 16:49:54.976059,0 days 00:00:02.936440,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
108,108,0.9639849328161016,2025-01-08 16:49:54.976948,2025-01-08 16:49:57.913394,0 days 00:00:02.936446,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
109,109,0.9639849328161016,2025-01-08 16:49:57.914544,2025-01-08 16:50:00.847766,0 days 00:00:02.933222,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
110,110,0.9639849328161016,2025-01-08 16:50:00.848961,2025-01-08 16:50:03.880380,0 days 00:00:03.031419,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
111,111,0.9639849328161016,2025-01-08 16:50:03.881213,2025-01-08 16:50:06.818124,0 days 00:00:02.936911,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
112,112,0.9639849328161016,2025-01-08 16:50:06.818881,2025-01-08 16:50:09.855448,0 days 00:00:03.036567,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
113,113,0.9639849328161016,2025-01-08 16:50:09.856217,2025-01-08 16:50:12.793366,0 days 00:00:02.937149,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
114,114,0.961438063597532,2025-01-08 16:50:12.794553,2025-01-08 16:50:17.113469,0 days 00:00:04.318916,2,9,1,50,45.0,,,,,,,,,,,,,,COMPLETE
115,115,0.9639849328161016,2025-01-08 16:50:17.114559,2025-01-08 16:50:20.148753,0 days 00:00:03.034194,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
116,116,0.9639849328161016,2025-01-08 16:50:20.149956,2025-01-08 16:50:23.088461,0 days 00:00:02.938505,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
117,117,0.9566661851798354,2025-01-08 16:50:23.089549,2025-01-08 16:50:27.498734,0 days 00:00:04.409185,2,9,1,50,50.0,,,,,,,,,,,,,,COMPLETE
118,118,0.9639849328161016,2025-01-08 16:50:27.499718,2025-01-08 16:50:30.435348,0 days 00:00:02.935630,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
119,119,0.9632851588086909,2025-01-08 16:50:30.436558,2025-01-08 16:50:34.734461,0 days 00:00:04.297903,2,9,1,50,40.0,,,,,,,,,,,,,,COMPLETE
120,120,0.9639849328161016,2025-01-08 16:50:34.735577,2025-01-08 16:50:37.674200,0 days 00:00:02.938623,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
121,121,0.9639849328161016,2025-01-08 16:50:37.675240,2025-01-08 16:50:40.614983,0 days 00:00:02.939743,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
122,122,0.9639849328161016,2025-01-08 16:50:40.616050,2025-01-08 16:50:43.651222,0 days 00:00:03.035172,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
123,123,0.9521513290357511,2025-01-08 16:50:43.664502,2025-01-08 16:50:47.484549,0 days 00:00:03.820047,2,9,1,50,25.0,,,,,,,,,,,,,,COMPLETE
124,124,0.9639849328161016,2025-01-08 16:50:47.485481,2025-01-08 16:50:50.520170,0 days 00:00:03.034689,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
125,125,0.9639849328161016,2025-01-08 16:50:50.521284,2025-01-08 16:50:53.458491,0 days 00:00:02.937207,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
126,126,0.9615331906979345,2025-01-08 16:50:53.459414,2025-01-08 16:50:57.173828,0 days 00:00:03.714414,2,9,1,45,30.0,,,,,,,,,,,,,,COMPLETE
127,127,0.9639849328161016,2025-01-08 16:50:57.175079,2025-01-08 16:51:00.208918,0 days 00:00:03.033839,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
128,128,0.9549228646682554,2025-01-08 16:51:00.210087,2025-01-08 16:51:04.209820,0 days 00:00:03.999733,2,9,1,45,40.0,,,,,,,,,,,,,,COMPLETE
129,129,0.9639849328161016,2025-01-08 16:51:04.211147,2025-01-08 16:51:07.147234,0 days 00:00:02.936087,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
130,130,0.9639849328161016,2025-01-08 16:51:07.148303,2025-01-08 16:51:10.184431,0 days 00:00:03.036128,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
131,131,0.9639849328161016,2025-01-08 16:51:10.197585,2025-01-08 16:51:13.138615,0 days 00:00:02.941030,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
132,132,0.9639849328161016,2025-01-08 16:51:13.139714,2025-01-08 16:51:16.076829,0 days 00:00:02.937115,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
133,133,0.961438063597532,2025-01-08 16:51:16.078029,2025-01-08 16:51:20.491137,0 days 00:00:04.413108,2,9,1,50,45.0,,,,,,,,,,,,,,COMPLETE
134,134,0.9611934924220106,2025-01-08 16:51:20.492291,2025-01-08 16:51:23.272359,0 days 00:00:02.780068,1,9,1,45,,,,,,,,,,,,,,,COMPLETE
135,135,0.9639849328161016,2025-01-08 16:51:23.273533,2025-01-08 16:51:26.332276,0 days 00:00:03.058743,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
136,136,0.9607395329618172,2025-01-08 16:51:26.333424,2025-01-08 16:51:30.347854,0 days 00:00:04.014430,2,9,1,50,35.0,,,,,,,,,,,,,,COMPLETE
137,137,0.9611934924220106,2025-01-08 16:51:30.348663,2025-01-08 16:51:33.135061,0 days 00:00:02.786398,1,9,1,45,,,,,,,,,,,,,,,COMPLETE
138,138,0.0,2025-01-08 16:51:33.136368,2025-01-08 16:51:42.233244,0 days 00:00:09.096876,8,9,1,50,45.0,,,,,,5.0,30.0,45.0,20.0,30.0,40.0,,,COMPLETE
139,139,0.9566661851798354,2025-01-08 16:51:42.234791,2025-01-08 16:51:46.644149,0 days 00:00:04.409358,2,9,1,50,50.0,,,,,,,,,,,,,,COMPLETE
140,140,0.9347091932457786,2025-01-08 16:51:46.645003,2025-01-08 16:51:50.265039,0 days 00:00:03.620036,1,7,4,45,,,,,,,,,,,,,,,COMPLETE
141,141,0.9639849328161016,2025-01-08 16:51:50.266021,2025-01-08 16:51:53.202602,0 days 00:00:02.936581,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
142,142,0.9639849328161016,2025-01-08 16:51:53.203792,2025-01-08 16:51:56.239244,0 days 00:00:03.035452,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
143,143,0.0,2025-01-08 16:51:56.240266,2025-01-08 16:52:03.900407,0 days 00:00:07.660141,7,9,1,50,25.0,,,,,,10.0,15.0,10.0,45.0,35.0,,,,COMPLETE
144,144,0.9639849328161016,2025-01-08 16:52:03.901702,2025-01-08 16:52:06.842818,0 days 00:00:02.941116,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
145,145,0.9639849328161016,2025-01-08 16:52:06.845928,2025-01-08 16:52:09.784379,0 days 00:00:02.938451,1,9,1,50,,,,,,,,,,,,,,,COMPLETE
146,146,0.9611934924220106,2025-01-08 16:52:09.785315,2025-01-08 16:52:12.667880,0 days 00:00:02.882565,1,9,1,45,,,,,,,,,,,,,,,COMPLETE
