,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
12,12,0.0,2025-01-02 23:15:42.367849,2025-01-02 23:15:50.461686,0 days 00:00:08.093837,20,50,65.0,200.0,100.0,150.0,150.0,60.0,65.0,55.0,55.0,145.0,5.0,5.0,125.0,140.0,20.0,135.0,65.0,175.0,20.0,5,6.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,6.0,2.0,2.0,3.0,2.0,6.0,2.0,6.0,3.0,2.0,3,3.0,4.0,3.0,3.0,2.0,5.0,2.0,6.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,6.0,COMPLETE
13,13,0.0,2025-01-02 23:15:50.463491,2025-01-02 23:16:25.902255,0 days 00:00:35.438764,15,135,160.0,125.0,165.0,15.0,15.0,200.0,,,,,,155.0,45.0,80.0,190.0,60.0,200.0,135.0,200.0,3,5.0,5.0,2.0,2.0,2.0,6.0,,,,,,6.0,4.0,6.0,3.0,3.0,4.0,2.0,6.0,5,5.0,4.0,6.0,6.0,6.0,2.0,,,,,,3.0,6.0,3.0,3.0,5.0,4.0,5.0,4.0,COMPLETE
14,14,0.0,2025-01-02 23:16:25.903593,2025-01-02 23:16:32.852243,0 days 00:00:06.948650,16,50,45.0,20.0,40.0,80.0,95.0,5.0,175.0,,,,,45.0,150.0,200.0,145.0,195.0,50.0,150.0,65.0,6,5.0,5.0,6.0,3.0,3.0,4.0,6.0,,,,,3.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,3,3.0,6.0,4.0,2.0,4.0,6.0,6.0,,,,,5.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,COMPLETE
15,15,0.0,2025-01-02 23:16:32.853686,2025-01-02 23:16:35.291479,0 days 00:00:02.437793,6,200,110.0,,,,,,,,,,,145.0,75.0,165.0,50.0,,,,,2,5.0,,,,,,,,,,,3.0,4.0,3.0,6.0,,,,,5,5.0,,,,,,,,,,,3.0,2.0,6.0,2.0,,,,,COMPLETE
16,16,0.6666666666666666,2025-01-02 23:16:35.292537,2025-01-02 23:16:36.871167,0 days 00:00:01.578630,1,55,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
17,17,0.6950354609929078,2025-01-02 23:16:36.871681,2025-01-02 23:16:38.504837,0 days 00:00:01.633156,1,40,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
18,18,0.0,2025-01-02 23:16:38.505329,2025-01-02 23:16:39.244782,0 days 00:00:00.739453,3,30,40.0,,,,,,,,,,,195.0,,,,,,,,5,3.0,,,,,,,,,,,2.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
19,19,0.6204906204906204,2025-01-02 23:16:39.245346,2025-01-02 23:17:01.703277,0 days 00:00:22.457931,7,30,100.0,,,,,,,,,,,175.0,150.0,55.0,135.0,45.0,,,,5,5.0,,,,,,,,,,,3.0,5.0,6.0,5.0,6.0,,,,3,3.0,,,,,,,,,,,3.0,6.0,5.0,3.0,5.0,,,,COMPLETE
20,20,0.6236111111111111,2025-01-02 23:17:01.704716,2025-01-02 23:17:06.496341,0 days 00:00:04.791625,3,70,45.0,,,,,,,,,,,140.0,,,,,,,,3,3.0,,,,,,,,,,,3.0,,,,,,,,6,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
21,21,0.6855813953488372,2025-01-02 23:17:06.497008,2025-01-02 23:17:08.262066,0 days 00:00:01.765058,1,35,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
