,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
13,13,0.0,2025-01-02 23:05:31.632904,2025-01-02 23:05:38.277134,0 days 00:00:06.644230,19,60,120.0,195.0,5.0,15.0,185.0,195.0,185.0,70.0,60.0,195.0,,60.0,115.0,60.0,195.0,200.0,190.0,20.0,10.0,5,2.0,6.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,,5.0,3.0,3.0,2.0,2.0,2.0,6.0,2.0,3,3.0,6.0,6.0,2.0,6.0,2.0,6.0,5.0,4.0,3.0,,2.0,3.0,5.0,5.0,6.0,2.0,4.0,6.0,COMPLETE
14,14,0.0,2025-01-02 23:05:38.278637,2025-01-02 23:05:40.280202,0 days 00:00:02.001565,4,5,35.0,,,,,,,,,,,145.0,85.0,,,,,,,3,4.0,,,,,,,,,,,4.0,4.0,,,,,,,3,4.0,,,,,,,,,,,6.0,2.0,,,,,,,COMPLETE
15,15,0.6625461708938685,2025-01-02 23:05:40.280895,2025-01-02 23:05:56.590134,0 days 00:00:16.309239,8,160,105.0,,,,,,,,,,,70.0,150.0,140.0,125.0,55.0,20.0,,,5,3.0,,,,,,,,,,,3.0,2.0,3.0,4.0,4.0,3.0,,,5,2.0,,,,,,,,,,,5.0,4.0,5.0,5.0,4.0,3.0,,,COMPLETE
16,16,0.7759398496240602,2025-01-02 23:05:56.591208,2025-01-02 23:05:57.774893,0 days 00:00:01.183685,1,120,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
17,17,0.7804264909847434,2025-01-02 23:05:57.775339,2025-01-02 23:05:58.725906,0 days 00:00:00.950567,1,110,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
18,18,0.0,2025-01-02 23:05:58.726342,2025-01-02 23:06:07.331139,0 days 00:00:08.604797,3,115,195.0,,,,,,,,,,,10.0,,,,,,,,3,5.0,,,,,,,,,,,3.0,,,,,,,,5,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
19,19,0.0,2025-01-02 23:06:07.331839,2025-01-02 23:06:11.927469,0 days 00:00:04.595630,10,80,140.0,,,,,,,,,,,145.0,5.0,55.0,55.0,155.0,180.0,110.0,80.0,3,6.0,,,,,,,,,,,2.0,6.0,5.0,4.0,4.0,6.0,4.0,3.0,3,6.0,,,,,,,,,,,6.0,6.0,2.0,2.0,5.0,6.0,3.0,6.0,COMPLETE
20,20,0.6666666666666666,2025-01-02 23:06:11.929233,2025-01-02 23:06:20.490945,0 days 00:00:08.561712,15,110,35.0,130.0,200.0,5.0,75.0,15.0,,,,,,30.0,155.0,195.0,50.0,65.0,105.0,130.0,185.0,2,4.0,2.0,6.0,6.0,4.0,4.0,,,,,,6.0,5.0,4.0,3.0,3.0,3.0,6.0,6.0,4,5.0,6.0,6.0,6.0,4.0,6.0,,,,,,4.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,COMPLETE
21,21,0.8143560295324037,2025-01-02 23:06:20.492109,2025-01-02 23:06:21.779767,0 days 00:00:01.287658,1,160,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8340572715572716,2025-01-02 23:06:21.780376,2025-01-02 23:06:22.809208,0 days 00:00:01.028832,1,155,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
