,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
11,11,0.8085176194106181,2025-01-02 21:42:47.807408,2025-01-02 21:43:08.996114,0 days 00:00:21.188706,1,200,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8411494285926924,2025-01-02 21:43:08.996746,2025-01-02 21:43:12.195880,0 days 00:00:03.199134,1,40,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.0,2025-01-02 21:43:12.196383,2025-01-02 21:43:35.747758,0 days 00:00:23.551375,5,40,20.0,,,,,,,,,,,75.0,5.0,200.0,,,,,,3,2.0,,,,,,,,,,,2.0,3.0,2.0,,,,,,3,6.0,,,,,,,,,,,5.0,6.0,6.0,,,,,,COMPLETE
14,14,0.8400463447234904,2025-01-02 21:43:35.748779,2025-01-02 21:43:38.852616,0 days 00:00:03.103837,1,35,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.0,2025-01-02 21:43:38.853159,2025-01-02 21:43:45.988620,0 days 00:00:07.135461,8,35,85.0,,,,,,,,,,,10.0,55.0,160.0,85.0,95.0,195.0,,,3,3.0,,,,,,,,,,,6.0,3.0,4.0,5.0,6.0,3.0,,,2,4.0,,,,,,,,,,,2.0,3.0,4.0,6.0,6.0,2.0,,,COMPLETE
16,16,0.0,2025-01-02 21:43:45.989973,2025-01-02 21:44:06.532408,0 days 00:00:20.542435,3,85,195.0,,,,,,,,,,,80.0,,,,,,,,2,3.0,,,,,,,,,,,3.0,,,,,,,,4,5.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
17,17,0.0,2025-01-02 21:44:06.533206,2025-01-02 21:44:11.289376,0 days 00:00:04.756170,8,55,50.0,,,,,,,,,,,165.0,145.0,145.0,65.0,115.0,85.0,,,5,6.0,,,,,,,,,,,4.0,5.0,3.0,2.0,2.0,3.0,,,3,3.0,,,,,,,,,,,5.0,3.0,3.0,3.0,2.0,4.0,,,COMPLETE
18,18,0.0,2025-01-02 21:44:11.290453,2025-01-02 21:44:13.523793,0 days 00:00:02.233340,5,20,5.0,,,,,,,,,,,45.0,55.0,35.0,,,,,,3,5.0,,,,,,,,,,,2.0,6.0,5.0,,,,,,2,4.0,,,,,,,,,,,2.0,6.0,5.0,,,,,,COMPLETE
19,19,0.0,2025-01-02 21:44:13.524822,2025-01-02 21:44:35.107525,0 days 00:00:21.582703,16,85,100.0,65.0,130.0,200.0,200.0,200.0,195.0,,,,,195.0,150.0,60.0,5.0,80.0,155.0,130.0,120.0,6,3.0,2.0,2.0,2.0,2.0,2.0,6.0,,,,,6.0,2.0,3.0,4.0,5.0,6.0,4.0,3.0,3,5.0,4.0,6.0,6.0,4.0,6.0,2.0,,,,,6.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,COMPLETE
20,20,0.0,2025-01-02 21:44:35.109188,2025-01-02 21:44:52.868327,0 days 00:00:17.759139,3,25,165.0,,,,,,,,,,,100.0,,,,,,,,5,5.0,,,,,,,,,,,4.0,,,,,,,,4,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
21,21,0.7568373612741133,2025-01-02 21:44:52.869067,2025-01-02 21:45:08.297412,0 days 00:00:15.428345,2,45,175.0,,,,,,,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,3,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8451896335977018,2025-01-02 21:45:08.298160,2025-01-02 21:45:13.085629,0 days 00:00:04.787469,1,70,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.0,2025-01-02 21:45:13.086120,2025-01-02 21:46:00.716798,0 days 00:00:47.630678,6,70,80.0,,,,,,,,,,,45.0,80.0,135.0,160.0,,,,,6,3.0,,,,,,,,,,,3.0,4.0,5.0,5.0,,,,,2,4.0,,,,,,,,,,,5.0,4.0,4.0,5.0,,,,,COMPLETE
24,24,0.8206490999814234,2025-01-02 21:46:00.717873,2025-01-02 21:46:05.056656,0 days 00:00:04.338783,1,100,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.0,2025-01-02 21:46:05.057142,2025-01-02 21:46:28.512771,0 days 00:00:23.455629,3,55,115.0,,,,,,,,,,,155.0,,,,,,,,5,2.0,,,,,,,,,,,2.0,,,,,,,,4,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
26,26,0.0,2025-01-02 21:46:28.513599,2025-01-02 21:46:31.883404,0 days 00:00:03.369805,7,20,45.0,,,,,,,,,,,95.0,40.0,5.0,195.0,200.0,,,,6,5.0,,,,,,,,,,,4.0,5.0,2.0,2.0,3.0,,,,3,3.0,,,,,,,,,,,2.0,5.0,6.0,2.0,3.0,,,,COMPLETE
27,27,0.0,2025-01-02 21:46:31.884492,2025-01-02 21:47:40.731269,0 days 00:01:08.846777,10,75,80.0,,,,,,,,,,,30.0,135.0,50.0,95.0,150.0,60.0,115.0,95.0,5,3.0,,,,,,,,,,,6.0,3.0,4.0,4.0,5.0,4.0,6.0,5.0,4,2.0,,,,,,,,,,,4.0,3.0,5.0,6.0,5.0,5.0,3.0,4.0,COMPLETE
28,28,0.8436132203907565,2025-01-02 21:47:40.733350,2025-01-02 21:48:17.655452,0 days 00:00:36.922102,4,50,150.0,,,,,,,,,,,180.0,85.0,,,,,,,3,6.0,,,,,,,,,,,5.0,6.0,,,,,,,2,6.0,,,,,,,,,,,3.0,2.0,,,,,,,COMPLETE
29,29,0.0,2025-01-02 21:48:17.656535,2025-01-02 21:48:24.704000,0 days 00:00:07.047465,5,105,150.0,,,,,,,,,,,180.0,75.0,175.0,,,,,,2,6.0,,,,,,,,,,,5.0,6.0,3.0,,,,,,2,6.0,,,,,,,,,,,3.0,2.0,3.0,,,,,,COMPLETE
