,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
11,11,0.7654595036814835,2025-01-02 22:22:29.864975,2025-01-02 22:22:33.361359,0 days 00:00:03.496384,1,150,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7574133765521729,2025-01-02 22:22:33.361871,2025-01-02 22:22:35.852106,0 days 00:00:02.490235,1,145,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.6199197342257141,2025-01-02 22:22:35.852573,2025-01-02 22:22:51.893882,0 days 00:00:16.041309,5,145,200.0,,,,,,,,,,,5.0,125.0,115.0,,,,,,3,3.0,,,,,,,,,,,4.0,4.0,6.0,,,,,,5,2.0,,,,,,,,,,,4.0,6.0,6.0,,,,,,COMPLETE
14,14,0.0,2025-01-02 22:22:51.895061,2025-01-02 22:22:56.003410,0 days 00:00:04.108349,5,115,195.0,,,,,,,,,,,125.0,190.0,135.0,,,,,,3,6.0,,,,,,,,,,,5.0,4.0,2.0,,,,,,3,3.0,,,,,,,,,,,6.0,4.0,5.0,,,,,,COMPLETE
15,15,0.5306197647608207,2025-01-02 22:22:56.004429,2025-01-02 22:23:03.839452,0 days 00:00:07.835023,3,165,25.0,,,,,,,,,,,140.0,,,,,,,,2,4.0,,,,,,,,,,,5.0,,,,,,,,5,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
16,16,0.6666666666666666,2025-01-02 22:23:03.840350,2025-01-02 22:23:06.631305,0 days 00:00:02.790955,8,125,175.0,,,,,,,,,,,15.0,120.0,65.0,200.0,5.0,5.0,,,3,4.0,,,,,,,,,,,2.0,3.0,3.0,2.0,4.0,2.0,,,6,2.0,,,,,,,,,,,3.0,6.0,5.0,2.0,3.0,2.0,,,COMPLETE
17,17,0.7332898676712064,2025-01-02 22:23:06.632411,2025-01-02 22:23:10.081354,0 days 00:00:03.448943,3,200,170.0,,,,,,,,,,,105.0,,,,,,,,2,2.0,,,,,,,,,,,3.0,,,,,,,,3,3.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
18,18,0.3303508180131557,2025-01-02 22:23:10.081916,2025-01-02 22:23:28.481050,0 days 00:00:18.399134,7,170,5.0,,,,,,,,,,,175.0,75.0,140.0,200.0,55.0,,,,3,3.0,,,,,,,,,,,5.0,5.0,6.0,5.0,3.0,,,,5,4.0,,,,,,,,,,,2.0,3.0,4.0,3.0,6.0,,,,COMPLETE
19,19,0.7351942379557065,2025-01-02 22:23:28.482419,2025-01-02 22:23:39.272553,0 days 00:00:10.790134,3,135,160.0,,,,,,,,,,,120.0,,,,,,,,5,6.0,,,,,,,,,,,3.0,,,,,,,,2,6.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
20,20,0.6666666666666666,2025-01-02 22:23:39.273454,2025-01-02 22:24:18.409970,0 days 00:00:39.136516,12,95,115.0,190.0,5.0,,,,,,,,,85.0,200.0,5.0,165.0,195.0,55.0,200.0,195.0,2,5.0,6.0,2.0,,,,,,,,,4.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,3,3.0,3.0,6.0,,,,,,,,,3.0,5.0,6.0,5.0,4.0,6.0,2.0,3.0,COMPLETE
21,21,0.7026590010779734,2025-01-02 22:24:18.412353,2025-01-02 22:24:21.953586,0 days 00:00:03.541233,1,155,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.7778602061745825,2025-01-02 22:24:21.954286,2025-01-02 22:24:25.430380,0 days 00:00:03.476094,1,180,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.5532055441562466,2025-01-02 22:24:25.430898,2025-01-02 22:24:37.028025,0 days 00:00:11.597127,4,180,150.0,,,,,,,,,,,20.0,135.0,,,,,,,3,6.0,,,,,,,,,,,5.0,5.0,,,,,,,6,4.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
24,24,0.6970566263260123,2025-01-02 22:24:37.029015,2025-01-02 22:24:41.292974,0 days 00:00:04.263959,2,180,105.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.0,2025-01-02 22:24:41.293558,2025-01-02 22:24:43.657281,0 days 00:00:02.363723,6,160,40.0,,,,,,,,,,,150.0,55.0,80.0,5.0,,,,,4,4.0,,,,,,,,,,,3.0,2.0,2.0,5.0,,,,,5,4.0,,,,,,,,,,,5.0,6.0,2.0,2.0,,,,,COMPLETE
26,26,0.0,2025-01-02 22:24:43.658328,2025-01-02 22:24:56.980962,0 days 00:00:13.322634,4,200,95.0,,,,,,,,,,,195.0,100.0,,,,,,,3,5.0,,,,,,,,,,,4.0,4.0,,,,,,,5,6.0,,,,,,,,,,,4.0,4.0,,,,,,,COMPLETE
27,27,0.7483060858494666,2025-01-02 22:24:56.981931,2025-01-02 22:25:00.864169,0 days 00:00:03.882238,2,130,185.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.7603225169160863,2025-01-02 22:25:00.864702,2025-01-02 22:25:03.348078,0 days 00:00:02.483376,1,180,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.8034715821812596,2025-01-02 22:25:03.348573,2025-01-02 22:25:17.736095,0 days 00:00:14.387522,7,160,140.0,,,,,,,,,,,30.0,165.0,45.0,65.0,55.0,,,,3,4.0,,,,,,,,,,,5.0,4.0,6.0,2.0,3.0,,,,2,3.0,,,,,,,,,,,3.0,4.0,4.0,6.0,3.0,,,,COMPLETE
