,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
11,11,0.9523785594639866,2025-01-02 23:55:07.980521,2025-01-02 23:55:11.193307,0 days 00:00:03.212786,1,100,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.9538826901998257,2025-01-02 23:55:11.193788,2025-01-02 23:55:19.359474,0 days 00:00:08.165686,5,100,120.0,,,,,,,,,,,125.0,15.0,10.0,,,,,,5,6.0,,,,,,,,,,,4.0,3.0,4.0,,,,,,2,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,COMPLETE
13,13,0.947286304915351,2025-01-02 23:55:19.360203,2025-01-02 23:55:30.456034,0 days 00:00:11.095831,6,70,120.0,,,,,,,,,,,135.0,5.0,15.0,200.0,,,,,5,6.0,,,,,,,,,,,4.0,3.0,4.0,6.0,,,,,2,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,COMPLETE
14,14,0.0,2025-01-02 23:55:30.456914,2025-01-02 23:55:35.441885,0 days 00:00:04.984971,10,130,140.0,,,,,,,,,,,135.0,5.0,85.0,170.0,90.0,20.0,20.0,45.0,4,5.0,,,,,,,,,,,4.0,3.0,5.0,5.0,2.0,4.0,6.0,6.0,2,2.0,,,,,,,,,,,3.0,2.0,2.0,3.0,5.0,2.0,6.0,6.0,COMPLETE
15,15,0.9527772438977513,2025-01-02 23:55:35.443257,2025-01-02 23:55:45.655985,0 days 00:00:10.212728,4,120,195.0,,,,,,,,,,,135.0,55.0,,,,,,,5,6.0,,,,,,,,,,,3.0,5.0,,,,,,,2,6.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
16,16,0.0,2025-01-02 23:55:45.656853,2025-01-02 23:55:48.008623,0 days 00:00:02.351770,9,70,95.0,,,,,,,,,,,110.0,60.0,20.0,145.0,195.0,50.0,5.0,,4,5.0,,,,,,,,,,,5.0,2.0,3.0,5.0,2.0,6.0,2.0,,4,3.0,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,2.0,2.0,,COMPLETE
17,17,0.0,2025-01-02 23:55:48.009719,2025-01-02 23:56:00.896390,0 days 00:00:12.886671,4,75,130.0,,,,,,,,,,,160.0,50.0,,,,,,,6,2.0,,,,,,,,,,,3.0,5.0,,,,,,,4,6.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
18,18,0.0,2025-01-02 23:56:00.897261,2025-01-02 23:56:12.029012,0 days 00:00:11.131751,13,195,175.0,200.0,5.0,5.0,,,,,,,,105.0,90.0,95.0,185.0,90.0,75.0,190.0,185.0,5,6.0,6.0,2.0,2.0,,,,,,,,5.0,3.0,5.0,5.0,4.0,3.0,6.0,4.0,2,2.0,6.0,6.0,6.0,,,,,,,,6.0,5.0,3.0,3.0,5.0,4.0,6.0,4.0,COMPLETE
19,19,0.0,2025-01-02 23:56:12.031181,2025-01-02 23:56:15.487441,0 days 00:00:03.456260,8,115,50.0,,,,,,,,,,,170.0,145.0,65.0,155.0,150.0,135.0,,,6,4.0,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,5.0,,,2,4.0,,,,,,,,,,,2.0,2.0,5.0,6.0,3.0,3.0,,,COMPLETE
20,20,0.9456861606494769,2025-01-02 23:56:15.488619,2025-01-02 23:56:23.868485,0 days 00:00:08.379866,3,95,5.0,,,,,,,,,,,150.0,,,,,,,,4,5.0,,,,,,,,,,,6.0,,,,,,,,4,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
