,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
25,25,0.935755076142132,2025-01-06 04:57:58.043762,2025-01-06 04:58:40.950391,0 days 00:00:42.906629,10,55,15.0,50.0,60.0,15.0,30.0,85.0,60.0,95.0,90.0,2,4.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,6.0,COMPLETE
26,26,0.9490060308242126,2025-01-06 04:58:40.951007,2025-01-06 04:58:59.460913,0 days 00:00:18.509906,6,45,45.0,30.0,40.0,40.0,75.0,,,,,3,5.0,4.0,5.0,6.0,3.0,,,,,COMPLETE
27,27,0.9514992883169324,2025-01-06 04:58:59.461358,2025-01-06 04:59:29.160389,0 days 00:00:29.699031,9,65,25.0,15.0,70.0,30.0,40.0,30.0,65.0,5.0,,4,4.0,5.0,6.0,4.0,4.0,5.0,4.0,6.0,,COMPLETE
28,28,0.9409613375130617,2025-01-06 04:59:29.160961,2025-01-06 04:59:41.109912,0 days 00:00:11.948951,5,45,70.0,5.0,15.0,60.0,,,,,,3,3.0,4.0,2.0,4.0,,,,,,COMPLETE
29,29,0.937070226466484,2025-01-06 04:59:41.110278,2025-01-06 04:59:48.996826,0 days 00:00:07.886548,2,90,15.0,,,,,,,,,4,6.0,,,,,,,,,COMPLETE
30,30,0.9593388429752066,2025-01-06 04:59:48.997208,2025-01-06 05:00:10.907695,0 days 00:00:21.910487,8,70,40.0,25.0,30.0,5.0,85.0,65.0,30.0,,,2,5.0,6.0,4.0,5.0,5.0,2.0,3.0,,,COMPLETE
31,31,0.9507805325987144,2025-01-06 05:00:10.908188,2025-01-06 05:00:34.379303,0 days 00:00:23.471115,8,85,35.0,20.0,25.0,5.0,85.0,70.0,30.0,,,2,5.0,6.0,4.0,5.0,5.0,2.0,3.0,,,COMPLETE
32,32,0.9464339654304413,2025-01-06 05:00:34.379787,2025-01-06 05:00:55.885859,0 days 00:00:21.506072,7,70,45.0,30.0,45.0,15.0,65.0,55.0,,,,2,5.0,6.0,3.0,6.0,6.0,3.0,,,,COMPLETE
33,33,0.9433308147028757,2025-01-06 05:00:55.886350,2025-01-06 05:01:25.195720,0 days 00:00:29.309370,9,60,55.0,15.0,30.0,25.0,85.0,70.0,35.0,55.0,,2,5.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,,COMPLETE
34,34,0.9474568725653867,2025-01-06 05:01:25.196318,2025-01-06 05:01:55.687424,0 days 00:00:30.491106,9,75,25.0,40.0,15.0,5.0,65.0,45.0,80.0,100.0,,2,6.0,6.0,4.0,6.0,4.0,3.0,3.0,4.0,,COMPLETE
35,35,0.9557286432160804,2025-01-06 05:01:55.687959,2025-01-06 05:02:18.655176,0 days 00:00:22.967217,7,50,60.0,10.0,25.0,15.0,90.0,85.0,,,,3,4.0,5.0,4.0,5.0,4.0,2.0,,,,COMPLETE
36,36,0.9422675246656554,2025-01-06 05:02:18.655662,2025-01-06 05:02:37.704464,0 days 00:00:19.048802,6,35,65.0,25.0,40.0,15.0,90.0,,,,,3,4.0,5.0,4.0,5.0,3.0,,,,,COMPLETE
