,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
23,23,0.7889499869075673,2025-01-03 17:23:31.042298,2025-01-03 17:24:14.124010,0 days 00:00:43.081712,9,80,30.0,20.0,5.0,5.0,40.0,65.0,80.0,95.0,,6,3.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,,COMPLETE
24,24,0.8387096774193549,2025-01-03 17:24:14.124809,2025-01-03 17:24:40.878523,0 days 00:00:26.753714,5,50,15.0,50.0,20.0,85.0,,,,,,4,2.0,6.0,4.0,6.0,,,,,,COMPLETE
25,25,0.8709677419354839,2025-01-03 17:24:40.879156,2025-01-03 17:25:15.648839,0 days 00:00:34.769683,8,95,35.0,65.0,30.0,100.0,55.0,35.0,55.0,,,5,3.0,5.0,3.0,5.0,5.0,5.0,3.0,,,COMPLETE
26,26,0.8202898550724638,2025-01-03 17:25:15.649529,2025-01-03 17:25:44.143591,0 days 00:00:28.494062,10,95,35.0,65.0,60.0,65.0,70.0,30.0,45.0,40.0,100.0,6,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,6.0,COMPLETE
27,27,0.7732497387669801,2025-01-03 17:25:44.144437,2025-01-03 17:26:19.896499,0 days 00:00:35.752062,7,100,60.0,90.0,15.0,80.0,55.0,40.0,,,,5,3.0,6.0,3.0,3.0,5.0,4.0,,,,COMPLETE
28,28,0.8225344782721832,2025-01-03 17:26:19.897209,2025-01-03 17:27:02.110278,0 days 00:00:42.213069,9,90,40.0,80.0,10.0,90.0,75.0,5.0,95.0,75.0,,6,2.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,,COMPLETE
29,29,0.8221642764015646,2025-01-03 17:27:02.111030,2025-01-03 17:27:45.752429,0 days 00:00:43.641399,8,75,80.0,70.0,25.0,95.0,95.0,20.0,55.0,,,6,3.0,6.0,5.0,6.0,4.0,6.0,3.0,,,COMPLETE
30,30,0.8708333333333333,2025-01-03 17:27:45.753192,2025-01-03 17:28:16.024126,0 days 00:00:30.270934,6,95,55.0,90.0,40.0,40.0,50.0,,,,,5,6.0,5.0,3.0,5.0,5.0,,,,,COMPLETE
31,31,0.8604465709728868,2025-01-03 17:28:16.024735,2025-01-03 17:28:42.123381,0 days 00:00:26.098646,5,95,55.0,95.0,40.0,45.0,,,,,,5,4.0,5.0,3.0,5.0,,,,,,COMPLETE
32,32,0.7898305084745763,2025-01-03 17:28:42.124077,2025-01-03 17:29:12.301926,0 days 00:00:30.177849,6,85,70.0,85.0,60.0,25.0,50.0,,,,,4,6.0,5.0,2.0,5.0,5.0,,,,,COMPLETE
