,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
24,24,0.7992190403703117,2025-01-03 08:48:41.859298,2025-01-03 08:49:04.495186,0 days 00:00:22.635888,4,100,70.0,30.0,30.0,,,,,,,4,5.0,3.0,4.0,,,,,,,COMPLETE
25,25,0.7957696463018638,2025-01-03 08:49:04.495701,2025-01-03 08:49:43.883070,0 days 00:00:39.387369,8,80,60.0,15.0,80.0,10.0,85.0,50.0,75.0,,,5,4.0,4.0,3.0,4.0,3.0,3.0,6.0,,,COMPLETE
26,26,0.7955688208940997,2025-01-03 08:49:43.883790,2025-01-03 08:50:04.044134,0 days 00:00:20.160344,5,90,85.0,40.0,50.0,15.0,,,,,,6,3.0,2.0,2.0,4.0,,,,,,COMPLETE
27,27,0.8331317061753498,2025-01-03 08:50:04.044740,2025-01-03 08:50:29.084049,0 days 00:00:25.039309,6,65,75.0,25.0,35.0,30.0,90.0,,,,,5,4.0,3.0,3.0,3.0,2.0,,,,,COMPLETE
28,28,0.7851726568005638,2025-01-03 08:50:29.084580,2025-01-03 08:50:48.678553,0 days 00:00:19.593973,4,65,40.0,15.0,35.0,,,,,,,6,4.0,4.0,4.0,,,,,,,COMPLETE
29,29,0.7928698574455032,2025-01-03 08:50:48.679059,2025-01-03 08:51:17.387859,0 days 00:00:28.708800,6,70,70.0,45.0,20.0,30.0,100.0,,,,,3,5.0,3.0,3.0,2.0,2.0,,,,,COMPLETE
30,30,0.7825375549437279,2025-01-03 08:51:17.388486,2025-01-03 08:51:48.616602,0 days 00:00:31.228116,5,55,90.0,35.0,25.0,50.0,,,,,,4,5.0,2.0,4.0,3.0,,,,,,COMPLETE
31,31,0.8128031803112032,2025-01-03 08:51:48.617205,2025-01-03 08:52:11.445346,0 days 00:00:22.828141,7,75,80.0,25.0,55.0,15.0,90.0,80.0,,,,5,4.0,3.0,3.0,3.0,3.0,2.0,,,,COMPLETE
32,32,0.78619804400978,2025-01-03 08:52:11.445905,2025-01-03 08:52:38.606974,0 days 00:00:27.161069,6,65,75.0,25.0,5.0,30.0,90.0,,,,,5,4.0,3.0,3.0,3.0,2.0,,,,,COMPLETE
33,33,0.8090593796115269,2025-01-03 08:52:38.607600,2025-01-03 08:53:02.657294,0 days 00:00:24.049694,7,75,10.0,20.0,40.0,15.0,90.0,85.0,,,,5,4.0,3.0,2.0,2.0,2.0,2.0,,,,COMPLETE
34,34,0.7954863910104308,2025-01-03 08:53:02.657908,2025-01-03 08:53:28.275938,0 days 00:00:25.618030,6,60,55.0,100.0,50.0,25.0,65.0,,,,,6,4.0,2.0,4.0,3.0,3.0,,,,,COMPLETE
35,35,0.795320197044335,2025-01-03 08:53:28.276533,2025-01-03 08:53:53.427910,0 days 00:00:25.151377,5,70,85.0,90.0,85.0,45.0,,,,,,4,6.0,3.0,3.0,3.0,,,,,,COMPLETE
36,36,0.7784245769708521,2025-01-03 08:53:53.428444,2025-01-03 08:54:27.044044,0 days 00:00:33.615600,7,50,95.0,10.0,20.0,90.0,80.0,100.0,,,,5,4.0,2.0,6.0,2.0,2.0,6.0,,,,COMPLETE
37,37,0.8232082351613003,2025-01-03 08:54:27.044762,2025-01-03 08:54:50.519883,0 days 00:00:23.475121,6,60,75.0,65.0,40.0,15.0,95.0,,,,,6,5.0,4.0,3.0,3.0,3.0,,,,,COMPLETE
