,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
25,25,0.6808510638297872,2025-01-04 10:37:18.261631,2025-01-04 10:37:25.823508,0 days 00:00:07.561877,3,40,90.0,70.0,,,,,,,,3,3.0,3.0,,,,,,,,COMPLETE
26,26,0.5523809523809524,2025-01-04 10:37:25.823919,2025-01-04 10:37:36.221128,0 days 00:00:10.397209,2,25,65.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
27,27,0.5890473999079613,2025-01-04 10:37:36.221576,2025-01-04 10:37:48.357397,0 days 00:00:12.135821,5,25,90.0,100.0,25.0,5.0,,,,,,4,3.0,4.0,2.0,3.0,,,,,,COMPLETE
28,28,0.6785225718194254,2025-01-04 10:37:48.357844,2025-01-04 10:38:10.898916,0 days 00:00:22.541072,8,85,80.0,20.0,50.0,85.0,60.0,75.0,70.0,,,4,5.0,2.0,4.0,4.0,3.0,3.0,6.0,,,COMPLETE
29,29,0.6022201665124884,2025-01-04 10:38:10.899530,2025-01-04 10:38:35.327575,0 days 00:00:24.428045,6,65,95.0,35.0,65.0,65.0,25.0,,,,,3,4.0,4.0,4.0,5.0,6.0,,,,,COMPLETE
30,30,0.6154545454545455,2025-01-04 10:38:35.328120,2025-01-04 10:38:51.974432,0 days 00:00:16.646312,7,70,55.0,50.0,30.0,50.0,75.0,30.0,,,,5,5.0,5.0,3.0,2.0,3.0,4.0,,,,COMPLETE
31,31,0.6223255813953488,2025-01-04 10:38:51.975082,2025-01-04 10:39:00.613032,0 days 00:00:08.637950,3,40,95.0,70.0,,,,,,,,3,3.0,3.0,,,,,,,,COMPLETE
32,32,0.6518518518518519,2025-01-04 10:39:00.613461,2025-01-04 10:39:08.194762,0 days 00:00:07.581301,3,55,80.0,60.0,,,,,,,,2,3.0,3.0,,,,,,,,COMPLETE
33,33,0.6154545454545455,2025-01-04 10:39:08.195209,2025-01-04 10:39:13.000594,0 days 00:00:04.805385,2,45,70.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
34,34,0.7655328798185941,2025-01-04 10:39:13.000943,2025-01-04 10:39:24.269001,0 days 00:00:11.268058,4,55,95.0,80.0,15.0,,,,,,,2,3.0,3.0,5.0,,,,,,,COMPLETE
35,35,0.6126373626373627,2025-01-04 10:39:24.269424,2025-01-04 10:39:35.679745,0 days 00:00:11.410321,4,60,95.0,90.0,15.0,,,,,,,2,3.0,4.0,5.0,,,,,,,COMPLETE
36,36,0.7305555555555556,2025-01-04 10:39:35.680168,2025-01-04 10:39:48.090622,0 days 00:00:12.410454,4,65,100.0,85.0,15.0,,,,,,,2,6.0,2.0,5.0,,,,,,,COMPLETE
37,37,0.5645390070921985,2025-01-04 10:39:48.091059,2025-01-04 10:40:02.048953,0 days 00:00:13.957894,5,75,100.0,85.0,15.0,25.0,,,,,,2,6.0,2.0,5.0,6.0,,,,,,COMPLETE
38,38,0.6234967622571693,2025-01-04 10:40:02.049489,2025-01-04 10:40:18.197818,0 days 00:00:16.148329,4,65,85.0,100.0,10.0,,,,,,,2,6.0,2.0,6.0,,,,,,,COMPLETE
39,39,0.6236111111111111,2025-01-04 10:40:18.198308,2025-01-04 10:40:30.158655,0 days 00:00:11.960347,4,70,100.0,85.0,25.0,,,,,,,2,6.0,2.0,5.0,,,,,,,COMPLETE
40,40,0.5742753623188406,2025-01-04 10:40:30.159205,2025-01-04 10:40:50.673094,0 days 00:00:20.513889,6,60,95.0,80.0,35.0,70.0,10.0,,,,,6,6.0,2.0,4.0,4.0,5.0,,,,,COMPLETE
41,41,0.6495238095238096,2025-01-04 10:40:50.673673,2025-01-04 10:41:00.131008,0 days 00:00:09.457335,5,55,90.0,45.0,10.0,45.0,,,,,,2,2.0,3.0,5.0,3.0,,,,,,COMPLETE
42,42,0.6581818181818182,2025-01-04 10:41:00.131483,2025-01-04 10:41:05.442423,0 days 00:00:05.310940,2,65,45.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
43,43,0.648479427549195,2025-01-04 10:41:05.442773,2025-01-04 10:41:14.980960,0 days 00:00:09.538187,4,50,85.0,65.0,20.0,,,,,,,3,4.0,2.0,4.0,,,,,,,COMPLETE
44,44,0.5560224089635855,2025-01-04 10:41:14.981375,2025-01-04 10:41:21.748603,0 days 00:00:06.767228,1,55,,,,,,,,,,6,,,,,,,,,,COMPLETE
45,45,0.7009090909090909,2025-01-04 10:41:21.748938,2025-01-04 10:41:41.811745,0 days 00:00:20.062807,7,75,90.0,95.0,45.0,85.0,50.0,65.0,,,,2,2.0,3.0,6.0,5.0,5.0,6.0,,,,COMPLETE
46,46,0.6083333333333334,2025-01-04 10:41:41.812295,2025-01-04 10:42:08.821300,0 days 00:00:27.009005,9,95,95.0,95.0,45.0,85.0,50.0,70.0,30.0,60.0,,2,2.0,3.0,6.0,5.0,5.0,6.0,2.0,4.0,,COMPLETE
47,47,0.5025310630464795,2025-01-04 10:42:08.822000,2025-01-04 10:42:29.839163,0 days 00:00:21.017163,7,80,5.0,95.0,30.0,100.0,25.0,45.0,,,,2,2.0,3.0,6.0,5.0,6.0,5.0,,,,COMPLETE
48,48,0.5727272727272728,2025-01-04 10:42:29.839798,2025-01-04 10:42:55.797951,0 days 00:00:25.958153,7,85,100.0,85.0,50.0,85.0,55.0,25.0,,,,2,5.0,4.0,5.0,6.0,5.0,6.0,,,,COMPLETE
49,49,0.6447124304267161,2025-01-04 10:42:55.798603,2025-01-04 10:43:20.060809,0 days 00:00:24.262206,10,75,90.0,30.0,40.0,60.0,35.0,65.0,70.0,100.0,65.0,3,2.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,COMPLETE
50,50,0.4301572617946346,2025-01-04 10:43:20.061406,2025-01-04 10:43:37.615094,0 days 00:00:17.553688,6,5,80.0,95.0,100.0,70.0,70.0,,,,,2,5.0,4.0,6.0,5.0,6.0,,,,,COMPLETE
51,51,0.6323055683387022,2025-01-04 10:43:37.615723,2025-01-04 10:43:51.223977,0 days 00:00:13.608254,5,60,70.0,80.0,20.0,90.0,,,,,,2,3.0,3.0,6.0,6.0,,,,,,COMPLETE
52,52,0.7188219052001841,2025-01-04 10:43:51.224509,2025-01-04 10:44:13.343444,0 days 00:00:22.118935,8,65,90.0,40.0,60.0,95.0,95.0,45.0,100.0,,,3,2.0,2.0,2.0,4.0,4.0,6.0,5.0,,,COMPLETE
53,53,0.6356589147286822,2025-01-04 10:44:13.344025,2025-01-04 10:44:28.093980,0 days 00:00:14.749955,8,65,90.0,35.0,60.0,100.0,100.0,50.0,95.0,,,3,2.0,2.0,2.0,4.0,4.0,6.0,5.0,,,COMPLETE
54,54,0.6875,2025-01-04 10:44:28.094550,2025-01-04 10:44:47.776561,0 days 00:00:19.682011,9,75,85.0,30.0,80.0,95.0,85.0,45.0,85.0,25.0,,3,2.0,2.0,2.0,5.0,4.0,6.0,5.0,4.0,,COMPLETE
55,55,0.6802721088435374,2025-01-04 10:44:47.777172,2025-01-04 10:45:07.505920,0 days 00:00:19.728748,8,70,95.0,45.0,60.0,75.0,85.0,15.0,60.0,,,2,2.0,2.0,3.0,5.0,5.0,5.0,4.0,,,COMPLETE
56,56,0.5682926829268293,2025-01-04 10:45:07.506616,2025-01-04 10:45:26.411493,0 days 00:00:18.904877,9,50,100.0,40.0,80.0,80.0,35.0,80.0,35.0,80.0,,3,3.0,3.0,2.0,3.0,3.0,6.0,5.0,3.0,,COMPLETE
57,57,0.5523809523809524,2025-01-04 10:45:26.412115,2025-01-04 10:45:45.744238,0 days 00:00:19.332123,8,60,90.0,50.0,10.0,90.0,15.0,30.0,60.0,,,2,2.0,6.0,4.0,4.0,5.0,5.0,3.0,,,COMPLETE
58,58,0.6581818181818182,2025-01-04 10:45:45.744826,2025-01-04 10:46:03.846839,0 days 00:00:18.102013,7,85,85.0,40.0,45.0,80.0,75.0,55.0,,,,4,6.0,3.0,5.0,4.0,4.0,6.0,,,,COMPLETE
59,59,0.5197876447876448,2025-01-04 10:46:03.847427,2025-01-04 10:46:38.031435,0 days 00:00:34.184008,10,45,75.0,60.0,30.0,55.0,65.0,40.0,85.0,75.0,5.0,3,4.0,2.0,3.0,5.0,5.0,5.0,6.0,3.0,6.0,COMPLETE
60,60,0.6234967622571693,2025-01-04 10:46:38.032290,2025-01-04 10:46:53.160327,0 days 00:00:15.128037,6,65,20.0,90.0,55.0,70.0,50.0,,,,,5,5.0,4.0,5.0,2.0,4.0,,,,,COMPLETE
61,61,0.6447124304267161,2025-01-04 10:46:53.160856,2025-01-04 10:47:20.214389,0 days 00:00:27.053533,9,75,85.0,30.0,90.0,95.0,90.0,45.0,90.0,30.0,,3,2.0,2.0,2.0,5.0,4.0,6.0,5.0,4.0,,COMPLETE
62,62,0.6594202898550725,2025-01-04 10:47:20.214988,2025-01-04 10:47:45.237686,0 days 00:00:25.022698,9,75,95.0,20.0,80.0,95.0,90.0,65.0,75.0,30.0,,3,2.0,2.0,2.0,5.0,3.0,6.0,5.0,4.0,,COMPLETE
63,63,0.6126373626373627,2025-01-04 10:47:45.238273,2025-01-04 10:48:07.112720,0 days 00:00:21.874447,8,70,85.0,30.0,75.0,90.0,80.0,50.0,95.0,,,3,2.0,2.0,2.0,5.0,4.0,6.0,4.0,,,COMPLETE
64,64,0.6953703703703704,2025-01-04 10:48:07.113431,2025-01-04 10:48:37.781255,0 days 00:00:30.667824,9,80,100.0,25.0,40.0,100.0,95.0,35.0,100.0,30.0,,4,2.0,3.0,2.0,6.0,4.0,6.0,4.0,5.0,,COMPLETE
65,65,0.5836829836829837,2025-01-04 10:48:37.781909,2025-01-04 10:49:19.376717,0 days 00:00:41.594808,10,80,100.0,10.0,40.0,100.0,95.0,25.0,100.0,45.0,50.0,4,3.0,3.0,3.0,6.0,5.0,5.0,4.0,6.0,4.0,COMPLETE
66,66,0.6356589147286822,2025-01-04 10:49:19.377497,2025-01-04 10:49:31.694042,0 days 00:00:12.316545,5,80,95.0,20.0,40.0,60.0,,,,,,4,2.0,3.0,2.0,6.0,,,,,,COMPLETE
67,67,0.5648148148148149,2025-01-04 10:49:31.694541,2025-01-04 10:49:50.950336,0 days 00:00:19.255795,8,55,90.0,25.0,55.0,80.0,90.0,90.0,60.0,,,5,4.0,3.0,3.0,6.0,5.0,3.0,3.0,,,COMPLETE
68,68,0.6953703703703704,2025-01-04 10:49:50.950949,2025-01-04 10:50:00.870379,0 days 00:00:09.919430,4,65,100.0,55.0,50.0,,,,,,,2,3.0,3.0,4.0,,,,,,,COMPLETE
69,69,0.6556776556776557,2025-01-04 10:50:00.870822,2025-01-04 10:50:17.968626,0 days 00:00:17.097804,7,90,95.0,45.0,15.0,75.0,45.0,100.0,,,,4,5.0,4.0,5.0,3.0,4.0,4.0,,,,COMPLETE
70,70,0.6302600472813239,2025-01-04 10:50:17.969185,2025-01-04 10:50:43.142367,0 days 00:00:25.173182,9,40,80.0,40.0,25.0,90.0,70.0,35.0,80.0,10.0,,5,3.0,3.0,6.0,6.0,2.0,2.0,4.0,5.0,,COMPLETE
71,71,0.7023584905660378,2025-01-04 10:50:43.143083,2025-01-04 10:50:54.021347,0 days 00:00:10.878264,4,60,100.0,55.0,50.0,,,,,,,2,3.0,3.0,4.0,,,,,,,COMPLETE
72,72,0.6570731707317073,2025-01-04 10:50:54.021785,2025-01-04 10:51:00.249295,0 days 00:00:06.227510,4,60,100.0,80.0,60.0,,,,,,,2,3.0,3.0,3.0,,,,,,,COMPLETE
73,73,0.4671201814058957,2025-01-04 10:51:00.249693,2025-01-04 10:51:07.275404,0 days 00:00:07.025711,3,50,90.0,35.0,,,,,,,,2,2.0,4.0,,,,,,,,COMPLETE
74,74,0.5950113378684807,2025-01-04 10:51:07.275832,2025-01-04 10:51:14.535448,0 days 00:00:07.259616,3,65,95.0,15.0,,,,,,,,2,6.0,3.0,,,,,,,,COMPLETE
75,75,0.6808510638297872,2025-01-04 10:51:14.535835,2025-01-04 10:51:27.591037,0 days 00:00:13.055202,5,70,100.0,75.0,45.0,65.0,,,,,,2,3.0,5.0,5.0,4.0,,,,,,COMPLETE
76,76,0.6126373626373627,2025-01-04 10:51:27.591517,2025-01-04 10:51:37.672405,0 days 00:00:10.080888,4,55,95.0,90.0,50.0,,,,,,,6,4.0,3.0,4.0,,,,,,,COMPLETE
77,77,0.6515366430260048,2025-01-04 10:51:37.672854,2025-01-04 10:51:46.398419,0 days 00:00:08.725565,4,60,90.0,25.0,65.0,,,,,,,2,2.0,3.0,4.0,,,,,,,COMPLETE
78,78,0.5238095238095237,2025-01-04 10:51:46.398820,2025-01-04 10:51:57.328409,0 days 00:00:10.929589,5,55,75.0,65.0,35.0,85.0,,,,,,2,5.0,4.0,4.0,3.0,,,,,,COMPLETE
79,79,0.6356589147286822,2025-01-04 10:51:57.328906,2025-01-04 10:52:21.845047,0 days 00:00:24.516141,8,50,100.0,100.0,5.0,45.0,95.0,60.0,15.0,,,4,2.0,3.0,2.0,2.0,6.0,6.0,4.0,,,COMPLETE
80,80,0.5804810360777057,2025-01-04 10:52:21.845718,2025-01-04 10:52:28.321121,0 days 00:00:06.475403,3,65,90.0,55.0,,,,,,,,2,4.0,2.0,,,,,,,,COMPLETE
81,81,0.5756302521008403,2025-01-04 10:52:28.321535,2025-01-04 10:52:37.436657,0 days 00:00:09.115122,4,65,100.0,55.0,50.0,,,,,,,2,3.0,3.0,4.0,,,,,,,COMPLETE
82,82,0.6581818181818182,2025-01-04 10:52:37.437064,2025-01-04 10:52:48.421050,0 days 00:00:10.983986,4,70,95.0,50.0,55.0,,,,,,,2,3.0,3.0,4.0,,,,,,,COMPLETE
83,83,0.5890473999079613,2025-01-04 10:52:48.421531,2025-01-04 10:53:00.268670,0 days 00:00:11.847139,5,60,100.0,70.0,45.0,100.0,,,,,,2,3.0,3.0,5.0,4.0,,,,,,COMPLETE
84,84,0.614622641509434,2025-01-04 10:53:00.269166,2025-01-04 10:53:08.472510,0 days 00:00:08.203344,4,65,95.0,60.0,40.0,,,,,,,2,3.0,3.0,3.0,,,,,,,COMPLETE
85,85,0.6024436090225564,2025-01-04 10:53:08.472947,2025-01-04 10:53:15.980140,0 days 00:00:07.507193,3,60,45.0,45.0,,,,,,,,2,3.0,3.0,,,,,,,,COMPLETE
86,86,0.6653846153846154,2025-01-04 10:53:15.980519,2025-01-04 10:53:28.942191,0 days 00:00:12.961672,6,80,90.0,95.0,20.0,55.0,5.0,,,,,2,6.0,3.0,5.0,3.0,3.0,,,,,COMPLETE
87,87,0.6953703703703704,2025-01-04 10:53:28.942686,2025-01-04 10:53:41.187464,0 days 00:00:12.244778,4,75,100.0,85.0,50.0,,,,,,,3,2.0,5.0,4.0,,,,,,,COMPLETE
88,88,0.5705159705159706,2025-01-04 10:53:41.187887,2025-01-04 10:54:10.221195,0 days 00:00:29.033308,9,90,95.0,55.0,35.0,75.0,30.0,20.0,35.0,40.0,,2,4.0,2.0,6.0,4.0,4.0,6.0,3.0,5.0,,COMPLETE
89,89,0.5695970695970696,2025-01-04 10:54:10.221927,2025-01-04 10:54:26.060398,0 days 00:00:15.838471,5,70,100.0,40.0,60.0,60.0,,,,,,5,2.0,4.0,5.0,6.0,,,,,,COMPLETE
90,90,0.723404255319149,2025-01-04 10:54:26.060961,2025-01-04 10:54:54.955648,0 days 00:00:28.894687,10,50,80.0,50.0,50.0,25.0,80.0,5.0,90.0,65.0,100.0,2,3.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,COMPLETE
91,91,0.7229024943310658,2025-01-04 10:54:54.956308,2025-01-04 10:55:20.102216,0 days 00:00:25.145908,10,50,90.0,50.0,50.0,25.0,95.0,5.0,100.0,70.0,100.0,2,3.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,COMPLETE
92,92,0.6518518518518519,2025-01-04 10:55:20.102855,2025-01-04 10:55:44.129396,0 days 00:00:24.026541,10,45,80.0,45.0,55.0,25.0,95.0,10.0,100.0,70.0,100.0,2,3.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,COMPLETE
