,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
24,24,0.8522753624688415,2025-01-05 15:02:12.187725,2025-01-05 15:03:11.932643,0 days 00:00:59.744918,7,40,15.0,45.0,55.0,40.0,35.0,65.0,,,,5,3.0,2.0,5.0,6.0,5.0,5.0,,,,COMPLETE
25,25,0.8686525954139436,2025-01-05 15:03:11.933327,2025-01-05 15:03:52.301563,0 days 00:00:40.368236,6,15,25.0,60.0,5.0,15.0,100.0,,,,,6,5.0,3.0,6.0,5.0,3.0,,,,,COMPLETE
26,26,0.8415894280588105,2025-01-05 15:03:52.302308,2025-01-05 15:04:42.201780,0 days 00:00:49.899472,8,5,45.0,75.0,65.0,35.0,75.0,90.0,35.0,,,5,4.0,2.0,5.0,5.0,6.0,2.0,3.0,,,COMPLETE
27,27,0.8602917999679134,2025-01-05 15:04:42.202444,2025-01-05 15:06:04.625853,0 days 00:01:22.423409,9,25,15.0,15.0,80.0,85.0,90.0,10.0,70.0,45.0,,4,4.0,3.0,6.0,3.0,5.0,4.0,5.0,4.0,,COMPLETE
28,28,0.8574907494422365,2025-01-05 15:06:04.626627,2025-01-05 15:06:35.159684,0 days 00:00:30.533057,5,45,5.0,30.0,15.0,60.0,,,,,,5,3.0,2.0,3.0,4.0,,,,,,COMPLETE
29,29,0.8577991524292579,2025-01-05 15:06:35.160289,2025-01-05 15:07:32.501505,0 days 00:00:57.341216,7,20,70.0,45.0,30.0,15.0,20.0,90.0,,,,6,5.0,5.0,4.0,6.0,4.0,3.0,,,,COMPLETE
30,30,0.8338553912108597,2025-01-05 15:07:32.502261,2025-01-05 15:07:55.760790,0 days 00:00:23.258529,3,30,30.0,55.0,,,,,,,,6,3.0,3.0,,,,,,,,COMPLETE
31,31,0.8574546571307062,2025-01-05 15:07:55.761321,2025-01-05 15:09:12.237644,0 days 00:01:16.476323,9,60,5.0,65.0,5.0,100.0,40.0,80.0,95.0,100.0,,4,2.0,2.0,3.0,3.0,5.0,3.0,6.0,2.0,,COMPLETE
32,32,0.8603491560319112,2025-01-05 15:09:12.238427,2025-01-05 15:10:15.581533,0 days 00:01:03.343106,8,40,10.0,55.0,10.0,85.0,45.0,100.0,80.0,,,4,2.0,3.0,2.0,3.0,6.0,2.0,5.0,,,COMPLETE
33,33,0.8798271034274063,2025-01-05 15:10:15.582250,2025-01-05 15:11:23.702764,0 days 00:01:08.120514,9,10,10.0,80.0,20.0,60.0,60.0,90.0,85.0,75.0,,4,2.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,,COMPLETE
34,34,0.8732971965091207,2025-01-05 15:11:23.703530,2025-01-05 15:12:23.753941,0 days 00:01:00.050411,10,10,20.0,85.0,20.0,60.0,60.0,90.0,65.0,70.0,40.0,4,6.0,4.0,3.0,4.0,6.0,2.0,3.0,3.0,6.0,COMPLETE
