,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
26,26,0.6869387755102041,2025-01-04 02:49:50.226509,2025-01-04 02:50:20.980164,0 days 00:00:30.753655,6,40,55.0,50.0,75.0,100.0,25.0,,,,,4,6.0,5.0,5.0,5.0,3.0,,,,,COMPLETE
27,27,0.6794871794871795,2025-01-04 02:50:20.980766,2025-01-04 02:50:51.173175,0 days 00:00:30.192409,7,5,85.0,15.0,55.0,60.0,5.0,75.0,,,,5,5.0,3.0,3.0,2.0,5.0,3.0,,,,COMPLETE
28,28,0.5225694444444444,2025-01-04 02:50:51.173742,2025-01-04 02:51:06.275396,0 days 00:00:15.101654,3,55,45.0,70.0,,,,,,,,3,4.0,6.0,,,,,,,,COMPLETE
29,29,0.684577522559475,2025-01-04 02:51:06.275815,2025-01-04 02:51:42.093667,0 days 00:00:35.817852,8,15,65.0,55.0,25.0,5.0,60.0,70.0,50.0,,,2,5.0,4.0,5.0,5.0,5.0,5.0,2.0,,,COMPLETE
30,30,0.6715927750410509,2025-01-04 02:51:42.094233,2025-01-04 02:52:01.020481,0 days 00:00:18.926248,4,20,100.0,45.0,80.0,,,,,,,6,3.0,5.0,4.0,,,,,,,COMPLETE
31,31,0.6305418719211823,2025-01-04 02:52:01.021012,2025-01-04 02:52:18.834281,0 days 00:00:17.813269,5,95,50.0,5.0,60.0,35.0,,,,,,2,5.0,2.0,4.0,3.0,,,,,,COMPLETE
32,32,0.7126436781609196,2025-01-04 02:52:18.834774,2025-01-04 02:52:33.682848,0 days 00:00:14.848074,4,100,50.0,30.0,70.0,,,,,,,2,5.0,2.0,4.0,,,,,,,COMPLETE
33,33,0.6715927750410509,2025-01-04 02:52:33.683265,2025-01-04 02:52:44.762040,0 days 00:00:11.078775,2,85,60.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
34,34,0.6565656565656566,2025-01-04 02:52:44.762385,2025-01-04 02:52:54.410365,0 days 00:00:09.647980,3,40,30.0,10.0,,,,,,,,2,4.0,2.0,,,,,,,,COMPLETE
35,35,0.5924495924495925,2025-01-04 02:52:54.410742,2025-01-04 02:53:13.657732,0 days 00:00:19.246990,6,65,75.0,25.0,45.0,20.0,100.0,,,,,3,2.0,3.0,3.0,4.0,3.0,,,,,COMPLETE
36,36,0.7373737373737375,2025-01-04 02:53:13.658331,2025-01-04 02:53:26.116548,0 days 00:00:12.458217,5,30,20.0,95.0,60.0,60.0,,,,,,2,4.0,2.0,2.0,2.0,,,,,,COMPLETE
37,37,0.5941558441558441,2025-01-04 02:53:26.116971,2025-01-04 02:53:56.653136,0 days 00:00:30.536165,8,30,20.0,100.0,55.0,60.0,25.0,30.0,55.0,,,3,4.0,4.0,2.0,2.0,4.0,5.0,4.0,,,COMPLETE
38,38,0.6365914786967418,2025-01-04 02:53:56.653731,2025-01-04 02:54:19.689185,0 days 00:00:23.035454,5,35,5.0,90.0,30.0,85.0,,,,,,4,3.0,6.0,2.0,3.0,,,,,,COMPLETE
39,39,0.5894909688013137,2025-01-04 02:54:19.689644,2025-01-04 02:54:41.487644,0 days 00:00:21.798000,6,50,25.0,85.0,85.0,65.0,55.0,,,,,5,4.0,4.0,2.0,2.0,3.0,,,,,COMPLETE
40,40,0.47098402018502944,2025-01-04 02:54:41.488120,2025-01-04 02:55:11.555153,0 days 00:00:30.067033,7,25,15.0,60.0,45.0,45.0,25.0,70.0,,,,6,6.0,2.0,3.0,3.0,4.0,3.0,,,,COMPLETE
41,41,0.7238372093023255,2025-01-04 02:55:11.555824,2025-01-04 02:55:23.482634,0 days 00:00:11.926810,4,10,45.0,40.0,60.0,,,,,,,2,5.0,2.0,2.0,,,,,,,COMPLETE
