,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
25,25,0.8614149012977717,2025-01-02 21:55:11.807017,2025-01-02 21:56:31.117850,0 days 00:01:19.310833,7,40,45.0,25.0,30.0,20.0,50.0,35.0,,,,5,4.0,5.0,5.0,5.0,5.0,4.0,,,,COMPLETE
26,26,0.8556676456420058,2025-01-02 21:56:31.118688,2025-01-02 21:57:28.940481,0 days 00:00:57.821793,5,60,20.0,35.0,55.0,50.0,,,,,,3,5.0,6.0,4.0,3.0,,,,,,COMPLETE
27,27,0.8547283610405672,2025-01-02 21:57:28.941181,2025-01-02 21:58:41.131959,0 days 00:01:12.190778,6,20,35.0,15.0,10.0,40.0,95.0,,,,,4,4.0,4.0,6.0,6.0,4.0,,,,,COMPLETE
28,28,0.8040632179029414,2025-01-02 21:58:41.132784,2025-01-02 21:59:53.399057,0 days 00:01:12.266273,9,5,50.0,25.0,35.0,25.0,25.0,70.0,75.0,60.0,,5,3.0,5.0,4.0,5.0,6.0,6.0,4.0,2.0,,COMPLETE
29,29,0.8606875258148647,2025-01-02 21:59:53.399903,2025-01-02 22:01:17.900512,0 days 00:01:24.500609,10,70,5.0,45.0,55.0,65.0,45.0,10.0,35.0,20.0,5.0,6,5.0,6.0,5.0,3.0,5.0,4.0,3.0,6.0,4.0,COMPLETE
30,30,0.8447951871435087,2025-01-02 22:01:17.901452,2025-01-02 22:01:39.784422,0 days 00:00:21.882970,2,30,15.0,,,,,,,,,4,6.0,,,,,,,,,COMPLETE
31,31,0.8348313184718383,2025-01-02 22:01:39.784973,2025-01-02 22:02:35.011936,0 days 00:00:55.226963,5,15,35.0,5.0,15.0,30.0,,,,,,5,5.0,5.0,3.0,5.0,,,,,,COMPLETE
32,32,0.8192270859338842,2025-01-02 22:02:35.012821,2025-01-02 22:03:17.173028,0 days 00:00:42.160207,4,15,30.0,10.0,5.0,,,,,,,5,4.0,4.0,4.0,,,,,,,COMPLETE
33,33,0.8649655300126586,2025-01-02 22:03:17.173696,2025-01-02 22:03:58.738918,0 days 00:00:41.565222,5,10,40.0,10.0,5.0,15.0,,,,,,6,5.0,5.0,4.0,4.0,,,,,,COMPLETE
34,34,0.8484132318734927,2025-01-02 22:03:58.739755,2025-01-02 22:04:34.509228,0 days 00:00:35.769473,3,20,25.0,25.0,,,,,,,,5,4.0,5.0,,,,,,,,COMPLETE
35,35,0.876268059956673,2025-01-02 22:04:34.509849,2025-01-02 22:05:37.368518,0 days 00:01:02.858669,6,10,30.0,20.0,15.0,40.0,70.0,,,,,4,5.0,6.0,4.0,5.0,4.0,,,,,COMPLETE
36,36,0.8627366864637693,2025-01-02 22:05:37.369450,2025-01-02 22:06:42.379453,0 days 00:01:05.010003,7,10,30.0,20.0,15.0,45.0,75.0,100.0,,,,3,4.0,6.0,5.0,6.0,4.0,3.0,,,,COMPLETE
37,37,0.8700831322482011,2025-01-02 22:06:42.380440,2025-01-02 22:07:54.740082,0 days 00:01:12.359642,6,30,45.0,30.0,25.0,75.0,65.0,,,,,4,4.0,6.0,4.0,5.0,5.0,,,,,COMPLETE
38,38,0.8581029943037946,2025-01-02 22:07:54.740886,2025-01-02 22:09:12.090826,0 days 00:01:17.349940,9,50,20.0,20.0,20.0,50.0,60.0,40.0,30.0,80.0,,3,6.0,6.0,2.0,6.0,4.0,3.0,3.0,4.0,,COMPLETE
39,39,0.8593749251532377,2025-01-02 22:09:12.091837,2025-01-02 22:10:49.615460,0 days 00:01:37.523623,8,45,55.0,30.0,20.0,40.0,85.0,25.0,60.0,,,4,5.0,6.0,3.0,5.0,6.0,4.0,4.0,,,COMPLETE
40,40,0.8833692291192398,2025-01-02 22:10:49.616475,2025-01-02 22:11:51.084066,0 days 00:01:01.467591,6,25,15.0,60.0,30.0,5.0,45.0,,,,,4,3.0,5.0,3.0,6.0,4.0,,,,,COMPLETE
41,41,0.869542212536348,2025-01-02 22:11:51.084894,2025-01-02 22:12:45.281038,0 days 00:00:54.196144,6,20,15.0,60.0,30.0,5.0,45.0,,,,,4,2.0,3.0,3.0,6.0,4.0,,,,,COMPLETE
42,42,0.855214927449256,2025-01-02 22:12:45.281862,2025-01-02 22:13:54.175138,0 days 00:01:08.893276,7,25,10.0,40.0,30.0,20.0,20.0,60.0,,,,4,3.0,4.0,2.0,6.0,4.0,5.0,,,,COMPLETE
43,43,0.8524082666564426,2025-01-02 22:13:54.175901,2025-01-02 22:14:59.891067,0 days 00:01:05.715166,6,40,25.0,60.0,10.0,10.0,40.0,,,,,4,3.0,5.0,3.0,6.0,5.0,,,,,COMPLETE
44,44,0.8910763439724387,2025-01-02 22:14:59.891886,2025-01-02 22:15:23.012795,0 days 00:00:23.120909,3,10,30.0,55.0,,,,,,,,3,3.0,2.0,,,,,,,,COMPLETE
45,45,0.8074946046694134,2025-01-02 22:15:23.013310,2025-01-02 22:16:33.304429,0 days 00:01:10.291119,8,5,40.0,75.0,90.0,25.0,55.0,85.0,100.0,,,2,2.0,2.0,3.0,6.0,3.0,2.0,4.0,,,COMPLETE
46,46,0.8136334945830652,2025-01-02 22:16:33.305238,2025-01-02 22:16:51.554882,0 days 00:00:18.249644,2,10,30.0,,,,,,,,,3,3.0,,,,,,,,,COMPLETE
47,47,0.8197728255233199,2025-01-02 22:16:51.555440,2025-01-02 22:17:42.169787,0 days 00:00:50.614347,6,30,70.0,55.0,75.0,10.0,45.0,,,,,3,2.0,2.0,2.0,4.0,4.0,,,,,COMPLETE
48,48,0.8630491334023027,2025-01-02 22:17:42.170330,2025-01-02 22:19:55.232923,0 days 00:02:13.062593,10,100,40.0,80.0,50.0,85.0,80.0,65.0,75.0,35.0,100.0,2,3.0,3.0,3.0,4.0,5.0,6.0,2.0,5.0,2.0,COMPLETE
49,49,0.8704894836466519,2025-01-02 22:19:55.233746,2025-01-02 22:21:06.994173,0 days 00:01:11.760427,7,10,10.0,60.0,65.0,60.0,25.0,45.0,,,,3,3.0,4.0,4.0,5.0,4.0,4.0,,,,COMPLETE
50,50,0.0,2025-01-02 22:21:06.994971,2025-01-02 22:21:55.482802,0 days 00:00:48.487831,3,80,60.0,45.0,,,,,,,,4,6.0,3.0,,,,,,,,COMPLETE
51,51,0.8458213361888856,2025-01-02 22:21:55.483369,2025-01-02 22:22:29.083928,0 days 00:00:33.600559,3,25,20.0,10.0,,,,,,,,5,4.0,5.0,,,,,,,,COMPLETE
52,52,0.8706032592738095,2025-01-02 22:22:29.084559,2025-01-02 22:23:08.871398,0 days 00:00:39.786839,4,20,20.0,55.0,35.0,,,,,,,4,3.0,4.0,5.0,,,,,,,COMPLETE
53,53,0.8685528050554647,2025-01-02 22:23:08.871893,2025-01-02 22:24:05.679418,0 days 00:00:56.807525,5,10,30.0,20.0,10.0,70.0,,,,,,4,5.0,6.0,5.0,5.0,,,,,,COMPLETE
54,54,0.8505915678551444,2025-01-02 22:24:05.680117,2025-01-02 22:24:57.306349,0 days 00:00:51.626232,4,15,45.0,70.0,100.0,,,,,,,5,4.0,2.0,6.0,,,,,,,COMPLETE
55,55,0.8544445101372309,2025-01-02 22:24:57.306855,2025-01-02 22:26:04.167943,0 days 00:01:06.861088,5,35,85.0,35.0,20.0,40.0,,,,,,3,5.0,5.0,5.0,6.0,,,,,,COMPLETE
56,56,0.8298655662534848,2025-01-02 22:26:04.168678,2025-01-02 22:26:35.067159,0 days 00:00:30.898481,3,5,5.0,45.0,,,,,,,,4,3.0,5.0,,,,,,,,COMPLETE
57,57,0.8731622992841481,2025-01-02 22:26:35.067628,2025-01-02 22:26:58.018277,0 days 00:00:22.950649,2,25,15.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
58,58,0.8694936872544858,2025-01-02 22:26:58.018872,2025-01-02 22:27:53.785987,0 days 00:00:55.767115,7,20,25.0,65.0,60.0,20.0,60.0,15.0,,,,5,2.0,6.0,5.0,2.0,2.0,5.0,,,,COMPLETE
59,59,0.8511984278084608,2025-01-02 22:27:53.786703,2025-01-02 22:28:05.393817,0 days 00:00:11.607114,1,40,,,,,,,,,,6,,,,,,,,,,COMPLETE
60,60,0.8592533288941887,2025-01-02 22:28:05.394264,2025-01-02 22:28:59.596953,0 days 00:00:54.202689,6,15,35.0,10.0,45.0,55.0,40.0,,,,,2,5.0,5.0,4.0,5.0,3.0,,,,,COMPLETE
61,61,0.8710884843916282,2025-01-02 22:28:59.597714,2025-01-02 22:29:22.523242,0 days 00:00:22.925528,2,25,15.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
62,62,0.8164747250185298,2025-01-02 22:29:22.523708,2025-01-02 22:29:36.851007,0 days 00:00:14.327299,1,30,,,,,,,,,,4,,,,,,,,,,COMPLETE
63,63,0.8728597842806964,2025-01-02 22:29:36.851515,2025-01-02 22:29:59.700981,0 days 00:00:22.849466,2,25,10.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
64,64,0.860616874781188,2025-01-02 22:29:59.701538,2025-01-02 22:31:51.318353,0 days 00:01:51.616815,9,20,20.0,50.0,25.0,100.0,100.0,30.0,25.0,75.0,,4,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,,COMPLETE
65,65,0.834440797182554,2025-01-02 22:31:51.319250,2025-01-02 22:32:29.524123,0 days 00:00:38.204873,3,30,30.0,5.0,,,,,,,,5,4.0,6.0,,,,,,,,COMPLETE
66,66,0.8194261321328662,2025-01-02 22:32:29.524644,2025-01-02 22:32:54.037138,0 days 00:00:24.512494,2,10,35.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
67,67,0.8466011941060905,2025-01-02 22:32:54.037633,2025-01-02 22:33:28.260275,0 days 00:00:34.222642,3,15,15.0,15.0,,,,,,,,3,5.0,5.0,,,,,,,,COMPLETE
68,68,0.8726346680782925,2025-01-02 22:33:28.260922,2025-01-02 22:34:27.194698,0 days 00:00:58.933776,5,25,25.0,20.0,15.0,10.0,,,,,,4,3.0,6.0,5.0,6.0,,,,,,COMPLETE
69,69,0.8431623240903561,2025-01-02 22:34:27.195373,2025-01-02 22:35:19.733932,0 days 00:00:52.538559,4,35,50.0,55.0,35.0,,,,,,,4,4.0,5.0,6.0,,,,,,,COMPLETE
70,70,0.8498525238155601,2025-01-02 22:35:19.734698,2025-01-02 22:36:27.301156,0 days 00:01:07.566458,7,5,40.0,40.0,95.0,35.0,30.0,85.0,,,,5,5.0,6.0,4.0,3.0,2.0,6.0,,,,COMPLETE
71,71,0.8679146324054248,2025-01-02 22:36:27.301954,2025-01-02 22:36:50.360650,0 days 00:00:23.058696,2,25,10.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
72,72,0.8340680727307299,2025-01-02 22:36:50.361129,2025-01-02 22:37:12.624531,0 days 00:00:22.263402,2,20,5.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
73,73,0.8079374676238802,2025-01-02 22:37:12.624976,2025-01-02 22:37:25.227527,0 days 00:00:12.602551,1,15,,,,,,,,,,4,,,,,,,,,,COMPLETE
74,74,0.860876111036091,2025-01-02 22:37:25.228007,2025-01-02 22:38:27.964078,0 days 00:01:02.736071,6,30,10.0,65.0,10.0,25.0,10.0,,,,,4,4.0,3.0,5.0,5.0,5.0,,,,,COMPLETE
75,75,0.859185074801309,2025-01-02 22:38:27.964869,2025-01-02 22:38:53.190748,0 days 00:00:25.225879,2,60,15.0,,,,,,,,,4,4.0,,,,,,,,,COMPLETE
76,76,0.8707204844065521,2025-01-02 22:38:53.191203,2025-01-02 22:39:33.993436,0 days 00:00:40.802233,4,20,25.0,30.0,80.0,,,,,,,3,4.0,4.0,4.0,,,,,,,COMPLETE
77,77,0.8694450579857271,2025-01-02 22:39:33.994096,2025-01-02 22:39:54.469594,0 days 00:00:20.475498,2,35,10.0,,,,,,,,,4,3.0,,,,,,,,,COMPLETE
78,78,0.8458160097532066,2025-01-02 22:39:54.470058,2025-01-02 22:40:34.243295,0 days 00:00:39.773237,3,25,20.0,15.0,,,,,,,,6,6.0,5.0,,,,,,,,COMPLETE
79,79,0.869156389406903,2025-01-02 22:40:34.243823,2025-01-02 22:42:05.919176,0 days 00:01:31.675353,10,10,20.0,25.0,40.0,35.0,60.0,45.0,45.0,35.0,55.0,5,5.0,6.0,6.0,6.0,3.0,2.0,3.0,3.0,6.0,COMPLETE
80,80,0.8647143442279912,2025-01-02 22:42:05.920074,2025-01-02 22:42:50.934674,0 days 00:00:45.014600,5,40,30.0,5.0,30.0,5.0,,,,,,4,3.0,4.0,3.0,4.0,,,,,,COMPLETE
81,81,0.8166551751776753,2025-01-02 22:42:50.935389,2025-01-02 22:43:47.753871,0 days 00:00:56.818482,5,25,25.0,20.0,15.0,15.0,,,,,,4,3.0,6.0,5.0,6.0,,,,,,COMPLETE
82,82,0.8926354949694268,2025-01-02 22:43:47.754600,2025-01-02 22:44:43.204253,0 days 00:00:55.449653,6,25,15.0,10.0,15.0,10.0,40.0,,,,,5,3.0,6.0,5.0,6.0,6.0,,,,,COMPLETE
83,83,0.8515861821124637,2025-01-02 22:44:43.204967,2025-01-02 22:45:38.539853,0 days 00:00:55.334886,6,20,15.0,15.0,5.0,10.0,40.0,,,,,5,3.0,6.0,5.0,6.0,6.0,,,,,COMPLETE
84,84,0.8791316945809187,2025-01-02 22:45:38.540681,2025-01-02 22:46:24.980396,0 days 00:00:46.439715,6,15,10.0,10.0,20.0,20.0,50.0,,,,,5,3.0,6.0,5.0,6.0,6.0,,,,,COMPLETE
85,85,0.8670220892482017,2025-01-02 22:46:24.981179,2025-01-02 22:47:18.050713,0 days 00:00:53.069534,6,15,45.0,10.0,20.0,20.0,50.0,,,,,5,3.0,6.0,5.0,6.0,6.0,,,,,COMPLETE
86,86,0.8844006946062712,2025-01-02 22:47:18.051565,2025-01-02 22:48:30.383041,0 days 00:01:12.331476,8,5,5.0,5.0,25.0,5.0,35.0,90.0,75.0,,,5,3.0,6.0,5.0,6.0,6.0,4.0,3.0,,,COMPLETE
87,87,0.8105599007598351,2025-01-02 22:48:30.384048,2025-01-02 22:49:48.283266,0 days 00:01:17.899218,8,5,5.0,5.0,25.0,5.0,35.0,90.0,70.0,,,5,3.0,6.0,5.0,6.0,6.0,4.0,3.0,,,COMPLETE
88,88,0.8570629287975944,2025-01-02 22:49:48.284262,2025-01-02 22:50:54.899794,0 days 00:01:06.615532,7,5,5.0,10.0,25.0,10.0,40.0,65.0,,,,5,2.0,6.0,5.0,6.0,6.0,4.0,,,,COMPLETE
89,89,0.8551364519126342,2025-01-02 22:50:54.900668,2025-01-02 22:52:05.737975,0 days 00:01:10.837307,8,95,10.0,5.0,10.0,15.0,30.0,95.0,85.0,,,5,3.0,6.0,5.0,6.0,6.0,5.0,2.0,,,COMPLETE
90,90,0.8591917576272563,2025-01-02 22:52:05.738889,2025-01-02 22:53:10.938193,0 days 00:01:05.199304,9,15,40.0,10.0,15.0,5.0,45.0,75.0,60.0,80.0,,5,3.0,6.0,4.0,6.0,6.0,3.0,3.0,4.0,,COMPLETE
91,91,0.8566642282370154,2025-01-02 22:53:10.939194,2025-01-02 22:54:11.197166,0 days 00:01:00.257972,6,10,15.0,10.0,20.0,30.0,35.0,,,,,5,3.0,6.0,5.0,5.0,6.0,,,,,COMPLETE
92,92,0.8630892014755379,2025-01-02 22:54:11.198059,2025-01-02 22:55:18.317706,0 days 00:01:07.119647,7,10,15.0,15.0,5.0,10.0,55.0,75.0,,,,5,3.0,6.0,4.0,6.0,5.0,5.0,,,,COMPLETE
93,93,0.8809313349049883,2025-01-02 22:55:18.318558,2025-01-02 22:56:18.528425,0 days 00:01:00.209867,6,20,20.0,5.0,25.0,15.0,50.0,,,,,5,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
94,94,0.8856104359952122,2025-01-02 22:56:18.529313,2025-01-02 22:57:31.264953,0 days 00:01:12.735640,6,20,20.0,5.0,25.0,15.0,50.0,,,,,5,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
95,95,0.8382129405058623,2025-01-02 22:57:31.265893,2025-01-02 22:58:21.913901,0 days 00:00:50.648008,6,15,35.0,5.0,30.0,15.0,50.0,,,,,5,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
96,96,0.8467225686512125,2025-01-02 22:58:21.914852,2025-01-02 22:59:11.718769,0 days 00:00:49.803917,6,10,20.0,5.0,25.0,15.0,45.0,,,,,6,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
97,97,0.8683571398522318,2025-01-02 22:59:11.719546,2025-01-02 23:00:15.958725,0 days 00:01:04.239179,6,5,30.0,15.0,15.0,25.0,50.0,,,,,5,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
98,98,0.8709644310080991,2025-01-02 23:00:15.959669,2025-01-02 23:01:09.698252,0 days 00:00:53.738583,6,15,5.0,10.0,20.0,5.0,40.0,,,,,5,3.0,5.0,6.0,6.0,6.0,,,,,COMPLETE
99,99,0.8807329205895423,2025-01-02 23:01:09.699249,2025-01-02 23:02:22.910757,0 days 00:01:13.211508,7,20,25.0,5.0,25.0,20.0,55.0,50.0,,,,5,2.0,5.0,6.0,6.0,6.0,5.0,,,,COMPLETE
100,100,0.8859005996035643,2025-01-02 23:02:22.911611,2025-01-02 23:03:44.713000,0 days 00:01:21.801389,8,20,25.0,5.0,35.0,20.0,55.0,50.0,85.0,,,5,2.0,5.0,6.0,6.0,6.0,5.0,4.0,,,COMPLETE
101,101,0.8592072846717542,2025-01-02 23:03:44.713989,2025-01-02 23:05:10.468180,0 days 00:01:25.754191,8,20,25.0,5.0,35.0,20.0,55.0,50.0,90.0,,,5,2.0,5.0,6.0,6.0,6.0,5.0,4.0,,,COMPLETE
102,102,0.8839551068759206,2025-01-02 23:05:10.469166,2025-01-02 23:06:09.981939,0 days 00:00:59.512773,7,20,25.0,10.0,30.0,15.0,55.0,35.0,,,,5,2.0,5.0,6.0,6.0,6.0,5.0,,,,COMPLETE
103,103,0.8686352064011639,2025-01-02 23:06:09.982935,2025-01-02 23:07:17.548246,0 days 00:01:07.565311,7,20,20.0,10.0,30.0,15.0,55.0,35.0,,,,5,2.0,5.0,6.0,6.0,6.0,5.0,,,,COMPLETE
104,104,0.8630954672969497,2025-01-02 23:07:17.549220,2025-01-02 23:08:13.598720,0 days 00:00:56.049500,7,20,20.0,5.0,35.0,20.0,60.0,50.0,,,,5,2.0,5.0,6.0,6.0,6.0,5.0,,,,COMPLETE
105,105,0.8558721742272266,2025-01-02 23:08:13.599700,2025-01-02 23:09:28.489828,0 days 00:01:14.890128,8,30,25.0,10.0,40.0,10.0,45.0,60.0,80.0,,,5,2.0,5.0,6.0,6.0,6.0,6.0,5.0,,,COMPLETE
106,106,0.844484231687398,2025-01-02 23:09:28.490598,2025-01-02 23:10:37.630823,0 days 00:01:09.140225,7,15,20.0,5.0,30.0,10.0,50.0,25.0,,,,5,2.0,5.0,6.0,6.0,6.0,5.0,,,,COMPLETE
107,107,0.877012276546048,2025-01-02 23:10:37.631641,2025-01-02 23:11:57.989025,0 days 00:01:20.357384,8,15,25.0,15.0,25.0,25.0,50.0,40.0,100.0,,,5,2.0,5.0,6.0,6.0,6.0,5.0,4.0,,,COMPLETE
108,108,0.8809805772538692,2025-01-02 23:11:57.989923,2025-01-02 23:13:18.133582,0 days 00:01:20.143659,7,20,100.0,5.0,20.0,20.0,65.0,60.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
109,109,0.8871327873779118,2025-01-02 23:13:18.134581,2025-01-02 23:14:29.779854,0 days 00:01:11.645273,7,25,30.0,5.0,40.0,5.0,65.0,60.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
110,110,0.8840686017706101,2025-01-02 23:14:29.780851,2025-01-02 23:15:45.789026,0 days 00:01:16.008175,7,25,95.0,95.0,40.0,5.0,65.0,60.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
111,111,0.8691427481789691,2025-01-02 23:15:45.789876,2025-01-02 23:17:24.791167,0 days 00:01:39.001291,7,25,95.0,80.0,45.0,5.0,65.0,60.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
112,112,0.8315325756680404,2025-01-02 23:17:24.792038,2025-01-02 23:18:44.528774,0 days 00:01:19.736736,7,25,100.0,5.0,45.0,5.0,70.0,65.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
113,113,0.8715327733853097,2025-01-02 23:18:44.529753,2025-01-02 23:20:44.109916,0 days 00:01:59.580163,8,30,95.0,90.0,40.0,10.0,65.0,70.0,65.0,,,6,2.0,5.0,6.0,6.0,6.0,6.0,5.0,,,COMPLETE
114,114,0.8589951377633711,2025-01-02 23:20:44.110867,2025-01-02 23:22:24.871656,0 days 00:01:40.760789,7,30,90.0,85.0,30.0,15.0,70.0,55.0,,,,6,2.0,5.0,6.0,6.0,6.0,6.0,,,,COMPLETE
