,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
17,17,0.9432325242407267,2025-01-01 21:37:59.254740,2025-01-01 21:38:11.305449,0 days 00:00:12.050709,3,200,25.0,,,,,,,,,,,40.0,,,,,,,,3,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
18,18,0.0,2025-01-01 21:38:11.305827,2025-01-01 21:38:19.953905,0 days 00:00:08.648078,12,200,5.0,195.0,5.0,,,,,,,,,50.0,170.0,105.0,120.0,190.0,200.0,140.0,20.0,4,2.0,3.0,2.0,,,,,,,,,6.0,3.0,3.0,5.0,4.0,2.0,6.0,2.0,COMPLETE
19,19,0.9340819904817567,2025-01-01 21:38:19.954486,2025-01-01 21:38:32.262368,0 days 00:00:12.307882,3,170,40.0,,,,,,,,,,,35.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
20,20,0.0,2025-01-01 21:38:32.262754,2025-01-01 21:38:37.774720,0 days 00:00:05.511966,6,180,60.0,,,,,,,,,,,100.0,75.0,100.0,95.0,,,,,4,2.0,,,,,,,,,,,6.0,5.0,6.0,2.0,,,,,COMPLETE
21,21,0.9470227446971633,2025-01-01 21:38:37.775159,2025-01-01 21:38:43.079651,0 days 00:00:05.304492,1,95,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.9499949994999499,2025-01-01 21:38:43.080095,2025-01-01 21:38:55.332444,0 days 00:00:12.252349,4,90,25.0,,,,,,,,,,,135.0,115.0,,,,,,,3,4.0,,,,,,,,,,,5.0,2.0,,,,,,,COMPLETE
23,23,0.0,2025-01-01 21:38:55.332889,2025-01-01 21:38:59.727220,0 days 00:00:04.394331,5,100,120.0,,,,,,,,,,,145.0,115.0,50.0,,,,,,3,5.0,,,,,,,,,,,5.0,2.0,2.0,,,,,,COMPLETE
24,24,0.0,2025-01-01 21:38:59.727731,2025-01-01 21:39:04.567622,0 days 00:00:04.839891,8,120,25.0,,,,,,,,,,,175.0,165.0,165.0,135.0,10.0,145.0,,,2,4.0,,,,,,,,,,,3.0,3.0,4.0,4.0,3.0,5.0,,,COMPLETE
25,25,0.9288194444444444,2025-01-01 21:39:04.568152,2025-01-01 21:39:09.852530,0 days 00:00:05.284378,1,90,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.951473660365961,2025-01-01 21:39:09.852900,2025-01-01 21:39:18.281579,0 days 00:00:08.428679,3,140,65.0,,,,,,,,,,,130.0,,,,,,,,3,4.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
27,27,0.0,2025-01-01 21:39:18.281991,2025-01-01 21:39:25.067581,0 days 00:00:06.785590,9,130,70.0,,,,,,,,,,,130.0,125.0,135.0,50.0,160.0,80.0,150.0,,4,4.0,,,,,,,,,,,4.0,4.0,3.0,6.0,5.0,3.0,3.0,,COMPLETE
28,28,0.9424197723287595,2025-01-01 21:39:25.068124,2025-01-01 21:39:42.016882,0 days 00:00:16.948758,3,145,25.0,,,,,,,,,,,105.0,,,,,,,,3,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
29,29,0.0,2025-01-01 21:39:42.017292,2025-01-01 21:39:46.252772,0 days 00:00:04.235480,5,85,100.0,,,,,,,,,,,175.0,70.0,80.0,,,,,,2,3.0,,,,,,,,,,,5.0,2.0,5.0,,,,,,COMPLETE
30,30,0.0,2025-01-01 21:39:46.253218,2025-01-01 21:39:51.514757,0 days 00:00:05.261539,10,80,60.0,,,,,,,,,,,120.0,30.0,120.0,5.0,115.0,145.0,155.0,150.0,3,4.0,,,,,,,,,,,4.0,3.0,6.0,5.0,2.0,2.0,5.0,2.0,COMPLETE
31,31,0.9549998749996528,2025-01-01 21:39:51.515395,2025-01-01 21:39:57.054582,0 days 00:00:05.539187,2,115,95.0,,,,,,,,,,,,,,,,,,,3,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.9407558932398208,2025-01-01 21:39:57.054943,2025-01-01 21:40:06.083876,0 days 00:00:09.028933,3,115,95.0,,,,,,,,,,,90.0,,,,,,,,4,5.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
33,33,0.0,2025-01-01 21:40:06.084264,2025-01-01 21:40:11.074043,0 days 00:00:04.989779,5,75,115.0,,,,,,,,,,,140.0,100.0,35.0,,,,,,3,5.0,,,,,,,,,,,5.0,4.0,2.0,,,,,,COMPLETE
34,34,0.94911514274584,2025-01-01 21:40:11.074544,2025-01-01 21:40:14.576452,0 days 00:00:03.501908,2,60,140.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.0,2025-01-01 21:40:14.576825,2025-01-01 21:40:16.783345,0 days 00:00:02.206520,4,60,130.0,,,,,,,,,,,175.0,155.0,,,,,,,5,3.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
36,36,0.957534664448142,2025-01-01 21:40:16.783749,2025-01-01 21:40:21.227691,0 days 00:00:04.443942,2,65,170.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.0,2025-01-01 21:40:21.228053,2025-01-01 21:40:26.963401,0 days 00:00:05.735348,7,110,165.0,,,,,,,,,,,90.0,175.0,165.0,200.0,40.0,,,,4,4.0,,,,,,,,,,,4.0,5.0,4.0,3.0,4.0,,,,COMPLETE
38,38,0.9591344414827017,2025-01-01 21:40:26.963908,2025-01-01 21:40:31.580573,0 days 00:00:04.616665,2,135,90.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.0,2025-01-01 21:40:31.580945,2025-01-01 21:40:43.183665,0 days 00:00:11.602720,20,155,85.0,195.0,55.0,105.0,5.0,190.0,5.0,15.0,5.0,200.0,85.0,65.0,25.0,200.0,45.0,130.0,10.0,5.0,45.0,5,4.0,3.0,3.0,6.0,6.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0,5.0,3.0,6.0,5.0,6.0,3.0,5.0,COMPLETE
40,40,0.9632711989119044,2025-01-01 21:40:43.184517,2025-01-01 21:40:47.854352,0 days 00:00:04.669835,2,135,110.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.9575311846564281,2025-01-01 21:40:47.854725,2025-01-01 21:40:52.575312,0 days 00:00:04.720587,2,130,105.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.9448811435197574,2025-01-01 21:40:52.575686,2025-01-01 21:40:57.308789,0 days 00:00:04.733103,2,150,110.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.9616721157558772,2025-01-01 21:40:57.309156,2025-01-01 21:41:01.449400,0 days 00:00:04.140244,2,130,95.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.9490371354710471,2025-01-01 21:41:01.449776,2025-01-01 21:41:06.151278,0 days 00:00:04.701502,2,125,120.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.0,2025-01-01 21:41:06.151730,2025-01-01 21:41:13.968851,0 days 00:00:07.817121,12,165,75.0,5.0,155.0,,,,,,,,,5.0,200.0,85.0,105.0,175.0,40.0,125.0,140.0,6,3.0,4.0,5.0,,,,,,,,,2.0,4.0,5.0,2.0,3.0,4.0,6.0,4.0,COMPLETE
46,46,0.9557253570670806,2025-01-01 21:41:13.969456,2025-01-01 21:41:29.837937,0 days 00:00:15.868481,4,130,130.0,,,,,,,,,,,30.0,55.0,,,,,,,5,4.0,,,,,,,,,,,3.0,6.0,,,,,,,COMPLETE
47,47,0.0,2025-01-01 21:41:29.838405,2025-01-01 21:41:36.937196,0 days 00:00:07.098791,14,25,90.0,145.0,65.0,195.0,15.0,,,,,,,190.0,70.0,5.0,150.0,50.0,90.0,175.0,50.0,6,4.0,3.0,3.0,2.0,2.0,,,,,,,6.0,5.0,6.0,4.0,2.0,5.0,2.0,5.0,COMPLETE
48,48,0.9401477832512315,2025-01-01 21:41:36.937874,2025-01-01 21:41:43.327932,0 days 00:00:06.390058,1,105,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.0,2025-01-01 21:41:43.328286,2025-01-01 21:41:46.888218,0 days 00:00:03.559932,6,135,165.0,,,,,,,,,,,75.0,20.0,180.0,35.0,,,,,5,4.0,,,,,,,,,,,2.0,3.0,2.0,5.0,,,,,COMPLETE
50,50,0.0,2025-01-01 21:41:46.888680,2025-01-01 21:41:51.906380,0 days 00:00:05.017700,5,165,105.0,,,,,,,,,,,115.0,55.0,120.0,,,,,,5,3.0,,,,,,,,,,,3.0,6.0,4.0,,,,,,COMPLETE
51,51,0.9565943238731218,2025-01-01 21:41:51.906829,2025-01-01 21:41:56.141041,0 days 00:00:04.234212,2,125,130.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.9557957707289928,2025-01-01 21:41:56.141402,2025-01-01 21:42:00.346652,0 days 00:00:04.205250,2,125,145.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
