,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
18,18,0.0,2025-01-01 07:08:28.304102,2025-01-01 07:08:33.254866,0 days 00:00:04.950764,8,45,40.0,,,,,,,,,,,110.0,5.0,155.0,190.0,140.0,80.0,,,3,4.0,,,,,,,,,,,5.0,5.0,4.0,3.0,5.0,2.0,,,COMPLETE
19,19,0.8225344782721832,2025-01-01 07:08:33.255344,2025-01-01 07:08:40.117598,0 days 00:00:06.862254,3,5,95.0,,,,,,,,,,,155.0,,,,,,,,5,6.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
20,20,0.8696969696969696,2025-01-01 07:08:40.117959,2025-01-01 07:08:43.271304,0 days 00:00:03.153345,1,175,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
21,21,0.8696969696969696,2025-01-01 07:08:43.271633,2025-01-01 07:08:46.282227,0 days 00:00:03.010594,1,185,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.7966684294024325,2025-01-01 07:08:46.282534,2025-01-01 07:08:52.566905,0 days 00:00:06.284371,3,185,145.0,,,,,,,,,,,90.0,,,,,,,,2,3.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
23,23,0.0,2025-01-01 07:08:52.567257,2025-01-01 07:08:56.435284,0 days 00:00:03.868027,6,165,190.0,,,,,,,,,,,40.0,100.0,45.0,160.0,,,,,2,2.0,,,,,,,,,,,5.0,3.0,6.0,5.0,,,,,COMPLETE
24,24,0.8696969696969696,2025-01-01 07:08:56.435842,2025-01-01 07:08:59.679984,0 days 00:00:03.244142,1,175,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.0,2025-01-01 07:08:59.680308,2025-01-01 07:09:02.173812,0 days 00:00:02.493504,4,175,175.0,,,,,,,,,,,140.0,200.0,,,,,,,2,4.0,,,,,,,,,,,3.0,4.0,,,,,,,COMPLETE
26,26,0.8452950558213717,2025-01-01 07:09:02.174183,2025-01-01 07:09:07.685598,0 days 00:00:05.511415,2,130,95.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.0,2025-01-01 07:09:07.685928,2025-01-01 07:09:11.561456,0 days 00:00:03.875528,6,150,30.0,,,,,,,,,,,180.0,70.0,130.0,45.0,,,,,6,5.0,,,,,,,,,,,6.0,5.0,2.0,2.0,,,,,COMPLETE
