,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
19,19,0.7873873873873873,2025-01-01 09:51:26.106778,2025-01-01 09:51:30.705395,0 days 00:00:04.598617,3,75,120.0,,,,,,,,,,,125.0,,,,,,,,4,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
20,20,0.0,2025-01-01 09:51:30.705899,2025-01-01 09:51:34.076360,0 days 00:00:03.370461,6,40,190.0,,,,,,,,,,,180.0,105.0,115.0,155.0,,,,,3,2.0,,,,,,,,,,,3.0,6.0,3.0,3.0,,,,,COMPLETE
21,21,0.8482021844853703,2025-01-01 09:51:34.076823,2025-01-01 09:51:39.689739,0 days 00:00:05.612916,3,120,150.0,,,,,,,,,,,110.0,,,,,,,,6,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
22,22,0.8303436179542374,2025-01-01 09:51:39.690115,2025-01-01 09:51:45.166711,0 days 00:00:05.476596,3,75,155.0,,,,,,,,,,,100.0,,,,,,,,5,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
23,23,0.857097288676236,2025-01-01 09:51:45.167106,2025-01-01 09:51:50.233255,0 days 00:00:05.066149,3,110,135.0,,,,,,,,,,,140.0,,,,,,,,6,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
24,24,0.0,2025-01-01 09:51:50.233638,2025-01-01 09:51:52.942571,0 days 00:00:02.708933,6,120,135.0,,,,,,,,,,,140.0,160.0,45.0,130.0,,,,,6,3.0,,,,,,,,,,,2.0,2.0,2.0,3.0,,,,,COMPLETE
25,25,0.0,2025-01-01 09:51:52.943021,2025-01-01 09:52:01.452098,0 days 00:00:08.509077,14,155,95.0,100.0,95.0,180.0,10.0,,,,,,,105.0,30.0,170.0,65.0,65.0,195.0,5.0,200.0,5,4.0,2.0,4.0,6.0,2.0,,,,,,,2.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,COMPLETE
26,26,0.0,2025-01-01 09:52:01.452766,2025-01-01 09:52:12.425597,0 days 00:00:10.972831,20,170,115.0,105.0,90.0,5.0,190.0,195.0,25.0,200.0,5.0,200.0,55.0,145.0,85.0,5.0,170.0,165.0,5.0,110.0,80.0,6,2.0,4.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,2.0,5.0,COMPLETE
27,27,0.0,2025-01-01 09:52:12.426386,2025-01-01 09:52:17.998668,0 days 00:00:05.572282,11,120,75.0,115.0,,,,,,,,,,180.0,170.0,80.0,35.0,115.0,105.0,55.0,140.0,5,4.0,3.0,,,,,,,,,,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,COMPLETE
28,28,0.8212005108556832,2025-01-01 09:52:17.999233,2025-01-01 09:52:23.599566,0 days 00:00:05.600333,3,95,150.0,,,,,,,,,,,95.0,,,,,,,,6,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
