,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
19,19,0.0,2025-01-01 12:39:35.052108,2025-01-01 12:40:10.291984,0 days 00:00:35.239876,11,200,30.0,80.0,,,,,,,,,,165.0,115.0,90.0,60.0,5.0,150.0,5.0,130.0,3,5.0,3.0,,,,,,,,,,6.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,COMPLETE
20,20,0.0,2025-01-01 12:40:10.292560,2025-01-01 12:42:08.071504,0 days 00:01:57.778944,20,150,40.0,115.0,5.0,195.0,10.0,200.0,200.0,200.0,180.0,105.0,115.0,120.0,200.0,45.0,200.0,155.0,60.0,85.0,10.0,4,5.0,6.0,6.0,2.0,6.0,2.0,6.0,2.0,4.0,5.0,2.0,3.0,5.0,6.0,3.0,3.0,4.0,6.0,6.0,COMPLETE
21,21,0.8707665560397078,2025-01-01 12:42:08.072406,2025-01-01 12:44:22.711183,0 days 00:02:14.638777,2,200,5.0,,,,,,,,,,,,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8652559361881419,2025-01-01 12:44:22.711690,2025-01-01 12:46:30.837544,0 days 00:02:08.125854,3,175,20.0,,,,,,,,,,,10.0,,,,,,,,6,6.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
23,23,0.9092071932600572,2025-01-01 12:46:30.838057,2025-01-01 12:46:47.598437,0 days 00:00:16.760380,1,185,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.8909666187154771,2025-01-01 12:46:47.598782,2025-01-01 12:47:03.127304,0 days 00:00:15.528522,1,165,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.8775478924384297,2025-01-01 12:47:03.127644,2025-01-01 12:47:15.846417,0 days 00:00:12.718773,1,160,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.0,2025-01-01 12:47:15.846867,2025-01-01 12:47:28.385917,0 days 00:00:12.539050,6,180,195.0,,,,,,,,,,,70.0,165.0,175.0,95.0,,,,,6,3.0,,,,,,,,,,,2.0,2.0,2.0,4.0,,,,,COMPLETE
27,27,0.8738514406760896,2025-01-01 12:47:28.386372,2025-01-01 12:48:26.070083,0 days 00:00:57.683711,3,145,175.0,,,,,,,,,,,30.0,,,,,,,,5,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
28,28,0.8126148607321393,2025-01-01 12:48:26.070602,2025-01-01 12:48:37.786871,0 days 00:00:11.716269,1,120,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
