,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_neurons_layer_0,state
0,0,0.8400226116449971,2024-12-29 17:40:13.675207,2024-12-29 17:40:14.491915,0 days 00:00:00.816708,1,6,5,COMPLETE
1,1,0.8461174242424243,2024-12-29 17:40:14.492769,2024-12-29 17:40:14.721638,0 days 00:00:00.228869,1,8,5,COMPLETE
2,2,0.7023488640739315,2024-12-29 17:40:14.722281,2024-12-29 17:40:14.986294,0 days 00:00:00.264013,1,10,5,COMPLETE
