,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
19,19,0.7543103448275862,2025-01-05 13:28:32.974647,2025-01-05 13:28:38.202404,0 days 00:00:05.227757,1,7,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
20,20,0.0,2025-01-05 13:28:38.202702,2025-01-05 13:29:08.896125,0 days 00:00:30.693423,18,4,8.0,9.0,8.0,15.0,12.0,6.0,1.0,1.0,15.0,,,3.0,8.0,7.0,4.0,5.0,4.0,15.0,3.0,50,60.0,25.0,5.0,60.0,60.0,5.0,5.0,5.0,5.0,,,20.0,30.0,45.0,30.0,5.0,20.0,60.0,25.0,COMPLETE
21,21,0.7661169415292354,2025-01-05 13:29:08.896824,2025-01-05 13:29:13.447987,0 days 00:00:04.551163,1,7,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.5380200860832138,2025-01-05 13:29:13.448309,2025-01-05 13:29:20.633191,0 days 00:00:07.184882,3,8,5.0,,,,,,,,,,,10.0,,,,,,,,50,45.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
23,23,0.31785714285714284,2025-01-05 13:29:20.633702,2025-01-05 13:29:35.268992,0 days 00:00:14.635290,5,7,2.0,,,,,,,,,,,7.0,11.0,4.0,,,,,,50,30.0,,,,,,,,,,,50.0,35.0,15.0,,,,,,COMPLETE
24,24,0.07692307692307693,2025-01-05 13:29:35.269400,2025-01-05 13:29:41.421041,0 days 00:00:06.151641,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.8075980392156863,2025-01-05 13:29:41.421345,2025-01-05 13:29:44.708990,0 days 00:00:03.287645,2,5,9.0,,,,,,,,,,,,,,,,,,,20,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.6914715719063544,2025-01-05 13:29:44.709313,2025-01-05 13:29:48.520354,0 days 00:00:03.811041,3,1,9.0,,,,,,,,,,,3.0,,,,,,,,20,50.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
27,27,0.1530214424951267,2025-01-05 13:29:48.520684,2025-01-05 13:29:52.274477,0 days 00:00:03.753793,9,4,6.0,,,,,,,,,,,12.0,4.0,13.0,12.0,9.0,11.0,10.0,,25,40.0,,,,,,,,,,,15.0,55.0,35.0,50.0,50.0,45.0,5.0,,COMPLETE
28,28,0.32646276595744683,2025-01-05 13:29:52.274933,2025-01-05 13:30:03.891262,0 days 00:00:11.616329,5,6,13.0,,,,,,,,,,,15.0,8.0,8.0,,,,,,15,55.0,,,,,,,,,,,35.0,10.0,55.0,,,,,,COMPLETE
29,29,0.2857142857142857,2025-01-05 13:30:03.891693,2025-01-05 13:30:08.170100,0 days 00:00:04.278407,14,2,9.0,5.0,9.0,1.0,7.0,,,,,,,2.0,13.0,9.0,4.0,9.0,5.0,6.0,6.0,25,45.0,30.0,40.0,35.0,40.0,,,,,,,25.0,40.0,10.0,15.0,20.0,20.0,30.0,10.0,COMPLETE
30,30,0.7953488372093023,2025-01-05 13:30:08.170667,2025-01-05 13:30:11.461607,0 days 00:00:03.290940,2,10,3.0,,,,,,,,,,,,,,,,,,,15,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8561844863731656,2025-01-05 13:30:11.461927,2025-01-05 13:30:15.643688,0 days 00:00:04.181761,2,10,3.0,,,,,,,,,,,,,,,,,,,15,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.7951505016722409,2025-01-05 13:30:15.644029,2025-01-05 13:30:19.829856,0 days 00:00:04.185827,2,12,3.0,,,,,,,,,,,,,,,,,,,15,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.34705882352941175,2025-01-05 13:30:19.830193,2025-01-05 13:30:31.084888,0 days 00:00:11.254695,4,10,6.0,,,,,,,,,,,10.0,7.0,,,,,,,15,50.0,,,,,,,,,,,50.0,20.0,,,,,,,COMPLETE
34,34,0.7627551020408163,2025-01-05 13:30:31.085276,2025-01-05 13:30:36.244688,0 days 00:00:05.159412,2,13,2.0,,,,,,,,,,,,,,,,,,,20,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.8622222222222222,2025-01-05 13:30:36.245030,2025-01-05 13:30:40.190384,0 days 00:00:03.945354,2,10,5.0,,,,,,,,,,,,,,,,,,,15,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.3069852941176471,2025-01-05 13:30:40.190714,2025-01-05 13:30:51.611901,0 days 00:00:11.421187,5,12,5.0,,,,,,,,,,,6.0,4.0,6.0,,,,,,5,40.0,,,,,,,,,,,10.0,55.0,40.0,,,,,,COMPLETE
