,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
18,18,0.2722222222222222,2025-01-05 14:50:04.056115,2025-01-05 14:50:22.017421,0 days 00:00:17.961306,13,7,5.0,15.0,15.0,3.0,,,,,,,,4.0,4.0,4.0,9.0,12.0,15.0,15.0,15.0,40,20.0,60.0,60.0,5.0,,,,,,,,35.0,45.0,35.0,45.0,45.0,45.0,45.0,45.0,COMPLETE
19,19,0.2534420289855073,2025-01-05 14:50:22.018033,2025-01-05 14:50:40.948671,0 days 00:00:18.930638,7,9,10.0,,,,,,,,,,,8.0,11.0,14.0,15.0,6.0,,,,35,40.0,,,,,,,,,,,50.0,25.0,50.0,40.0,20.0,,,,COMPLETE
20,20,0.7664099743307664,2025-01-05 14:50:40.949243,2025-01-05 14:50:47.894517,0 days 00:00:06.945274,1,13,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
21,21,0.76,2025-01-05 14:50:47.894821,2025-01-05 14:50:55.140240,0 days 00:00:07.245419,1,13,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.4979940694226409,2025-01-05 14:50:55.140541,2025-01-05 14:51:00.536178,0 days 00:00:05.395637,3,13,14.0,,,,,,,,,,,15.0,,,,,,,,55,15.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
23,23,0.7691424823741597,2025-01-05 14:51:00.536524,2025-01-05 14:51:07.454045,0 days 00:00:06.917521,1,13,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.5179782903663501,2025-01-05 14:51:07.454373,2025-01-05 14:51:12.893742,0 days 00:00:05.439369,3,12,6.0,,,,,,,,,,,2.0,,,,,,,,55,60.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
25,25,0.2282433521353747,2025-01-05 14:51:12.894089,2025-01-05 14:51:28.875601,0 days 00:00:15.981512,8,14,13.0,,,,,,,,,,,5.0,6.0,5.0,1.0,12.0,4.0,,,35,45.0,,,,,,,,,,,5.0,15.0,5.0,10.0,35.0,45.0,,,COMPLETE
26,26,0.3947339788923947,2025-01-05 14:51:28.876062,2025-01-05 14:51:41.323937,0 days 00:00:12.447875,5,10,7.0,,,,,,,,,,,11.0,8.0,8.0,,,,,,50,25.0,,,,,,,,,,,15.0,50.0,30.0,,,,,,COMPLETE
27,27,0.6729411764705883,2025-01-05 14:51:41.324343,2025-01-05 14:51:45.829362,0 days 00:00:04.505019,2,12,10.0,,,,,,,,,,,,,,,,,,,60,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.4228627873563219,2025-01-05 14:51:45.829680,2025-01-05 14:51:51.645303,0 days 00:00:05.815623,4,14,1.0,,,,,,,,,,,9.0,3.0,,,,,,,45,30.0,,,,,,,,,,,55.0,30.0,,,,,,,COMPLETE
29,29,0.4156555058844996,2025-01-05 14:51:51.645720,2025-01-05 14:52:00.397103,0 days 00:00:08.751383,5,10,4.0,,,,,,,,,,,13.0,9.0,3.0,,,,,,55,40.0,,,,,,,,,,,40.0,5.0,60.0,,,,,,COMPLETE
30,30,0.21581196581196582,2025-01-05 14:52:00.397612,2025-01-05 14:52:15.654548,0 days 00:00:15.256936,12,14,13.0,10.0,11.0,,,,,,,,,1.0,2.0,1.0,7.0,6.0,5.0,5.0,1.0,40,15.0,40.0,40.0,,,,,,,,,25.0,15.0,20.0,15.0,50.0,45.0,60.0,60.0,COMPLETE
31,31,0.7964111652636243,2025-01-05 14:52:15.655104,2025-01-05 14:52:22.635700,0 days 00:00:06.980596,1,13,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.7622383252818036,2025-01-05 14:52:22.636002,2025-01-05 14:52:26.842849,0 days 00:00:04.206847,2,2,9.0,,,,,,,,,,,,,,,,,,,50,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.7344265139684192,2025-01-05 14:52:26.843175,2025-01-05 14:52:31.447029,0 days 00:00:04.603854,2,12,7.0,,,,,,,,,,,,,,,,,,,55,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.4833782569631626,2025-01-05 14:52:31.447349,2025-01-05 14:52:39.217531,0 days 00:00:07.770182,4,14,15.0,,,,,,,,,,,6.0,7.0,,,,,,,60,25.0,,,,,,,,,,,10.0,45.0,,,,,,,COMPLETE
35,35,0.07877984084880638,2025-01-05 14:52:39.217890,2025-01-05 14:52:46.030010,0 days 00:00:06.812120,15,11,14.0,12.0,11.0,1.0,15.0,1.0,,,,,,3.0,11.0,9.0,11.0,9.0,15.0,5.0,8.0,45,55.0,45.0,5.0,5.0,5.0,40.0,,,,,,50.0,20.0,40.0,60.0,20.0,35.0,20.0,5.0,COMPLETE
36,36,0.14184710561201944,2025-01-05 14:52:46.030598,2025-01-05 14:53:02.184373,0 days 00:00:16.153775,6,13,11.0,,,,,,,,,,,10.0,15.0,15.0,6.0,,,,,50,45.0,,,,,,,,,,,25.0,35.0,15.0,45.0,,,,,COMPLETE
37,37,0.8090909090909091,2025-01-05 14:53:02.184792,2025-01-05 14:53:05.810762,0 days 00:00:03.625970,2,8,3.0,,,,,,,,,,,,,,,,,,,35,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.8319327731092436,2025-01-05 14:53:05.811111,2025-01-05 14:53:09.223538,0 days 00:00:03.412427,2,6,3.0,,,,,,,,,,,,,,,,,,,25,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.06724137931034482,2025-01-05 14:53:09.223869,2025-01-05 14:53:19.606926,0 days 00:00:10.383057,20,5,3.0,6.0,5.0,6.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,9.0,6.0,7.0,13.0,4.0,4.0,4.0,12.0,25,30.0,5.0,50.0,25.0,60.0,40.0,60.0,55.0,5.0,60.0,50.0,10.0,30.0,50.0,35.0,55.0,35.0,20.0,35.0,COMPLETE
40,40,0.2893650793650794,2025-01-05 14:53:19.607649,2025-01-05 14:53:34.837212,0 days 00:00:15.229563,6,7,2.0,,,,,,,,,,,11.0,12.0,12.0,3.0,,,,,20,20.0,,,,,,,,,,,55.0,50.0,25.0,15.0,,,,,COMPLETE
41,41,0.8020762423417291,2025-01-05 14:53:34.837701,2025-01-05 14:53:38.312235,0 days 00:00:03.474534,2,6,4.0,,,,,,,,,,,,,,,,,,,30,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8144963144963145,2025-01-05 14:53:38.312681,2025-01-05 14:53:41.735905,0 days 00:00:03.423224,2,5,4.0,,,,,,,,,,,,,,,,,,,30,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.5307125307125307,2025-01-05 14:53:41.736241,2025-01-05 14:53:46.261524,0 days 00:00:04.525283,3,5,4.0,,,,,,,,,,,13.0,,,,,,,,30,35.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
44,44,0.7444086886564762,2025-01-05 14:53:46.261890,2025-01-05 14:53:49.481402,0 days 00:00:03.219512,2,6,4.0,,,,,,,,,,,,,,,,,,,20,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.523327112769928,2025-01-05 14:53:49.481733,2025-01-05 14:53:54.566228,0 days 00:00:05.084495,4,3,2.0,,,,,,,,,,,7.0,3.0,,,,,,,20,35.0,,,,,,,,,,,30.0,10.0,,,,,,,COMPLETE
46,46,0.7589093518297059,2025-01-05 14:53:54.566596,2025-01-05 14:53:58.275796,0 days 00:00:03.709200,2,4,3.0,,,,,,,,,,,,,,,,,,,10,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.3942652329749104,2025-01-05 14:53:58.276132,2025-01-05 14:54:09.343872,0 days 00:00:11.067740,5,6,5.0,,,,,,,,,,,10.0,9.0,6.0,,,,,,25,40.0,,,,,,,,,,,5.0,20.0,35.0,,,,,,COMPLETE
48,48,0.3895993179880648,2025-01-05 14:54:09.344664,2025-01-05 14:54:24.780233,0 days 00:00:15.435569,6,8,2.0,,,,,,,,,,,3.0,13.0,10.0,9.0,,,,,30,25.0,,,,,,,,,,,15.0,55.0,55.0,50.0,,,,,COMPLETE
49,49,0.8085071168487257,2025-01-05 14:54:24.780678,2025-01-05 14:54:28.263584,0 days 00:00:03.482906,2,6,4.0,,,,,,,,,,,,,,,,,,,35,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.4914529914529915,2025-01-05 14:54:28.263926,2025-01-05 14:54:32.359243,0 days 00:00:04.095317,3,6,4.0,,,,,,,,,,,12.0,,,,,,,,35,35.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
51,51,0.8482021844853703,2025-01-05 14:54:32.359600,2025-01-05 14:54:35.758918,0 days 00:00:03.399318,2,4,3.0,,,,,,,,,,,,,,,,,,,30,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.4048016314423434,2025-01-05 14:54:35.759259,2025-01-05 14:54:41.250454,0 days 00:00:05.491195,4,4,3.0,,,,,,,,,,,8.0,7.0,,,,,,,30,30.0,,,,,,,,,,,50.0,45.0,,,,,,,COMPLETE
53,53,0.7455131916301381,2025-01-05 14:54:41.250831,2025-01-05 14:54:44.398912,0 days 00:00:03.148081,2,3,5.0,,,,,,,,,,,,,,,,,,,25,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.6118620689655172,2025-01-05 14:54:44.399247,2025-01-05 14:54:49.227613,0 days 00:00:04.828366,3,8,2.0,,,,,,,,,,,14.0,,,,,,,,35,30.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
55,55,0.5125252525252526,2025-01-05 14:54:49.227971,2025-01-05 14:54:56.097340,0 days 00:00:06.869369,5,4,4.0,,,,,,,,,,,5.0,5.0,13.0,,,,,,30,40.0,,,,,,,,,,,35.0,40.0,10.0,,,,,,COMPLETE
56,56,0.7768199233716475,2025-01-05 14:54:56.097737,2025-01-05 14:54:59.456008,0 days 00:00:03.358271,2,7,6.0,,,,,,,,,,,,,,,,,,,35,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.26364280652019845,2025-01-05 14:54:59.456351,2025-01-05 14:55:16.769638,0 days 00:00:17.313287,10,6,1.0,,,,,,,,,,,2.0,14.0,3.0,5.0,1.0,10.0,10.0,7.0,30,35.0,,,,,,,,,,,20.0,60.0,40.0,30.0,30.0,5.0,50.0,20.0,COMPLETE
58,58,0.4923407435083131,2025-01-05 14:55:16.770170,2025-01-05 14:55:22.051770,0 days 00:00:05.281600,4,5,3.0,,,,,,,,,,,6.0,12.0,,,,,,,25,35.0,,,,,,,,,,,30.0,55.0,,,,,,,COMPLETE
59,59,0.19428571428571428,2025-01-05 14:55:22.052339,2025-01-05 14:55:31.040317,0 days 00:00:08.987978,7,8,3.0,,,,,,,,,,,14.0,13.0,8.0,14.0,13.0,,,,15,20.0,,,,,,,,,,,5.0,10.0,25.0,40.0,15.0,,,,COMPLETE
60,60,0.26967763050237276,2025-01-05 14:55:31.040777,2025-01-05 14:55:38.935757,0 days 00:00:07.894980,16,1,5.0,12.0,12.0,8.0,10.0,13.0,9.0,,,,,8.0,2.0,10.0,11.0,7.0,6.0,3.0,13.0,35,30.0,50.0,30.0,20.0,45.0,10.0,5.0,,,,,10.0,50.0,45.0,20.0,40.0,55.0,35.0,45.0,COMPLETE
61,61,0.7979591836734694,2025-01-05 14:55:38.936387,2025-01-05 14:55:43.303350,0 days 00:00:04.366963,1,5,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.5,2025-01-05 14:55:43.303672,2025-01-05 14:55:48.682049,0 days 00:00:05.378377,1,5,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
