,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
18,18,0.36363636363636365,2025-01-05 12:06:32.791074,2025-01-05 12:06:46.072830,0 days 00:00:13.281756,6,9,8.0,,,,,,,,,,,12.0,5.0,6.0,13.0,,,,,50,45.0,,,,,,,,,,,55.0,30.0,60.0,20.0,,,,,COMPLETE
19,19,0.8709677419354839,2025-01-05 12:06:46.073276,2025-01-05 12:06:50.455447,0 days 00:00:04.382171,3,4,3.0,,,,,,,,,,,3.0,,,,,,,,40,20.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
20,20,0.3912377450980392,2025-01-05 12:06:50.455812,2025-01-05 12:06:57.216496,0 days 00:00:06.760684,5,4,3.0,,,,,,,,,,,3.0,8.0,11.0,,,,,,35,15.0,,,,,,,,,,,15.0,60.0,5.0,,,,,,COMPLETE
21,21,0.8708333333333333,2025-01-05 12:06:57.216905,2025-01-05 12:07:01.293839,0 days 00:00:04.076934,3,3,4.0,,,,,,,,,,,3.0,,,,,,,,55,20.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
22,22,0.8429276315789473,2025-01-05 12:07:01.294221,2025-01-05 12:07:05.375443,0 days 00:00:04.081222,3,4,5.0,,,,,,,,,,,3.0,,,,,,,,55,25.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
23,23,0.24604743083003952,2025-01-05 12:07:05.375815,2025-01-05 12:07:18.851026,0 days 00:00:13.475211,7,3,4.0,,,,,,,,,,,3.0,13.0,6.0,5.0,11.0,,,,40,25.0,,,,,,,,,,,20.0,45.0,45.0,50.0,20.0,,,,COMPLETE
24,24,0.8225344782721832,2025-01-05 12:07:18.851482,2025-01-05 12:07:22.927550,0 days 00:00:04.076068,3,3,1.0,,,,,,,,,,,3.0,,,,,,,,45,20.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
25,25,0.8617133791644632,2025-01-05 12:07:22.927924,2025-01-05 12:07:27.010958,0 days 00:00:04.083034,3,4,3.0,,,,,,,,,,,5.0,,,,,,,,55,25.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
26,26,0.3289036544850498,2025-01-05 12:07:27.011335,2025-01-05 12:07:33.131347,0 days 00:00:06.120012,11,1,3.0,10.0,,,,,,,,,,5.0,3.0,12.0,1.0,10.0,15.0,9.0,5.0,40,15.0,60.0,,,,,,,,,,15.0,35.0,35.0,30.0,20.0,30.0,30.0,60.0,COMPLETE
27,27,0.34587813620071683,2025-01-05 12:07:33.131877,2025-01-05 12:07:38.153193,0 days 00:00:05.021316,14,3,3.0,7.0,10.0,7.0,1.0,,,,,,,8.0,14.0,4.0,12.0,15.0,4.0,1.0,7.0,55,30.0,5.0,40.0,60.0,5.0,,,,,,,10.0,5.0,60.0,15.0,60.0,5.0,45.0,20.0,COMPLETE
28,28,0.5714285714285714,2025-01-05 12:07:38.153779,2025-01-05 12:07:50.403330,0 days 00:00:12.249551,6,5,2.0,,,,,,,,,,,4.0,9.0,8.0,9.0,,,,,30,20.0,,,,,,,,,,,30.0,15.0,10.0,5.0,,,,,COMPLETE
29,29,0.18364518364518365,2025-01-05 12:07:50.403772,2025-01-05 12:08:05.043328,0 days 00:00:14.639556,8,2,5.0,,,,,,,,,,,6.0,7.0,7.0,6.0,9.0,5.0,,,50,25.0,,,,,,,,,,,15.0,30.0,45.0,55.0,50.0,60.0,,,COMPLETE
30,30,0.8452380952380952,2025-01-05 12:08:05.044033,2025-01-05 12:08:08.360810,0 days 00:00:03.316777,2,5,8.0,,,,,,,,,,,,,,,,,,,50,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8604465709728868,2025-01-05 12:08:08.361187,2025-01-05 12:08:11.685408,0 days 00:00:03.324221,2,5,9.0,,,,,,,,,,,,,,,,,,,50,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.49952030700351774,2025-01-05 12:08:11.685780,2025-01-05 12:08:17.592457,0 days 00:00:05.906677,5,4,9.0,,,,,,,,,,,2.0,2.0,10.0,,,,,,45,10.0,,,,,,,,,,,25.0,50.0,30.0,,,,,,COMPLETE
33,33,0.8944297082228116,2025-01-05 12:08:17.592874,2025-01-05 12:08:20.955928,0 days 00:00:03.363054,2,6,2.0,,,,,,,,,,,,,,,,,,,55,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8771883289124669,2025-01-05 12:08:20.956271,2025-01-05 12:08:24.344474,0 days 00:00:03.388203,2,7,2.0,,,,,,,,,,,,,,,,,,,55,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.8380355276907001,2025-01-05 12:08:24.344803,2025-01-05 12:08:27.702463,0 days 00:00:03.357660,2,7,1.0,,,,,,,,,,,,,,,,,,,55,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.43371670702179177,2025-01-05 12:08:27.702787,2025-01-05 12:08:35.726627,0 days 00:00:08.023840,5,6,2.0,,,,,,,,,,,8.0,6.0,13.0,,,,,,25,20.0,,,,,,,,,,,35.0,40.0,50.0,,,,,,COMPLETE
37,37,0.15759637188208617,2025-01-05 12:08:35.727029,2025-01-05 12:08:51.200875,0 days 00:00:15.473846,8,6,4.0,,,,,,,,,,,13.0,10.0,1.0,8.0,13.0,12.0,,,55,30.0,,,,,,,,,,,5.0,25.0,15.0,35.0,15.0,30.0,,,COMPLETE
38,38,0.903125,2025-01-05 12:08:51.201347,2025-01-05 12:08:54.601192,0 days 00:00:03.399845,2,9,2.0,,,,,,,,,,,,,,,,,,,40,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.7483210745123121,2025-01-05 12:08:54.601527,2025-01-05 12:09:00.471227,0 days 00:00:05.869700,1,8,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,0.2753387533875339,2025-01-05 12:09:00.471546,2025-01-05 12:09:06.695775,0 days 00:00:06.224229,15,8,2.0,11.0,1.0,15.0,8.0,15.0,,,,,,10.0,4.0,4.0,3.0,1.0,11.0,5.0,8.0,40,40.0,20.0,35.0,40.0,30.0,60.0,,,,,,40.0,55.0,40.0,25.0,25.0,35.0,25.0,45.0,COMPLETE
41,41,0.845603813559322,2025-01-05 12:09:06.696379,2025-01-05 12:09:09.840786,0 days 00:00:03.144407,2,9,1.0,,,,,,,,,,,,,,,,,,,45,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.44473684210526315,2025-01-05 12:09:09.841130,2025-01-05 12:09:14.976512,0 days 00:00:05.135382,4,7,2.0,,,,,,,,,,,7.0,14.0,,,,,,,50,40.0,,,,,,,,,,,10.0,15.0,,,,,,,COMPLETE
43,43,0.8225344782721832,2025-01-05 12:09:14.976888,2025-01-05 12:09:19.124304,0 days 00:00:04.147416,3,8,4.0,,,,,,,,,,,2.0,,,,,,,,30,20.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
44,44,0.8082417582417583,2025-01-05 12:09:19.124657,2025-01-05 12:09:25.049330,0 days 00:00:05.924673,1,6,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.8445623342175066,2025-01-05 12:09:25.049645,2025-01-05 12:09:28.377514,0 days 00:00:03.327869,2,2,2.0,,,,,,,,,,,,,,,,,,,40,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.25582750582750585,2025-01-05 12:09:28.377845,2025-01-05 12:09:42.020553,0 days 00:00:13.642708,7,10,3.0,,,,,,,,,,,4.0,8.0,8.0,15.0,8.0,,,,45,30.0,,,,,,,,,,,25.0,25.0,10.0,50.0,50.0,,,,COMPLETE
