,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
18,18,0.23017665974681484,2025-01-05 19:20:21.643485,2025-01-05 19:23:35.779025,0 days 00:03:14.135540,7,10,3.0,,,,,,,,,,,9.0,5.0,9.0,1.0,5.0,,,,55,15.0,,,,,,,,,,,35.0,15.0,50.0,5.0,30.0,,,,COMPLETE
19,19,0.24986222322398077,2025-01-05 19:23:35.779598,2025-01-05 19:25:14.690088,0 days 00:01:38.910490,9,13,12.0,,,,,,,,,,,13.0,9.0,4.0,5.0,6.0,15.0,15.0,,60,50.0,,,,,,,,,,,5.0,30.0,50.0,40.0,20.0,60.0,10.0,,COMPLETE
20,20,0.33479145755582856,2025-01-05 19:25:14.690687,2025-01-05 19:26:34.599337,0 days 00:01:19.908650,13,7,4.0,15.0,14.0,15.0,,,,,,,,7.0,12.0,13.0,15.0,8.0,13.0,14.0,9.0,40,25.0,5.0,60.0,5.0,,,,,,,,40.0,5.0,25.0,35.0,40.0,45.0,15.0,5.0,COMPLETE
21,21,0.8670473606111925,2025-01-05 19:26:34.599983,2025-01-05 19:27:19.572908,0 days 00:00:44.972925,2,1,8.0,,,,,,,,,,,,,,,,,,,55,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8447525723907234,2025-01-05 19:27:19.573349,2025-01-05 19:28:12.122349,0 days 00:00:52.549000,3,1,13.0,,,,,,,,,,,4.0,,,,,,,,50,10.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
23,23,0.8863496572316845,2025-01-05 19:28:12.122833,2025-01-05 19:28:52.794381,0 days 00:00:40.671548,1,3,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.466969458263364,2025-01-05 19:28:52.794814,2025-01-05 19:30:48.444091,0 days 00:01:55.649277,5,3,2.0,,,,,,,,,,,10.0,2.0,9.0,,,,,,45,40.0,,,,,,,,,,,15.0,45.0,30.0,,,,,,COMPLETE
25,25,0.9007493121721206,2025-01-05 19:30:48.444610,2025-01-05 19:31:34.485807,0 days 00:00:46.041197,1,3,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.8557399389638048,2025-01-05 19:31:34.486257,2025-01-05 19:32:21.826062,0 days 00:00:47.339805,1,3,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.6449090924231196,2025-01-05 19:32:21.826509,2025-01-05 19:35:30.692506,0 days 00:03:08.865997,3,4,9.0,,,,,,,,,,,15.0,,,,,,,,55,60.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
28,28,0.3287630071277421,2025-01-05 19:35:30.693006,2025-01-05 19:39:14.358815,0 days 00:03:43.665809,6,2,13.0,,,,,,,,,,,1.0,13.0,4.0,4.0,,,,,40,55.0,,,,,,,,,,,25.0,50.0,55.0,5.0,,,,,COMPLETE
29,29,0.5340056667082267,2025-01-05 19:39:14.359379,2025-01-05 19:40:48.368000,0 days 00:01:34.008621,15,5,13.0,11.0,13.0,15.0,1.0,1.0,,,,,,12.0,7.0,8.0,4.0,3.0,11.0,12.0,10.0,55,25.0,60.0,5.0,20.0,5.0,50.0,,,,,,30.0,25.0,5.0,50.0,20.0,50.0,50.0,20.0,COMPLETE
30,30,0.6605079618552241,2025-01-05 19:40:48.368702,2025-01-05 19:41:04.588343,0 days 00:00:16.219641,1,2,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8641786504122506,2025-01-05 19:41:04.588647,2025-01-05 19:42:58.924502,0 days 00:01:54.335855,3,4,4.0,,,,,,,,,,,6.0,,,,,,,,50,35.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
