,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
18,18,0.10480325040351757,2025-01-06 20:01:05.799474,2025-01-06 20:01:24.157222,0 days 00:00:18.357748,10,6,12.0,,,,,,,,,,,4.0,15.0,9.0,10.0,6.0,11.0,5.0,1.0,15,20.0,,,,,,,,,,,60.0,20.0,30.0,50.0,20.0,30.0,35.0,30.0,COMPLETE
19,19,0.0,2025-01-06 20:01:24.157698,2025-01-06 20:02:23.775283,0 days 00:00:59.617585,13,2,10.0,15.0,15.0,7.0,,,,,,,,10.0,11.0,4.0,9.0,4.0,5.0,4.0,12.0,45,30.0,45.0,40.0,5.0,,,,,,,,25.0,40.0,5.0,30.0,35.0,5.0,60.0,5.0,COMPLETE
20,20,0.543980088032754,2025-01-06 20:02:23.775996,2025-01-06 20:03:00.698835,0 days 00:00:36.922839,7,12,6.0,,,,,,,,,,,7.0,3.0,9.0,13.0,8.0,,,,15,55.0,,,,,,,,,,,15.0,55.0,40.0,15.0,50.0,,,,COMPLETE
21,21,0.9153225806451613,2025-01-06 20:03:00.699279,2025-01-06 20:03:07.075559,0 days 00:00:06.376280,1,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.4347175458286569,2025-01-06 20:03:07.075883,2025-01-06 20:03:26.678537,0 days 00:00:19.602654,4,10,14.0,,,,,,,,,,,12.0,8.0,,,,,,,10,40.0,,,,,,,,,,,30.0,5.0,,,,,,,COMPLETE
23,23,0.9290740006067536,2025-01-06 20:03:26.679056,2025-01-06 20:03:40.233221,0 days 00:00:13.554165,1,15,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.9146993482991574,2025-01-06 20:03:40.233536,2025-01-06 20:03:46.184403,0 days 00:00:05.950867,3,10,3.0,,,,,,,,,,,1.0,,,,,,,,5,5.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
25,25,0.5730257320319432,2025-01-06 20:03:46.184734,2025-01-06 20:04:12.351195,0 days 00:00:26.166461,5,7,6.0,,,,,,,,,,,6.0,13.0,3.0,,,,,,20,35.0,,,,,,,,,,,55.0,20.0,25.0,,,,,,COMPLETE
26,26,0.8870585331128868,2025-01-06 20:04:12.351609,2025-01-06 20:04:19.925713,0 days 00:00:07.574104,2,12,13.0,,,,,,,,,,,,,,,,,,,10,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.06981981981981983,2025-01-06 20:04:19.926131,2025-01-06 20:04:34.087494,0 days 00:00:14.161363,15,9,2.0,11.0,1.0,11.0,2.0,8.0,,,,,,9.0,3.0,7.0,2.0,15.0,11.0,15.0,6.0,15,45.0,20.0,20.0,60.0,5.0,5.0,,,,,,40.0,35.0,50.0,35.0,15.0,30.0,25.0,40.0,COMPLETE
28,28,0.44217611656636047,2025-01-06 20:04:34.088117,2025-01-06 20:04:52.054656,0 days 00:00:17.966539,8,4,10.0,,,,,,,,,,,13.0,9.0,11.0,8.0,8.0,15.0,,,30,55.0,,,,,,,,,,,25.0,55.0,10.0,50.0,30.0,45.0,,,COMPLETE
29,29,0.5917151515151515,2025-01-06 20:04:52.055095,2025-01-06 20:05:00.631899,0 days 00:00:08.576804,3,3,15.0,,,,,,,,,,,3.0,,,,,,,,10,30.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
30,30,0.8326304824167534,2025-01-06 20:05:00.632260,2025-01-06 20:05:09.436011,0 days 00:00:08.803751,1,7,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.9297120415486211,2025-01-06 20:05:09.436335,2025-01-06 20:05:22.807369,0 days 00:00:13.371034,1,15,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.9405664922521877,2025-01-06 20:05:22.807685,2025-01-06 20:05:30.353923,0 days 00:00:07.546238,2,15,4.0,,,,,,,,,,,,,,,,,,,15,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.5324930775984331,2025-01-06 20:05:30.354351,2025-01-06 20:06:03.871971,0 days 00:00:33.517620,5,14,4.0,,,,,,,,,,,14.0,14.0,3.0,,,,,,30,20.0,,,,,,,,,,,40.0,25.0,35.0,,,,,,COMPLETE
34,34,0.9292232503439399,2025-01-06 20:06:03.872474,2025-01-06 20:06:10.344751,0 days 00:00:06.472277,2,12,7.0,,,,,,,,,,,,,,,,,,,25,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.6634215785099121,2025-01-06 20:06:10.345098,2025-01-06 20:06:21.226693,0 days 00:00:10.881595,3,9,2.0,,,,,,,,,,,11.0,,,,,,,,15,20.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
36,36,0.346537120079721,2025-01-06 20:06:21.227083,2025-01-06 20:06:51.388899,0 days 00:00:30.161816,5,11,9.0,,,,,,,,,,,8.0,11.0,9.0,,,,,,5,10.0,,,,,,,,,,,45.0,40.0,55.0,,,,,,COMPLETE
37,37,0.9302125523201372,2025-01-06 20:06:51.389482,2025-01-06 20:06:55.912188,0 days 00:00:04.522706,2,7,5.0,,,,,,,,,,,,,,,,,,,10,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.66530546654189,2025-01-06 20:06:55.912532,2025-01-06 20:07:09.705115,0 days 00:00:13.792583,3,13,4.0,,,,,,,,,,,6.0,,,,,,,,25,40.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
39,39,0.6348770851624232,2025-01-06 20:07:09.705503,2025-01-06 20:07:26.407344,0 days 00:00:16.701841,4,14,7.0,,,,,,,,,,,9.0,4.0,,,,,,,10,30.0,,,,,,,,,,,20.0,60.0,,,,,,,COMPLETE
40,40,0.48130921619293715,2025-01-06 20:07:26.407749,2025-01-06 20:08:02.453075,0 days 00:00:36.045326,6,6,2.0,,,,,,,,,,,11.0,8.0,15.0,13.0,,,,,45,45.0,,,,,,,,,,,55.0,10.0,25.0,10.0,,,,,COMPLETE
41,41,0.9247560866451844,2025-01-06 20:08:02.453652,2025-01-06 20:08:06.642422,0 days 00:00:04.188770,2,8,5.0,,,,,,,,,,,,,,,,,,,10,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.9201980946364411,2025-01-06 20:08:06.642766,2025-01-06 20:08:11.180036,0 days 00:00:04.537270,2,7,5.0,,,,,,,,,,,,,,,,,,,5,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8561476039976083,2025-01-06 20:08:11.180388,2025-01-06 20:08:18.221935,0 days 00:00:07.041547,1,5,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.9323174340819494,2025-01-06 20:08:18.222248,2025-01-06 20:08:21.890197,0 days 00:00:03.667949,2,3,7.0,,,,,,,,,,,,,,,,,,,10,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.6141398619308722,2025-01-06 20:08:21.890525,2025-01-06 20:08:31.620028,0 days 00:00:09.729503,4,3,9.0,,,,,,,,,,,2.0,2.0,,,,,,,5,10.0,,,,,,,,,,,40.0,50.0,,,,,,,COMPLETE
46,46,0.33690106035238776,2025-01-06 20:08:31.620409,2025-01-06 20:08:53.602276,0 days 00:00:21.981867,20,1,7.0,4.0,7.0,4.0,1.0,9.0,1.0,14.0,15.0,2.0,11.0,4.0,6.0,7.0,12.0,3.0,1.0,9.0,12.0,15,5.0,45.0,45.0,20.0,5.0,30.0,60.0,5.0,60.0,5.0,25.0,45.0,35.0,40.0,30.0,60.0,45.0,45.0,20.0,COMPLETE
47,47,0.5884423503325942,2025-01-06 20:08:53.602944,2025-01-06 20:09:09.019022,0 days 00:00:15.416078,3,3,10.0,,,,,,,,,,,14.0,,,,,,,,60,15.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
48,48,0.9325432714798066,2025-01-06 20:09:09.019563,2025-01-06 20:09:12.443756,0 days 00:00:03.424193,2,4,6.0,,,,,,,,,,,,,,,,,,,10,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.3351672060409925,2025-01-06 20:09:12.444092,2025-01-06 20:09:31.835912,0 days 00:00:19.391820,11,5,3.0,15.0,,,,,,,,,,3.0,12.0,11.0,7.0,10.0,5.0,4.0,7.0,25,35.0,45.0,,,,,,,,,,10.0,15.0,15.0,55.0,10.0,20.0,20.0,60.0,COMPLETE
50,50,0.820221809545653,2025-01-06 20:09:31.836421,2025-01-06 20:09:37.015861,0 days 00:00:05.179440,1,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.9246441997851773,2025-01-06 20:09:37.016180,2025-01-06 20:09:40.826203,0 days 00:00:03.810023,2,4,7.0,,,,,,,,,,,,,,,,,,,10,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.6434252722232623,2025-01-06 20:09:40.826518,2025-01-06 20:09:48.090239,0 days 00:00:07.263721,3,2,6.0,,,,,,,,,,,12.0,,,,,,,,15,10.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
53,53,0.9322671601022117,2025-01-06 20:09:48.090606,2025-01-06 20:09:54.048555,0 days 00:00:05.957949,1,4,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.6714392828230626,2025-01-06 20:09:54.048879,2025-01-06 20:10:07.580446,0 days 00:00:13.531567,4,3,8.0,,,,,,,,,,,2.0,9.0,,,,,,,5,15.0,,,,,,,,,,,50.0,25.0,,,,,,,COMPLETE
55,55,0.914337690956879,2025-01-06 20:10:07.580929,2025-01-06 20:10:12.240376,0 days 00:00:04.659447,2,9,6.0,,,,,,,,,,,,,,,,,,,20,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.6264518557929551,2025-01-06 20:10:12.240719,2025-01-06 20:10:34.398614,0 days 00:00:22.157895,6,2,4.0,,,,,,,,,,,7.0,10.0,2.0,1.0,,,,,40,10.0,,,,,,,,,,,35.0,50.0,50.0,15.0,,,,,COMPLETE
57,57,0.16888023814975955,2025-01-06 20:10:34.399101,2025-01-06 20:11:00.776688,0 days 00:00:26.377587,17,10,8.0,5.0,11.0,12.0,7.0,1.0,7.0,1.0,,,,9.0,14.0,5.0,4.0,6.0,10.0,12.0,12.0,10,20.0,15.0,20.0,20.0,60.0,5.0,55.0,60.0,,,,45.0,40.0,25.0,40.0,35.0,35.0,50.0,5.0,COMPLETE
58,58,0.6710274865192184,2025-01-06 20:11:00.777305,2025-01-06 20:11:10.522484,0 days 00:00:09.745179,1,11,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.6012707262913918,2025-01-06 20:11:10.522821,2025-01-06 20:11:31.475520,0 days 00:00:20.952699,5,1,9.0,,,,,,,,,,,5.0,7.0,13.0,,,,,,55,30.0,,,,,,,,,,,30.0,10.0,35.0,,,,,,COMPLETE
60,60,0.8728027798966014,2025-01-06 20:11:31.476111,2025-01-06 20:11:38.200841,0 days 00:00:06.724730,2,8,11.0,,,,,,,,,,,,,,,,,,,5,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.9225361860913003,2025-01-06 20:11:38.201203,2025-01-06 20:11:44.160673,0 days 00:00:05.959470,1,4,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.9334523858964243,2025-01-06 20:11:44.160983,2025-01-06 20:11:50.117454,0 days 00:00:05.956471,1,4,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.6837546193643755,2025-01-06 20:11:50.117753,2025-01-06 20:11:58.754108,0 days 00:00:08.636355,3,5,1.0,,,,,,,,,,,14.0,,,,,,,,15,10.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
64,64,0.6201117318435754,2025-01-06 20:11:58.754465,2025-01-06 20:12:22.971143,0 days 00:00:24.216678,4,13,5.0,,,,,,,,,,,11.0,4.0,,,,,,,10,25.0,,,,,,,,,,,60.0,50.0,,,,,,,COMPLETE
65,65,0.9465603112623573,2025-01-06 20:12:22.971562,2025-01-06 20:12:27.178858,0 days 00:00:04.207296,2,3,3.0,,,,,,,,,,,,,,,,,,,5,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.932433635705938,2025-01-06 20:12:27.179197,2025-01-06 20:12:32.879787,0 days 00:00:05.700590,1,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.6066380395264286,2025-01-06 20:12:32.880181,2025-01-06 20:12:40.550045,0 days 00:00:07.669864,3,6,3.0,,,,,,,,,,,13.0,,,,,,,,5,15.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
68,68,0.9547738693467337,2025-01-06 20:12:40.550491,2025-01-06 20:12:43.116142,0 days 00:00:02.565651,2,2,1.0,,,,,,,,,,,,,,,,,,,20,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.28123843860399994,2025-01-06 20:12:43.116476,2025-01-06 20:13:19.059712,0 days 00:00:35.943236,10,2,1.0,,,,,,,,,,,6.0,2.0,8.0,9.0,13.0,7.0,7.0,1.0,20,35.0,,,,,,,,,,,35.0,25.0,10.0,25.0,45.0,55.0,15.0,35.0,COMPLETE
70,70,0.4104456932575178,2025-01-06 20:13:19.060218,2025-01-06 20:14:07.027808,0 days 00:00:47.967590,7,11,2.0,,,,,,,,,,,15.0,10.0,6.0,14.0,7.0,,,,15,40.0,,,,,,,,,,,25.0,15.0,55.0,50.0,25.0,,,,COMPLETE
71,71,0.9516910896590041,2025-01-06 20:14:07.028421,2025-01-06 20:14:09.892545,0 days 00:00:02.864124,2,4,3.0,,,,,,,,,,,,,,,,,,,15,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.9367144613706636,2025-01-06 20:14:09.892899,2025-01-06 20:14:16.456823,0 days 00:00:06.563924,1,3,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.9121041985353034,2025-01-06 20:14:16.457161,2025-01-06 20:14:22.895989,0 days 00:00:06.438828,3,3,3.0,,,,,,,,,,,4.0,,,,,,,,30,50.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
74,74,0.9388888888888889,2025-01-06 20:14:22.896344,2025-01-06 20:14:25.599240,0 days 00:00:02.702896,2,2,2.0,,,,,,,,,,,,,,,,,,,20,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
