,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
27,27,0.6487618649771403,2025-01-01 20:26:53.589855,2025-01-01 20:27:39.177692,0 days 00:00:45.587837,7,70,165.0,,,,,,,,,,,200.0,85.0,200.0,125.0,145.0,,,,COMPLETE
28,28,0.811412562438908,2025-01-01 20:27:39.178253,2025-01-01 20:28:01.339424,0 days 00:00:22.161171,4,115,80.0,,,,,,,,,,,175.0,35.0,,,,,,,COMPLETE
29,29,0.6006724923403604,2025-01-01 20:28:01.339818,2025-01-01 20:28:44.818536,0 days 00:00:43.478718,9,175,130.0,,,,,,,,,,,135.0,70.0,130.0,180.0,95.0,5.0,130.0,,COMPLETE
30,30,0.82652156176796,2025-01-01 20:28:44.819085,2025-01-01 20:29:04.640126,0 days 00:00:19.821041,3,85,160.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
31,31,0.8215615436456642,2025-01-01 20:29:04.640521,2025-01-01 20:29:21.552627,0 days 00:00:16.912106,2,120,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.781251164639676,2025-01-01 20:29:21.553002,2025-01-01 20:29:51.127444,0 days 00:00:29.574442,5,150,185.0,,,,,,,,,,,155.0,30.0,70.0,,,,,,COMPLETE
33,33,0.8255933334730174,2025-01-01 20:29:51.127994,2025-01-01 20:30:06.570342,0 days 00:00:15.442348,2,95,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.785613923554966,2025-01-01 20:30:06.570728,2025-01-01 20:30:37.467125,0 days 00:00:30.896397,5,105,175.0,,,,,,,,,,,185.0,115.0,30.0,,,,,,COMPLETE
35,35,0.8059470988432738,2025-01-01 20:30:37.467556,2025-01-01 20:30:59.767771,0 days 00:00:22.300215,3,120,190.0,,,,,,,,,,,110.0,,,,,,,,COMPLETE
36,36,0.5113644381589886,2025-01-01 20:30:59.768303,2025-01-01 20:31:51.679787,0 days 00:00:51.911484,13,140,115.0,65.0,10.0,130.0,,,,,,,,85.0,100.0,120.0,90.0,5.0,125.0,70.0,85.0,COMPLETE
37,37,0.8257739842191378,2025-01-01 20:31:51.680338,2025-01-01 20:32:05.707599,0 days 00:00:14.027261,2,60,155.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.3914943986973439,2025-01-01 20:32:05.708098,2025-01-01 20:32:59.459036,0 days 00:00:53.750938,19,170,80.0,200.0,55.0,200.0,200.0,95.0,195.0,5.0,10.0,190.0,,165.0,60.0,180.0,40.0,65.0,180.0,25.0,80.0,COMPLETE
39,39,0.5362628661916073,2025-01-01 20:32:59.459551,2025-01-01 20:33:54.499691,0 days 00:00:55.040140,12,115,140.0,65.0,200.0,,,,,,,,,140.0,5.0,75.0,125.0,200.0,105.0,70.0,5.0,COMPLETE
40,40,0.43900290449465584,2025-01-01 20:33:54.500334,2025-01-01 20:35:07.659274,0 days 00:01:13.158940,17,95,170.0,80.0,120.0,95.0,195.0,105.0,10.0,200.0,,,,125.0,25.0,20.0,175.0,115.0,45.0,145.0,105.0,COMPLETE
41,41,0.8286287226376534,2025-01-01 20:35:07.660292,2025-01-01 20:35:23.849945,0 days 00:00:16.189653,2,130,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.7031908064140641,2025-01-01 20:35:23.850461,2025-01-01 20:35:31.803773,0 days 00:00:07.953312,1,5,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8368883780637072,2025-01-01 20:35:31.804107,2025-01-01 20:36:00.009282,0 days 00:00:28.205175,4,160,185.0,,,,,,,,,,,105.0,130.0,,,,,,,COMPLETE
44,44,0.8038708250387083,2025-01-01 20:36:00.010005,2025-01-01 20:36:28.633453,0 days 00:00:28.623448,4,195,185.0,,,,,,,,,,,80.0,135.0,,,,,,,COMPLETE
45,45,0.7738456491429508,2025-01-01 20:36:28.634000,2025-01-01 20:36:59.158318,0 days 00:00:30.524318,5,160,200.0,,,,,,,,,,,100.0,125.0,50.0,,,,,,COMPLETE
46,46,0.6204545454545454,2025-01-01 20:36:59.158741,2025-01-01 20:37:35.197726,0 days 00:00:36.038985,7,145,175.0,,,,,,,,,,,140.0,95.0,90.0,80.0,30.0,,,,COMPLETE
47,47,0.8174192280956267,2025-01-01 20:37:35.198315,2025-01-01 20:37:53.454915,0 days 00:00:18.256600,3,190,45.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
48,48,0.6826548420415286,2025-01-01 20:37:53.455322,2025-01-01 20:38:28.918598,0 days 00:00:35.463276,6,35,190.0,,,,,,,,,,,150.0,180.0,145.0,30.0,,,,,COMPLETE
49,49,0.8196627026261768,2025-01-01 20:38:28.919055,2025-01-01 20:38:58.545794,0 days 00:00:29.626739,4,165,165.0,,,,,,,,,,,190.0,70.0,,,,,,,COMPLETE
50,50,0.44502357905187395,2025-01-01 20:38:58.546317,2025-01-01 20:40:00.225916,0 days 00:01:01.679599,10,125,180.0,,,,,,,,,,,165.0,135.0,60.0,130.0,150.0,175.0,95.0,200.0,COMPLETE
51,51,0.8336260441207968,2025-01-01 20:40:00.226547,2025-01-01 20:40:10.911463,0 days 00:00:10.684916,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.8240816856314628,2025-01-01 20:40:10.911842,2025-01-01 20:40:27.598350,0 days 00:00:16.686508,2,135,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.8431352690615211,2025-01-01 20:40:27.598741,2025-01-01 20:40:37.966015,0 days 00:00:10.367274,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.8346580739690699,2025-01-01 20:40:37.966367,2025-01-01 20:40:55.903721,0 days 00:00:17.937354,3,100,70.0,,,,,,,,,,,130.0,,,,,,,,COMPLETE
