,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
27,27,0.48781436097732245,2024-12-31 20:11:57.166708,2024-12-31 20:19:41.568229,0 days 00:07:44.401521,20,25,25.0,150.0,165.0,100.0,100.0,195.0,195.0,10.0,200.0,10.0,190.0,85.0,105.0,85.0,70.0,110.0,100.0,50.0,45.0,COMPLETE
28,28,0.8738956744644644,2024-12-31 20:19:41.569091,2024-12-31 20:21:17.122587,0 days 00:01:35.553496,3,75,75.0,,,,,,,,,,,130.0,,,,,,,,COMPLETE
29,29,0.5581195793782675,2024-12-31 20:21:17.123265,2024-12-31 20:25:13.592248,0 days 00:03:56.468983,8,50,105.0,,,,,,,,,,,20.0,200.0,180.0,175.0,145.0,40.0,,,COMPLETE
30,30,0.8742391370366305,2024-12-31 20:25:13.592995,2024-12-31 20:26:56.923477,0 days 00:01:43.330482,5,20,30.0,,,,,,,,,,,55.0,155.0,35.0,,,,,,COMPLETE
31,31,0.8796110653292148,2024-12-31 20:26:56.924185,2024-12-31 20:29:25.566866,0 days 00:02:28.642681,5,95,20.0,,,,,,,,,,,85.0,175.0,125.0,,,,,,COMPLETE
32,32,0.8752836812208744,2024-12-31 20:29:25.567571,2024-12-31 20:31:58.066756,0 days 00:02:32.499185,5,105,20.0,,,,,,,,,,,90.0,165.0,140.0,,,,,,COMPLETE
33,33,0.8666794741861743,2024-12-31 20:31:58.067508,2024-12-31 20:32:59.073033,0 days 00:01:01.005525,3,35,50.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
34,34,0.6677230240292329,2024-12-31 20:32:59.073707,2024-12-31 20:36:58.913787,0 days 00:03:59.840080,7,115,35.0,,,,,,,,,,,120.0,180.0,180.0,130.0,170.0,,,,COMPLETE
35,35,0.8764831053971516,2024-12-31 20:36:58.914513,2024-12-31 20:38:04.209227,0 days 00:01:05.294714,2,130,15.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.8670758931522278,2024-12-31 20:38:04.209920,2024-12-31 20:41:09.543278,0 days 00:03:05.333358,6,95,75.0,,,,,,,,,,,155.0,145.0,75.0,185.0,,,,,COMPLETE
37,37,0.8810421167414227,2024-12-31 20:41:09.544604,2024-12-31 20:41:50.903547,0 days 00:00:41.358943,1,55,,,,,,,,,,,,,,,,,,,,COMPLETE
