,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
28,28,0.8445623342175066,2025-01-02 02:15:46.177879,2025-01-02 02:15:53.547683,0 days 00:00:07.369804,3,135,200.0,,,,,,,,,,,105.0,,,,,,,,COMPLETE
29,29,0.6743589743589744,2025-01-02 02:15:53.548174,2025-01-02 02:16:04.346450,0 days 00:00:10.798276,5,80,130.0,,,,,,,,,,,200.0,45.0,200.0,,,,,,COMPLETE
30,30,0.44487179487179485,2025-01-02 02:16:04.346968,2025-01-02 02:16:16.585733,0 days 00:00:12.238765,7,55,175.0,,,,,,,,,,,145.0,90.0,95.0,200.0,110.0,,,,COMPLETE
31,31,0.8801229508196722,2025-01-02 02:16:16.586278,2025-01-02 02:16:22.176220,0 days 00:00:05.589942,2,115,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8957479508196722,2025-01-02 02:16:22.176731,2025-01-02 02:16:27.857492,0 days 00:00:05.680761,2,100,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8868318122555411,2025-01-02 02:16:27.857991,2025-01-02 02:16:33.963815,0 days 00:00:06.105824,2,105,105.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.841639261320516,2025-01-02 02:16:33.964295,2025-01-02 02:16:42.039839,0 days 00:00:08.075544,4,125,110.0,,,,,,,,,,,180.0,175.0,,,,,,,COMPLETE
35,35,0.8523002421307506,2025-01-02 02:16:42.040348,2025-01-02 02:16:48.131383,0 days 00:00:06.091035,2,105,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.8544980443285528,2025-01-02 02:16:48.131913,2025-01-02 02:16:56.106174,0 days 00:00:07.974261,3,140,110.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
37,37,0.5178571428571428,2025-01-02 02:16:56.106762,2025-01-02 02:17:08.471533,0 days 00:00:12.364771,6,95,80.0,,,,,,,,,,,45.0,25.0,150.0,35.0,,,,,COMPLETE
38,38,0.3208791208791209,2025-01-02 02:17:08.472155,2025-01-02 02:17:58.632357,0 days 00:00:50.160202,20,155,135.0,60.0,155.0,80.0,5.0,10.0,15.0,10.0,200.0,10.0,55.0,165.0,140.0,80.0,160.0,195.0,200.0,145.0,200.0,COMPLETE
39,39,0.41364205256570713,2025-01-02 02:17:58.633157,2025-01-02 02:18:31.328199,0 days 00:00:32.695042,11,100,115.0,70.0,,,,,,,,,,145.0,60.0,5.0,75.0,80.0,45.0,40.0,15.0,COMPLETE
40,40,0.1388888888888889,2025-01-02 02:18:31.328843,2025-01-02 02:19:02.664015,0 days 00:00:31.335172,14,60,155.0,185.0,190.0,100.0,195.0,,,,,,,110.0,95.0,120.0,105.0,135.0,110.0,130.0,200.0,COMPLETE
41,41,0.8666666666666667,2025-01-02 02:19:02.664889,2025-01-02 02:19:08.340536,0 days 00:00:05.675647,2,110,85.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8194780737153619,2025-01-02 02:19:08.341018,2025-01-02 02:19:13.359732,0 days 00:00:05.018714,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.861904761904762,2025-01-02 02:19:13.360197,2025-01-02 02:19:18.419586,0 days 00:00:05.059389,4,95,120.0,,,,,,,,,,,125.0,200.0,,,,,,,COMPLETE
44,44,0.845603813559322,2025-01-02 02:19:18.420070,2025-01-02 02:19:24.086418,0 days 00:00:05.666348,2,110,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.8688172043010753,2025-01-02 02:19:24.086919,2025-01-02 02:19:29.085033,0 days 00:00:04.998114,1,75,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.8875,2025-01-02 02:19:29.085505,2025-01-02 02:19:37.823027,0 days 00:00:08.737522,4,130,35.0,,,,,,,,,,,35.0,175.0,,,,,,,COMPLETE
47,47,0.8847503373819163,2025-01-02 02:19:37.823553,2025-01-02 02:19:44.671924,0 days 00:00:06.848371,3,130,20.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
48,48,0.7174975562072337,2025-01-02 02:19:44.672421,2025-01-02 02:19:54.864134,0 days 00:00:10.191713,5,155,25.0,,,,,,,,,,,35.0,175.0,150.0,,,,,,COMPLETE
49,49,0.801948051948052,2025-01-02 02:19:54.864656,2025-01-02 02:20:03.312518,0 days 00:00:08.447862,4,135,5.0,,,,,,,,,,,10.0,180.0,,,,,,,COMPLETE
50,50,0.3264150943396227,2025-01-02 02:20:03.313030,2025-01-02 02:20:16.719031,0 days 00:00:13.406001,8,170,35.0,,,,,,,,,,,40.0,145.0,35.0,140.0,35.0,175.0,,,COMPLETE
51,51,0.8385416666666667,2025-01-02 02:20:16.719640,2025-01-02 02:20:24.175007,0 days 00:00:07.455367,3,125,15.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
52,52,0.8481045081967213,2025-01-02 02:20:24.175512,2025-01-02 02:20:30.627491,0 days 00:00:06.451979,2,100,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.861904761904762,2025-01-02 02:20:30.628114,2025-01-02 02:20:36.993426,0 days 00:00:06.365312,3,120,40.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
54,54,0.5535714285714286,2025-01-02 02:20:36.993945,2025-01-02 02:20:47.223312,0 days 00:00:10.229367,5,135,70.0,,,,,,,,,,,20.0,130.0,190.0,,,,,,COMPLETE
55,55,0.8637295081967213,2025-01-02 02:20:47.223836,2025-01-02 02:20:53.314143,0 days 00:00:06.090307,2,145,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.8548009367681498,2025-01-02 02:20:53.314628,2025-01-02 02:21:02.059309,0 days 00:00:08.744681,4,120,100.0,,,,,,,,,,,95.0,155.0,,,,,,,COMPLETE
57,57,0.8253837719298245,2025-01-02 02:21:02.059837,2025-01-02 02:21:07.039660,0 days 00:00:04.979823,1,90,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.8709677419354839,2025-01-02 02:21:07.040128,2025-01-02 02:21:14.413590,0 days 00:00:07.373462,3,105,145.0,,,,,,,,,,,70.0,,,,,,,,COMPLETE
59,59,0.5760914760914762,2025-01-02 02:21:14.414114,2025-01-02 02:21:58.688418,0 days 00:00:44.274304,16,115,130.0,70.0,135.0,55.0,70.0,70.0,190.0,,,,,30.0,85.0,55.0,180.0,175.0,35.0,170.0,90.0,COMPLETE
60,60,0.47638326585695007,2025-01-02 02:21:58.689150,2025-01-02 02:22:11.181864,0 days 00:00:12.492714,7,130,20.0,,,,,,,,,,,70.0,185.0,20.0,60.0,110.0,,,,COMPLETE
61,61,0.8688524590163934,2025-01-02 02:22:11.182530,2025-01-02 02:22:16.162933,0 days 00:00:04.980403,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8481045081967213,2025-01-02 02:22:16.163467,2025-01-02 02:22:22.583776,0 days 00:00:06.420309,2,90,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8631227529532615,2025-01-02 02:22:22.584275,2025-01-02 02:22:27.559882,0 days 00:00:04.975607,1,100,,,,,,,,,,,,,,,,,,,,COMPLETE
64,64,0.8709677419354839,2025-01-02 02:22:27.560349,2025-01-02 02:22:34.914232,0 days 00:00:07.353883,3,115,120.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
65,65,0.8221642764015646,2025-01-02 02:22:34.914746,2025-01-02 02:22:43.057278,0 days 00:00:08.142532,4,80,60.0,,,,,,,,,,,5.0,55.0,,,,,,,COMPLETE
66,66,0.8637295081967213,2025-01-02 02:22:43.057790,2025-01-02 02:22:49.119051,0 days 00:00:06.061261,2,130,190.0,,,,,,,,,,,,,,,,,,,COMPLETE
67,67,0.8709677419354839,2025-01-02 02:22:49.119575,2025-01-02 02:22:54.128502,0 days 00:00:05.008927,1,150,,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.8548009367681498,2025-01-02 02:22:54.128988,2025-01-02 02:23:00.418395,0 days 00:00:06.289407,3,140,40.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
69,69,0.7153846153846154,2025-01-02 02:23:00.418911,2025-01-02 02:23:12.698200,0 days 00:00:12.279289,6,70,105.0,,,,,,,,,,,85.0,170.0,70.0,35.0,,,,,COMPLETE
70,70,0.861228813559322,2025-01-02 02:23:12.698783,2025-01-02 02:23:18.769080,0 days 00:00:06.070297,2,105,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.8709677419354839,2025-01-02 02:23:18.769583,2025-01-02 02:23:26.188124,0 days 00:00:07.418541,3,105,145.0,,,,,,,,,,,70.0,,,,,,,,COMPLETE
72,72,0.8777777777777778,2025-01-02 02:23:26.188624,2025-01-02 02:23:33.062826,0 days 00:00:06.874202,3,120,140.0,,,,,,,,,,,40.0,,,,,,,,COMPLETE
73,73,0.8445623342175066,2025-01-02 02:23:33.063348,2025-01-02 02:23:38.394261,0 days 00:00:05.330913,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.806497175141243,2025-01-02 02:23:38.394771,2025-01-02 02:23:47.123762,0 days 00:00:08.728991,4,125,130.0,,,,,,,,,,,40.0,160.0,,,,,,,COMPLETE
75,75,0.8548387096774194,2025-01-02 02:23:47.124293,2025-01-02 02:23:53.171907,0 days 00:00:06.047614,2,110,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.8512931034482758,2025-01-02 02:23:53.172383,2025-01-02 02:24:00.776560,0 days 00:00:07.604177,4,95,120.0,,,,,,,,,,,60.0,105.0,,,,,,,COMPLETE
77,77,0.8092501368363437,2025-01-02 02:24:00.777203,2025-01-02 02:24:10.277547,0 days 00:00:09.500344,5,85,165.0,,,,,,,,,,,20.0,25.0,85.0,,,,,,COMPLETE
78,78,0.7732497387669801,2025-01-02 02:24:10.278106,2025-01-02 02:24:15.279311,0 days 00:00:05.001205,1,10,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8617133791644632,2025-01-02 02:24:15.279808,2025-01-02 02:24:22.747195,0 days 00:00:07.467387,3,140,135.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
80,80,0.8851224105461393,2025-01-02 02:24:22.747707,2025-01-02 02:24:28.847053,0 days 00:00:06.099346,2,115,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
81,81,0.8777777777777778,2025-01-02 02:24:28.847561,2025-01-02 02:24:34.936228,0 days 00:00:06.088667,2,115,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8761618370694368,2025-01-02 02:24:34.936738,2025-01-02 02:24:41.011103,0 days 00:00:06.074365,2,115,150.0,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.8548009367681498,2025-01-02 02:24:41.011599,2025-01-02 02:24:49.367239,0 days 00:00:08.355640,3,120,150.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
84,84,0.8430836522689995,2025-01-02 02:24:49.367764,2025-01-02 02:24:55.464451,0 days 00:00:06.096687,2,135,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
