,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
28,28,0.8820262484916038,2025-01-02 22:18:00.432389,2025-01-02 22:20:02.296969,0 days 00:02:01.864580,5,185,135.0,,,,,,,,,,,150.0,55.0,125.0,,,,,,COMPLETE
29,29,0.8588339415018529,2025-01-02 22:20:02.297567,2025-01-02 22:20:53.572268,0 days 00:00:51.274701,3,5,160.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
30,30,0.6693216084661466,2025-01-02 22:20:53.572806,2025-01-02 22:23:24.272527,0 days 00:02:30.699721,7,125,185.0,,,,,,,,,,,170.0,95.0,40.0,30.0,200.0,,,,COMPLETE
31,31,0.8726753279333086,2025-01-02 22:23:24.273124,2025-01-02 22:25:21.359164,0 days 00:01:57.086040,5,185,95.0,,,,,,,,,,,150.0,65.0,125.0,,,,,,COMPLETE
32,32,0.8813062851782364,2025-01-02 22:25:21.359748,2025-01-02 22:26:31.241297,0 days 00:01:09.881549,2,190,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8769373697090546,2025-01-02 22:26:31.241835,2025-01-02 22:28:02.031512,0 days 00:01:30.789677,4,150,130.0,,,,,,,,,,,120.0,40.0,,,,,,,COMPLETE
34,34,0.8383146614364223,2025-01-02 22:28:02.032067,2025-01-02 22:30:14.521389,0 days 00:02:12.489322,6,170,155.0,,,,,,,,,,,180.0,70.0,105.0,170.0,,,,,COMPLETE
35,35,0.8764346759968171,2025-01-02 22:30:14.521987,2025-01-02 22:31:21.178444,0 days 00:01:06.656457,2,190,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.8831327331481813,2025-01-02 22:31:21.178986,2025-01-02 22:33:09.821601,0 days 00:01:48.642615,6,75,135.0,,,,,,,,,,,160.0,105.0,165.0,95.0,,,,,COMPLETE
37,37,0.6011839838499776,2025-01-02 22:33:09.822309,2025-01-02 22:37:15.322749,0 days 00:04:05.500440,11,70,165.0,200.0,,,,,,,,,,200.0,120.0,170.0,110.0,120.0,5.0,135.0,200.0,COMPLETE
38,38,0.5631151627376967,2025-01-02 22:37:15.323414,2025-01-02 22:39:45.703297,0 days 00:02:30.379883,8,85,80.0,,,,,,,,,,,135.0,175.0,155.0,85.0,80.0,145.0,,,COMPLETE
