,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
27,27,0.4922172258734002,2025-01-02 06:54:05.791331,2025-01-02 06:54:20.906198,0 days 00:00:15.114867,8,125,80.0,,,,,,,,,,,200.0,95.0,170.0,130.0,145.0,60.0,,,COMPLETE
28,28,0.8218515429524604,2025-01-02 06:54:20.906966,2025-01-02 06:54:27.310978,0 days 00:00:06.404012,2,110,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.575281113016962,2025-01-02 06:54:27.311466,2025-01-02 06:54:38.928301,0 days 00:00:11.616835,6,60,5.0,,,,,,,,,,,105.0,65.0,40.0,180.0,,,,,COMPLETE
30,30,0.8017094017094017,2025-01-02 06:54:38.928847,2025-01-02 06:54:47.602465,0 days 00:00:08.673618,4,85,35.0,,,,,,,,,,,80.0,20.0,,,,,,,COMPLETE
31,31,0.8205607476635515,2025-01-02 06:54:47.603007,2025-01-02 06:54:52.600067,0 days 00:00:04.997060,1,105,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.7833333333333333,2025-01-02 06:54:52.600537,2025-01-02 06:54:59.014060,0 days 00:00:06.413523,2,105,70.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8267195767195767,2025-01-02 06:54:59.014563,2025-01-02 06:55:05.020607,0 days 00:00:06.006044,2,160,140.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.714905814905815,2025-01-02 06:55:05.021091,2025-01-02 06:55:13.701125,0 days 00:00:08.680034,4,160,150.0,,,,,,,,,,,140.0,125.0,,,,,,,COMPLETE
35,35,0.5712829226847917,2025-01-02 06:55:13.701645,2025-01-02 06:55:26.459351,0 days 00:00:12.757706,7,175,105.0,,,,,,,,,,,25.0,180.0,80.0,30.0,10.0,,,,COMPLETE
36,36,0.853606453653907,2025-01-02 06:55:26.459928,2025-01-02 06:55:32.456224,0 days 00:00:05.996296,2,135,130.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.49719101123595505,2025-01-02 06:55:32.456726,2025-01-02 06:55:42.652399,0 days 00:00:10.195673,5,140,125.0,,,,,,,,,,,55.0,165.0,165.0,,,,,,COMPLETE
38,38,0.8287337662337663,2025-01-02 06:55:42.652974,2025-01-02 06:55:48.687722,0 days 00:00:06.034748,2,125,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.6855605800717293,2025-01-02 06:55:48.688227,2025-01-02 06:55:58.776971,0 days 00:00:10.088744,5,130,185.0,,,,,,,,,,,180.0,135.0,120.0,,,,,,COMPLETE
40,40,0.8144144144144144,2025-01-02 06:55:58.777500,2025-01-02 06:56:06.143177,0 days 00:00:07.365677,3,150,95.0,,,,,,,,,,,165.0,,,,,,,,COMPLETE
41,41,0.8493493493493494,2025-01-02 06:56:06.143751,2025-01-02 06:56:11.107702,0 days 00:00:04.963951,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
