,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
27,27,0.5648148148148149,2025-01-02 09:10:02.293811,2025-01-02 09:10:06.354700,0 days 00:00:04.060889,2,75,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.47306910569105687,2025-01-02 09:10:06.355186,2025-01-02 09:10:12.951817,0 days 00:00:06.596631,4,120,65.0,,,,,,,,,,,65.0,155.0,,,,,,,COMPLETE
29,29,0.4299019607843137,2025-01-02 09:10:12.952328,2025-01-02 09:10:25.254031,0 days 00:00:12.301703,7,85,35.0,,,,,,,,,,,35.0,160.0,5.0,170.0,125.0,,,,COMPLETE
30,30,0.7019927536231885,2025-01-02 09:10:25.254640,2025-01-02 09:10:29.047130,0 days 00:00:03.792490,1,100,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.7213862289101687,2025-01-02 09:10:29.047611,2025-01-02 09:10:32.382554,0 days 00:00:03.334943,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.6160510715914272,2025-01-02 09:10:32.383047,2025-01-02 09:10:36.413260,0 days 00:00:04.030213,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.6733333333333333,2025-01-02 09:10:36.413736,2025-01-02 09:10:41.497479,0 days 00:00:05.083743,2,165,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.6329284750337382,2025-01-02 09:10:41.497970,2025-01-02 09:10:45.660559,0 days 00:00:04.162589,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.5897435897435898,2025-01-02 09:10:45.661036,2025-01-02 09:10:51.097610,0 days 00:00:05.436574,3,105,145.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
36,36,0.4239316239316239,2025-01-02 09:10:51.098095,2025-01-02 09:11:07.374313,0 days 00:00:16.276218,8,155,120.0,,,,,,,,,,,35.0,50.0,125.0,70.0,50.0,90.0,,,COMPLETE
37,37,0.6428571428571428,2025-01-02 09:11:07.374950,2025-01-02 09:11:11.744765,0 days 00:00:04.369815,2,85,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.7105751391465678,2025-01-02 09:11:11.745243,2025-01-02 09:11:16.433853,0 days 00:00:04.688610,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.482174688057041,2025-01-02 09:11:16.434331,2025-01-02 09:11:24.917802,0 days 00:00:08.483471,6,95,145.0,,,,,,,,,,,65.0,200.0,65.0,120.0,,,,,COMPLETE
40,40,0.5465838509316769,2025-01-02 09:11:24.918380,2025-01-02 09:11:30.448776,0 days 00:00:05.530396,4,125,20.0,,,,,,,,,,,25.0,175.0,,,,,,,COMPLETE
41,41,0.7023584905660378,2025-01-02 09:11:30.449284,2025-01-02 09:11:35.212865,0 days 00:00:04.763581,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.6424148606811146,2025-01-02 09:11:35.213357,2025-01-02 09:11:39.115537,0 days 00:00:03.902180,2,100,80.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.5710144927536231,2025-01-02 09:11:39.116015,2025-01-02 09:11:42.842436,0 days 00:00:03.726421,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.35125448028673834,2025-01-02 09:11:42.843150,2025-01-02 09:12:20.903819,0 days 00:00:38.060669,12,105,180.0,75.0,135.0,,,,,,,,,55.0,120.0,170.0,10.0,110.0,85.0,145.0,125.0,COMPLETE
