,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
28,28,0.8209479192017523,2025-01-03 20:58:34.416214,2025-01-03 20:58:43.781979,0 days 00:00:09.365765,5,140,65.0,,,,,,,,,,,75.0,65.0,130.0,,,,,,COMPLETE
29,29,0.6995002794764197,2025-01-03 20:58:43.782341,2025-01-03 20:59:06.267775,0 days 00:00:22.485434,7,85,5.0,,,,,,,,,,,200.0,170.0,80.0,10.0,90.0,,,,COMPLETE
30,30,0.9491199073996783,2025-01-03 20:59:06.268286,2025-01-03 20:59:10.501941,0 days 00:00:04.233655,2,10,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.9583997785160576,2025-01-03 20:59:10.502303,2025-01-03 20:59:15.902463,0 days 00:00:05.400160,3,105,75.0,,,,,,,,,,,150.0,,,,,,,,COMPLETE
32,32,0.9576087076695154,2025-01-03 20:59:15.903060,2025-01-03 20:59:20.393943,0 days 00:00:04.490883,2,110,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8235675422001261,2025-01-03 20:59:20.394291,2025-01-03 20:59:29.418608,0 days 00:00:09.024317,5,70,105.0,,,,,,,,,,,180.0,180.0,30.0,,,,,,COMPLETE
34,34,0.9428606083008929,2025-01-03 20:59:29.418958,2025-01-03 20:59:34.363131,0 days 00:00:04.944173,3,100,20.0,,,,,,,,,,,160.0,,,,,,,,COMPLETE
35,35,0.9634625201782585,2025-01-03 20:59:34.363507,2025-01-03 20:59:37.850728,0 days 00:00:03.487221,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
36,36,0.9575288825783836,2025-01-03 20:59:37.851396,2025-01-03 20:59:41.570477,0 days 00:00:03.719081,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.959070351758794,2025-01-03 20:59:41.570809,2025-01-03 20:59:47.010588,0 days 00:00:05.439779,2,140,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.958126641377298,2025-01-03 20:59:47.010958,2025-01-03 20:59:50.520138,0 days 00:00:03.509180,1,55,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.6827069758824074,2025-01-03 20:59:50.520475,2025-01-03 21:00:14.953674,0 days 00:00:24.433199,6,125,160.0,,,,,,,,,,,130.0,130.0,5.0,135.0,,,,,COMPLETE
40,40,0.9473958101429272,2025-01-03 21:00:14.954075,2025-01-03 21:00:20.784894,0 days 00:00:05.830819,4,150,40.0,,,,,,,,,,,60.0,75.0,,,,,,,COMPLETE
41,41,0.9591983316601866,2025-01-03 21:00:20.785265,2025-01-03 21:00:25.013179,0 days 00:00:04.227914,2,90,85.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.9602644649847044,2025-01-03 21:00:25.013534,2025-01-03 21:00:29.814790,0 days 00:00:04.801256,3,75,65.0,,,,,,,,,,,85.0,,,,,,,,COMPLETE
43,43,0.9216722646045425,2025-01-03 21:00:29.815173,2025-01-03 21:00:37.846048,0 days 00:00:08.030875,5,120,130.0,,,,,,,,,,,110.0,20.0,150.0,,,,,,COMPLETE
